SEC ID,Latest Name,Previous Names (@@@ separator),Latest NAICS Industry Sector Name,Latest NAICS Industry Sector Code,Previous NAICS Industry Sector Names (@@@ separator),Previous NAICS Industry Sector Codes (@@@ separator),Latest SIC Industry Code,Previous SIC Industry Codes (@@@ separator)
1000045,Nicholas Financial Inc,,Finance and Insurance,52,,,6153,
1000180,Sandisk Corp,,Manufacturing,33,,,3572,
1000209,Medallion Financial Corp,,Finance and Insurance,52,,,6199,
1000228,Henry Schein Inc,,Retail Trade,44,,,5047,
1000229,Core Laboratories N V,,Construction,23,,,1389,
1000230,Optical Cable Corp,,Manufacturing,33,,,3357,
1000232,Kentucky Bancshares Inc /KY/,,Finance and Insurance,52,,,6022,
1000278,Pacifichealth Laboratories Inc,,Manufacturing,32,,,2833,
1000298,Impac Mortgage Holdings Inc,,Finance and Insurance,52,,,6798,
1000459,Green Energy Group Inc.,,Information,51,,,7372,
1000623,Schweitzer Mauduit International Inc,,Manufacturing,32,,,2621,
1000683,Blonder Tongue Laboratories Inc,,Manufacturing,33,,,3663,
1000694,Novavax Inc,,Manufacturing,32,,,2836,
1000697,Waters Corp /DE/,,Manufacturing,33,,,3826,
1000753,"Insperity, Inc.",,Administrative and Support and Waste Management and Remediation Services,56,,,7363,
1000955,"Southcorp Capital, Inc.",,Real Estate and Rental and Leasing,53,,,6500,
1001039,Walt Disney CO/,,Information,51,"Arts, Entertainment, and Recreation",71,4841,7990
1001082,Dish Network Corp,,Information,51,,,4841,
1001115,Geospace Technologies Corp,OYO Geospace Corp,Manufacturing,33,,,3829,
1001171,Broadway Financial Corp \DE\,,Finance and Insurance,52,,,6035,
100122,Tucson Electric Power CO,,Utilities,22,,,4911,
1001233,"Sangamo Therapeutics, Inc",Sangamo Biosciences Inc,Manufacturing,32,,,2836,
1001250,Estee Lauder Companies Inc,,Manufacturing,32,,,2844,
1001258,Asta Funding Inc,,Finance and Insurance,52,,,6153,
1001279,Internet America Inc,,Information,51,,,7374,
1001288,Lexmark International Inc /KY/,,Manufacturing,33,,,3570,
1001316,"TG Therapeutics, Inc.",Manhattan Pharmaceuticals Inc,Manufacturing,32,,,2834,
1001385,Northwest Pipe CO,,Manufacturing,33,,,3317,
1001426,Pericom Semiconductor Corp,,Manufacturing,33,,,3674,
1001463,"Acacia Diversified Holdings, Inc.",,Wholesale Trade,42,,,5010,
1001601,MGT Capital Investments Inc,,Real Estate and Rental and Leasing,53,Information,51,6794,7372
1001604,Emeritus Corp\Wa\,,Health Care and Social Assistance,62,,,8050,
1001606,Blount International Inc,,Manufacturing,33,,,3420,
1001614,Tengasco Inc,,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1311,
1001838,Southern Copper Corp/,,"Mining, Quarrying, and Oil and Gas Extraction",21,,,1000,
1001871,Investors Capital Holdings LTD,,Finance and Insurance,52,,,6211,6799
1001902,Intevac Inc,,Manufacturing,33,,,3559,
1001907,Astrotech Corp,Astrotech Corp \WA\,Manufacturing,33,,,3760,
1002037,"Learning Tree International, Inc.",Learning Tree International Inc,Educational Services,61,,,8200,
1002047,"Netapp, Inc.",,Manufacturing,33,,,3572,
1002135,Westell Technologies Inc,,Manufacturing,33,,,3661,
1002225,Advent Software Inc /DE/,,"Professional, Scientific, and Technical Services",54,,,7371,
1002360,"Absolute Potential, Inc.",,Manufacturing,32,,,2851,
1002388,"Accelrys, Inc.",,Information,51,,,7372,
1002390,"America'S Suppliers, Inc.",,Information,51,,,7372,
1002422,"Ceres Ventures, Inc.",Phytomedical Technologies Inc,Health Care and Social Assistance,62,,,8093,
1002517,"Nuance Communications, Inc.",,Information,51,,,7372,
1002519,Cronos Global Income Fund XVI LP,,Administrative and Support and Waste Management and Remediation Services,56,,,7359,
1002531,Tollgrade Communications Inc \PA\,,Information,51,,,7385,
1002590,Star GAS Partners LP,,Retail Trade,45,,,5990,
1002638,Open Text Corp,,"Professional, Scientific, and Technical Services",54,,,7373,
1002761,Americredit Financial Services Inc,,Finance and Insurance,52,,,6189,
1002811,Kensey Nash Corp,,Manufacturing,33,,,3841,
1002822,First American Scientific Corp.,First American Scientific Corp \NV\,Manufacturing,32,,,3060,
1002910,Ameren Corp,,Utilities,22,,,4931,
1003022,Zoran Corp \DE\,,Manufacturing,33,,,3674,
1003078,MSC Industrial Direct CO Inc,,Wholesale Trade,42,,,5084,
1003124,Pharmaceutical Product Development Inc,,"Professional, Scientific, and Technical Services",54,,,8731,
1003130,LCA Vision Inc,,Health Care and Social Assistance,62,,,8093,
1003201,"MMA Capital Management, LLC",Municipal Mortgage & Equity LLC,Real Estate and Rental and Leasing,53,,,6500,
1003214,Silicon Image Inc,,Manufacturing,33,,,3670,
1003226,"First Physicians Capital Group, Inc.",,Health Care and Social Assistance,62,,,8062,
1003344,Headwaters Inc,,Manufacturing,32,,,3272,
1003410,Duke Realty Limited Partnership/,,Real Estate and Rental and Leasing,53,,,6500,
