,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentForAmortization,,,231000.000,,217000.000,,,,261000.000,,,,217000.000,,,,144000.000,,,,101000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,,,,,0.000,,,,,,,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,231000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,91000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,8610000.000,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-551000.000,,-375000.000,,,,46000.000,,,,-138000.000,,,,504000.000,,,,75000.000
CostOfGoodsSold,4612000.000,4573000.000,4597000.000,5296000.000,4231000.000,4694000.000,4550000.000,5084000.000,3821000.000,5353000.000,5173000.000,3821000.000,3362000.000,3747000.000,4931000.000,4748000.000,3735000.000,3205000.000,3531000.000,3678000.000,3572000.000
Depreciation,,,122000.000,,117000.000,,,,110000.000,,,,121000.000,,,,120000.000,,,,86000.000
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,,,,,-72000.000,-121000.000,,-142000.000
EarningsPerShareBasicAndDiluted,0.020,-0.010,-0.240,0.010,-0.080,-0.110,-0.110,-0.150,-0.190,0.060,0.090,-0.100,-0.230,-0.200,-0.300,-0.320,-0.040,0.010,-0.080,-0.050,-0.030
GainLossOnDispositionOfAssets,,,,-55000.000,,,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,1168000.000,1068000.000,1597000.000,1458000.000,1220000.000,1314000.000,1243000.000,1334000.000,1218000.000,1252000.000,1161000.000,1139000.000,1056000.000,1026000.000,1003000.000,1067000.000,1063000.000,884000.000,959000.000,922000.000,928000.000
GrossProfit,2594000.000,2431000.000,1911000.000,3314000.000,2488000.000,2452000.000,2273000.000,2098000.000,1757000.000,3475000.000,3486000.000,2243000.000,1380000.000,1536000.000,773000.000,466000.000,2208000.000,2477000.000,1901000.000,1771000.000,2401000.000
