,2011-06-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayable,,,579646.000,,,,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,384000.000,,,,,,
AccountsPayableCurrent,629180.000,656703.000,,968267.000,1035436.000,1114258.000,1241392.000,1210857.000,1191148.000,1214127.000,1249265.000,1298789.000,1245105.000,1192777.000,1181630.000,245656.000,925656.000,950951.000,968821.000
AccountsPayableRelatedParties,,,,,173573.000,178461.000,,,,,,,,,,,,,
AccountsPayableRelatedPartiesCurrent,,361.000,5548.000,,,,,285621.000,314652.000,356611.000,356611.000,292691.000,271858.000,498736.000,547553.000,1294159.000,268282.000,255759.000,281087.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,203438.000,,,,,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,,,15000.000,,,,,,161971.000,276002.000,22495.000,22569.000,54591.000
AccountsReceivableRelatedParties,,,,,,,,,,34582.000,54226.000,1775.000,15331.000,256000.000,,,,,
AccountsReceivableRelatedPartiesCurrent,7299.000,3765.000,0.000,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,1436635.000,1447282.000,1840873.000,2032873.000,1877547.000,1973572.000,2069572.000,2165572.000,2261572.000,2357572.000,2453572.000,2549572.000,2630069.000,2774202.000,2876635.000,3292866.000,3216564.000,3366896.000,3473584.000
AccruedSalariesCurrent,,,,,,,,,2130904.000,,,,2514904.000,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,726197.000,729237.000,-731566.000,,-765525.000,,,,,774982.000,778396.000,781810.000,-784329.000,,,,,,
AdditionalPaidInCapital,16924646.000,17480582.000,17504332.000,,,,,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,17504332.000,17743332.000,17842532.000,17872180.000,18071370.000,18073871.000,18073871.000,18098038.000,18148674.000,18160622.000,18254139.000,18307711.000,18441512.000,18405246.000,18501724.000,18561342.000
Assets,25964.000,49815.000,50494.000,439218.000,60581.000,51223.000,47616.000,44217.000,36093.000,51055.000,67326.000,11490.000,15424.000,319141.000,305200.000,396792.000,146115.000,133189.000,165211.000
AssetsCurrent,15934.000,5201.000,8716.000,7446.000,6773.000,1121.000,928.000,943.000,16331.000,34707.000,54392.000,1970.000,15424.000,287402.000,163002.000,276174.000,22495.000,22569.000,54591.000
AssetsNoncurrent,,,,431772.000,53808.000,50102.000,46688.000,43274.000,19762.000,,,,,,,,,,
BankOverdrafts,,,,,,,,,,,,,,,,,33.000,41.000,719.000
CapitalizedComputerSoftwareGross,,,,,,,,,,,,,,,,,7000.000,,
Cash,,,8716.000,,,,,,,125.000,166.000,195.000,,,,,,,
CashAndCashEquivalentsAtCarryingValue,68.000,1436.000,8716.000,3552.000,1055.000,1121.000,928.000,943.000,1331.000,125.000,166.000,195.000,94.000,15334.000,1031.000,172.000,,,
CommonStockParOrStatedValuePerShare,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15454.000,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,300000000.000,300000000.000,3000000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000
CommonStockSharesIssued,25446513.000,23710596.000,24960596.000,24960596.000,25960596.000,26960596.000,27643851.000,31481590.000,31481590.000,31481590.000,32314923.000,34473056.000,34473056.000,515133.000,37410636.000,36610636.000,36610636.000,38183086.000,40064983.000
CommonStockSharesOutstanding,25446513.000,23710596.000,24960596.000,24960596.000,25960596.000,25960596.000,25960596.000,31481590.000,31481590.000,31481590.000,32314923.000,34473056.000,31481590.000,31481590.000,37410636.000,36610636.000,36610636.000,38183086.000,40064983.000
CommonStockSharesSubscribedButUnissued,,,,,,,,,,,,,,1783332.000,,,53572.000,,
CommonStockSharesSubscriptions,,,,,,,,,,,,,,,,,,53572.000,53572.000
CommonStockValue,25447.000,23710.000,24960.000,24960.000,25960.000,26960.000,27644.000,31482.000,31481.000,31481.000,32314.000,34472.000,34473.000,15454.000,37412.000,36611.000,36611.000,38183.000,40065.000
ConvertibleNotesPayable,,,479329.000,874419.000,882716.000,882716.000,882716.000,880162.000,895162.000,915162.000,935162.000,918162.000,951161.000,2298465.000,1138661.000,1170487.000,1262002.000,1313463.000,1353328.000
ConvertibleNotesPayableCurrent,128503.000,307220.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsGross,,,,,3159659.000,,,,,,,,,,,,,,
DeferredTaxAssetsNet,,,,,,,,,3409628.000,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,3159659.000,,,,,,,,,,,,,,
DepositLiabilitiesAccruedInterest,,,,,,,,,24237.000,,,,8734.000,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,19780991.000,20555008.000,-21069329.000,,,,,,,,,,,,,,,,
DueFromRelatedPartiesCurrent,,,,3894.000,5718.000,,,,,,,,15330.000,272068.000,,,,,
DueToOfficersOrStockholdersCurrent,645419.000,645419.000,645419.000,,,,,,,,,,,,,,,,
DueToRelatedPartiesNoncurrent,,,,645419.000,645271.000,645271.000,645271.000,,,,,,,,,,,,
FurnitureAndFixturesGross,,,,,,,,,,,,,,,,,1465.000,,
InventoryRealEstateConstructionInProcess,,,,,,,,,,,,,,,,28500.000,13000.000,,
LeaseholdImprovementsGross,,,,,29008.000,,,,,,,,,,,,,,
Liabilities,2850537.000,3067785.000,3561615.000,4531778.000,4625343.000,4805078.000,5053189.000,5198283.000,5318605.000,5499543.000,5650681.000,5715285.000,5754264.000,6313336.000,6408326.000,6670926.000,6670091.000,6888575.000,7082915.000
LiabilitiesAndStockholdersEquity,25964.000,49815.000,50494.000,439218.000,60581.000,51223.000,47616.000,44217.000,36093.000,51055.000,67326.000,11490.000,15424.000,319061.000,305200.000,396792.000,146115.000,133189.000,165211.000
LiabilitiesCurrent,,,,,,,,5198283.000,5318605.000,5499543.000,5650681.000,5715285.000,5754264.000,6264336.000,6408326.000,6670926.000,6670091.000,6888575.000,7082915.000
LitigationReserve,,,,,,,,,,,,,,,,,,325885.000,
LoansPayableCurrent,,,,,,,,645271.000,645271.000,645271.000,645271.000,645271.000,,,653047.000,656958.000,660869.000,664780.000,668691.000
MachineryAndEquipmentGross,729227.000,766851.000,766344.000,,,,,,,,,,,,,,775864.000,,
MinorityInterest,,17331.000,13501.000,4304.000,-3051.000,-6038.000,-6038.000,-6038.000,,-0.000,-0.000,,,,,,,,
NotesPayable,,,10800.000,,,,,,,,,,,,,,,,
NotesPayableCurrent,10800.000,10800.000,,10800.000,10800.000,10800.000,10800.000,10800.000,10800.000,10800.000,10800.000,10800.000,10800.000,10800.000,10800.000,10800.000,10800.000,10800.000,10800.000
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,,,,,,,2514904.000,,,,,,
OperatingLossCarryforwards,,,,,9027598.000,,,,9741795.000,,,,,,,,,,
OtherAccruedLiabilitiesCurrent,,,,,,,,,106431.000,,,,106431.000,,,,325885.000,,
OtherAssets,,,7000.000,,,,,,,7000.000,7000.000,7000.000,,,,,,,
OtherAssetsNoncurrent,7000.000,7000.000,,7000.000,7000.000,7000.000,7000.000,7000.000,7000.000,,,,,,110620.000,115120.000,110620.000,110620.000,110620.000
PreferredStockAdditionalSeriesValue,,,15410.000,,,,,,,,,,,,,,,,
PreferredStockParOrStatedValuePerShare,,,,0.001,,,,,,,,0.001,,,,,,,
PreferredStockSharesAuthorized,,,,50000000.000,,,,,,,,50000000.000,,,,,,,
PreferredStockSharesIssued,,,,15414600.000,,,,,,,,15414600.000,,,,,,,
