,2011-09-30,2012-03-31,2013-03-31,2013-09-30,2014-03-31,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AmortizationOfDebtDiscountPremium,,,391000.000,,91000.000,,,,,,,,,
AmortizationOfDeferredCharges,,,360000.000,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-3937000.000,-451000.000,,-711000.000,,128000.000,,,,191000.000,,,
ComprehensiveIncomeNetOfTax,,-4008000.000,-2655000.000,-2405000.000,-3437000.000,-3414000.000,-3049000.000,-3464000.000,-2748000.000,-5179000.000,-2320000.000,-2330000.000,-2240000.000,-16128000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,-1165000.000,-1054000.000,-748000.000,-1692000.000,-1392000.000,-1581000.000,-1930000.000,-1096000.000,-1177000.000,-1140000.000,-891000.000,-1050000.000,-6990000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-5173000.000,-3709000.000,-3153000.000,-5129000.000,-4806000.000,-4630000.000,-5394000.000,-3844000.000,-6356000.000,-3460000.000,-3221000.000,-3290000.000,-23118000.000
CostOfGoodsSold,11951000.000,11479000.000,13615000.000,9316000.000,7792000.000,5840000.000,8874000.000,5627000.000,7348000.000,8873000.000,3316000.000,3695000.000,3665000.000,1225000.000
CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,4000.000,,,,,,,,,,,
CurrentFederalTaxExpenseBenefit,,,,5000.000,,,,,,,,,,
CurrentIncomeTaxExpenseBenefit,,,,5000.000,,,,,,,,,,
DebtInstrumentInterestRateDuringPeriod,,,,,,,,0.066,,,,,,
DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,,,,,0.089,,,,,,,,,
DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,,,,,0.056,,,,,,,,,
DeferredForeignIncomeTaxExpenseBenefit,,,-13000.000,-13000.000,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,-13000.000,-13000.000,,,,,,,,,,
DeferredIncomeTaxesAndTaxCredits,,-38000.000,-13000.000,,304000.000,,,,,,,,,
DepreciationDepletionAndAmortization,,1799000.000,1605000.000,2046000.000,2079000.000,2100000.000,2092000.000,2106000.000,2016000.000,1995000.000,1922000.000,1955000.000,1948000.000,1919000.000
EarningsPerShareBasicAndDiluted,-0.040,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,0.000,0.000,-0.000,-0.000,-0.040
EffectOfExchangeRateOnCashAndCashEquivalents,,-20000.000,-103000.000,,-7000.000,,3000.000,,,,-24000.000,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,0.350,,,,,,,,,,
GainLossOnDispositionOfAssets,,,,,,,7000.000,,,,,,,
GainLossOnSaleOfEquityInvestments,,,-485000.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,3562000.000,2491000.000,1976000.000,1849000.000,2064000.000,1448000.000,1879000.000,2770000.000,2301000.000,3825000.000,2261000.000,1584000.000,2161000.000,2209000.000
GrossProfit,2137000.000,702000.000,750000.000,613000.000,-971000.000,-620000.000,-512000.000,-271000.000,-194000.000,-285000.000,66000.000,-724000.000,-379000.000,-89000.000
ImpairmentOfLongLivedAssetsHeldForUse,,,0.000,,,,,,,,,,,
