,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,495000.000,,,,-537000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,-25000.000,,,,,,
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,543000.000,338000.000
AllowanceForLoanAndLeaseLossesAdjustmentsNet,,,,-2873000.000,-2182000.000,,-1474000.000,-1299000.000,-1739000.000
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,,1400000.000,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,538000.000,551000.000,,659000.000,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,-3411000.000,-2733000.000,,-2133000.000,-1842000.000,-2077000.000
AmortizationOfIntangibleAssets,413000.000,413000.000,412000.000,413000.000,413000.000,311000.000,311000.000,320000.000,320000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,255370.000,213871.000,,172859.000,122813.000,61438.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,7000.000,9000.000,,6000.000,,0.000
BankOwnedLifeInsuranceIncome,323000.000,327000.000,440000.000,438000.000,445000.000,445000.000,432000.000,438000.000,440000.000
BrokerageCommissionsRevenue,506000.000,374000.000,414000.000,450000.000,389000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-14797000.000,,,,-23440000.000,,
CommonStockDividendsPerShareDeclared,,,0.060,,,,0.080,,
Communication,439000.000,406000.000,425000.000,410000.000,420000.000,405000.000,373000.000,384000.000,368000.000
ComprehensiveIncomeNetOfTax,,,5121000.000,5238000.000,7180000.000,5197000.000,4430000.000,650000.000,6207000.000
DeferredIncomeTaxExpenseBenefit,,,597000.000,,,,350000.000,,
DepreciationNonproduction,,,1629000.000,,,,1534000.000,,
DividendIncomeOperating,0.000,0.000,,,,,,,
DividendsCommonStockCash,,,-1384000.000,,,,,,
EarningsPerShareBasic,0.150,0.170,0.240,0.210,0.240,0.270,0.260,0.280,0.280
EarningsPerShareDiluted,0.140,0.170,0.240,0.210,0.240,0.270,0.260,0.280,0.280
EquipmentExpense,,,2218000.000,2152000.000,1885000.000,1965000.000,2089000.000,2191000.000,2117000.000
FederalDepositInsuranceCorporationPremiumExpense,641000.000,590000.000,639000.000,543000.000,490000.000,563000.000,506000.000,506000.000,463000.000
FeesAndCommissionsDepositorAccounts,3840000.000,4019000.000,3795000.000,3812000.000,3844000.000,3973000.000,3051000.000,3455000.000,3535000.000
FeesAndCommissionsFiduciaryAndTrustActivities,847000.000,821000.000,929000.000,872000.000,901000.000,,,,
FeesAndCommissionsMortgageBanking,,1967000.000,2184000.000,1752000.000,2335000.000,2638000.000,1835000.000,1927000.000,1326000.000
FeesAndCommissionsOther,,,,,,,1228000.000,1389000.000,1313000.000
GainLossOnDispositionOfProperty,3000.000,-9000.000,,,,,,,
GainLossOnSaleOfMortgageLoans,1531000.000,,,,,,,,
GainLossOnSaleOfProperties,0.000,0.000,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,-16000.000,8000.000,17000.000,59000.000,-10000.000,-14000.000,-36000.000
GainLossOnSaleOfSecuritiesNet,11000.000,41000.000,73000.000,7000.000,9000.000,439000.000,6000.000,,0.000
