,2011-05-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30
AccretionExpense,,7000000.000,,,,-4000000.000,,,,-1000000.000,,,,-9000000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,21000000.000,,,,31000000.000
AmortizationOfAcquisitionCosts,,,,,,,,7000000.000,,10000000.000,10000000.000,11000000.000,,
AmortizationOfDeferredCharges,,,,,,,,,,,,,,63000000.000
AmortizationOfIntangibleAssets,54000000.000,60000000.000,61000000.000,64000000.000,70000000.000,74000000.000,75000000.000,67000000.000,73000000.000,70000000.000,73000000.000,71000000.000,68000000.000,69000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,32434252.000,,27706380.000,16469909.000,2904835.000,-34764175.000,2338689.000,6347469.000,5153210.000,-10328973.000,6477264.000
BusinessCombinationConsiderationTransferred1,,,,,,,,,,,,,,13000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-462000000.000,,,,532000000.000,,,,-1137000000.000,,,,10215000000.000
CommonStockDividendsPerShareDeclared,0.175,0.225,0.225,0.225,0.275,0.275,0.275,0.275,0.315,0.315,0.315,0.315,0.335,0.338
ComprehensiveIncomeNetOfTax,,,,,,,,,,824000000.000,872000000.000,839000000.000,-228000000.000,880000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,9000000.000,14000000.000,42000000.000,34000000.000,27000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,389000000.000,747000000.000,466000000.000,682000000.000,815000000.000,858000000.000,797000000.000,-262000000.000,853000000.000
CostOfGoodsAndServicesSold,13217000000.000,13053000000.000,13262000000.000,12738000000.000,12238000000.000,12217000000.000,13040000000.000,13091000000.000,12750000000.000,13177000000.000,13955000000.000,13961000000.000,13730000000.000,14258000000.000
DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,,,,,,,,,,,,,,0.087
DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,,,,,,,,,,,,,,0.050
DeferredIncomeTaxExpenseBenefit,,21000000.000,,,,30000000.000,,,,129000000.000,,,,36000000.000
DefinedBenefitPlanAmortizationOfGainsLosses,,,,,,,,-3000000.000,,,,,,-5000000.000
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,,,,,,,-5000000.000,,,,,,-6000000.000
DefinedBenefitPlanInterestCost,,,,,,,,3000000.000,,,,,,4000000.000
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,,,3000000.000,,,,,,6000000.000
DefinedBenefitPlanServiceCost,,,,,,,,2000000.000,,,,,,3000000.000
DefinedContributionPlanCostRecognized,83000000.000,79000000.000,85000000.000,60000000.000,59000000.000,82000000.000,89000000.000,82000000.000,89000000.000,80000000.000,85000000.000,74000000.000,116000000.000,75000000.000
Depreciation,194000000.000,202000000.000,204000000.000,214000000.000,221000000.000,219000000.000,231000000.000,225000000.000,219000000.000,235000000.000,229000000.000,237000000.000,222000000.000,235000000.000
DepreciationDepletionAndAmortization,269000000.000,277000000.000,283000000.000,296000000.000,310000000.000,313000000.000,327000000.000,318000000.000,325000000.000,332000000.000,331000000.000,338000000.000,315000000.000,319000000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,20000000.000,0.000,,,0.000,0.000,,
DividendsCash,,-202000000.000,,,,-260000000.000,,,,-298000000.000,,,,-322000000.000
DividendsCommonStockCash,,,,,,,,,,-300000000.000,,,,321000000.000
