,2011-10-31,2012-01-31,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,,,,,,,,,,,,,,,,,,,2125.000,,
AdvertisingExpense,,,10529.000,11858.000,10931.000,8701.000,5782.000,5029.000,10847.000,4089.000,921.000,312.000,1048.000,907.000,241.000,,243.000,,,,
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,,,,,20817.000,,
BrokerageCommissionsRevenue,9765.000,,,,,,,,,,,,,,,,,,,,
CashPeriodIncreaseDecrease,,,30029.000,,,,-61227.000,,,,-64512.000,,,,9608.000,,,,-156207.000,,
ConstructionRevenue,,,,,,,,,,,,,,,41900.000,109702.000,28874.000,-3305.000,,,
CostOfRealEstateRevenue,,,20469.000,4602.000,9603.000,10881.000,,-1763.000,-1168.000,,590.000,-320.000,124.000,352.000,732.000,1009.000,1297.000,,,,
CostOfRealEstateSales,,,,65048.000,43145.000,,,67916.000,,,,167444.000,,,,,,,,,
CostsAndExpenses,200246.000,85626.000,,,,,,,,,,,,,,,,,,,
DebtInstrumentIncreaseAccruedInterest,,,,,,,,,,,,,,,2134.000,,,,2196.000,,
DebtInstrumentPeriodicPayment,,,,,,,457.000,,,,457.000,,,,,,,,,,
DebtInstrumentPeriodicPaymentInterest,,,463.000,,,,,,,,,,,,,,,,,,
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,,,,,,,,,,,,,,28135.000,,,,,,
Depreciation,,,2814.000,4431.000,4431.000,3941.000,3398.000,3398.000,3398.000,3398.000,3398.000,3398.000,3398.000,3398.000,3398.000,3398.000,2281.000,1836.000,8398.000,,
DepreciationAndAmortization,,,2813.000,,,,3398.000,,,,3398.000,,,,3398.000,,,,10532.000,,
DepreciationNonproduction,5341.000,5820.000,,,,,,,,,,,,,,,,,,,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,8073.000,9855.000,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,-0.000,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,0.000,,0.000,0.000,-0.010,0.010,0.000,0.000,0.000
EarningsPerShareDiluted,-0.000,,,,,,,,,,,,,,,,,,,,
FeesAndCommissions,,,1000.000,,1305.000,,1500.000,,1000.000,,5070.000,14175.000,4750.000,58599.000,,,,,3570.000,,
GainLossOnDerivativeInstrumentsNetPretax,,,,,,,,,,,,,,,,,,,,16660.000,-40958.000
GainLossOnSaleOfDerivatives,,,,,,,,,,,,,,,,5777.000,-664820.000,,,,-40958.000
GainLossOnSaleOfProperties,,,,,,,,,,,,,,,,,,,41603.000,,18650.000
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,,,,,,,,,,,,,,,,8147.000,,,,
GeneralAndAdministrativeExpense,39686.000,37444.000,61413.000,61461.000,56158.000,63670.000,58191.000,47736.000,54387.000,60293.000,53921.000,50014.000,52767.000,49489.000,49401.000,49511.000,48190.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-103044.000,-65017.000,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,-130203.000,-118291.000,-65801.000,-61412.000,-141259.000,-103150.000,-125354.000,-116267.000,-151391.000,-62893.000,-128613.000,-63643.000,-147860.000,-121195.000,-856158.000,273097.000,-517166.000,-163816.000,-238716.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,2120.000,,,,43653.000,,,,60586.000,,,,-16606.000,,,,-11884.000,,
IncreaseDecreaseInAccountsReceivable,,,-1131.000,,,,3138.000,,,,-749.000,,,,-21470.000,,,,4971.000,,
IncreaseDecreaseInAccruedInterestReceivableNet,,,-1125.000,,,,-75.000,,,,,,,,,,,,,,
IncreaseDecreaseInDeposits,,,-1000.000,,,,1000.000,,,,,,,,,,,,-4275.000,,
IncreaseDecreaseInNotesReceivables,,,,,,,,,,,-365.000,,,,,,,,,,
IncreaseDecreaseInOtherReceivables,,,,,,,,,,,,,,,,,,,-11.000,,
IncreaseDecreaseInPrepaidExpense,,,-736.000,,,,666.000,,,,-3454.000,,,,-2192.000,,,,14690.000,,
InterestExpense,-28685.000,19323.000,18769.000,18813.000,19933.000,18689.000,19184.000,19474.000,20498.000,23622.000,28686.000,30617.000,25270.000,22906.000,23950.000,69779.000,72970.000,72398.000,29095.000,25326.000,100513.000
InterestExpenseRelatedParty,,,,,,,,,,,,,,,,,,,818.000,,
InterestIncomeExpenseNet,,,2886.000,2779.000,1219.000,313.000,211.000,166.000,120.000,79.000,89.000,65.000,57.000,48.000,42.000,43.000,-102.000,,,,
InterestIncomeRelatedParty,,,,,,,,,,,,,,,1038.000,,,,,,
InterestPaid,,,273.000,,,,475.000,,,,-274.000,,,,16936.000,,,,17676.000,,
InvestmentIncomeInterest,1712.000,1707.000,,,,,,,,,,,,,,,,,,,
ManagementFeesRevenue,,,1620.000,2941.000,2977.000,2978.000,2998.000,2992.000,3413.000,2850.000,2363.000,2202.000,2676.000,3811.000,3657.000,3501.000,3686.000,1234.000,,,
NetCashProvidedByUsedInFinancingActivities,,,-1117.000,,,,-3014.000,,,,93175.000,,,,107898.000,,,,115842.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-1117.000,,,,-3014.000,,,,93175.000,,,,107898.000,,,,115842.000,,
NetCashProvidedByUsedInInvestingActivities,,,152194.000,,,,60000.000,,,,,,,,-49.000,,,,-128247.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,152194.000,,,,60000.000,,,,,,,,-49.000,,,,-128247.000,,
NetCashProvidedByUsedInOperatingActivities,,,-121048.000,,,,-118213.000,,,,-157687.000,,,,-98241.000,,,,-143802.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-121048.000,,,,-118213.000,,,,-157687.000,,,,98000.000,,,,-143802.000,,
NetIncomeLoss,-103044.000,-65017.000,-130203.000,-118291.000,-65801.000,-61412.000,-141259.000,-103150.000,-125354.000,-116267.000,-151391.000,-62893.000,-128613.000,-63643.000,-147860.000,-121195.000,-856158.000,273097.000,-517166.000,-163816.000,-238716.000
OperatingExpenses,,,130070.000,219748.000,154330.000,267413.000,126884.000,171834.000,109440.000,96823.000,130377.000,249972.000,210016.000,195934.000,169914.000,170764.000,156991.000,167060.000,145057.000,174690.000,139770.000
OperatingIncomeLoss,-76071.000,-47401.000,-114320.000,-102257.000,-47087.000,-43035.000,-122286.000,-83842.000,-104977.000,-92723.000,-122794.000,-32341.000,-103400.000,-40785.000,-123952.000,-57236.000,-124276.000,-144801.000,-70769.000,-155150.000,-97245.000
OperatingLeasesIncomeStatementLeaseRevenue,24410.000,24025.000,,,,,,,,,,,,,,,,,,,
OperatingLeasesRentExpenseNet,,,6036.000,,,,6036.000,,,,6036.000,,,,,,,,,,
OtherExpenses,,,1016.000,468.000,,,2177.000,,,,,,,,,,,,,,
OtherRealEstateRevenue,,,4800.000,100.000,100.000,0.000,100.000,,50.000,,150.000,1254.000,150.000,350.000,405.000,325.000,155.000,450.000,50.000,,280.000
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,54000.000,,,,97000.000,,,,,,,,,,
ProceedsFromConvertibleDebt,,,,,,,,,,,,,,,38000.000,,,,20000.000,,
ProceedsFromIssuanceOfWarrants,,,,,,,,,,,,,,,,,,,4000000.000,,
ProceedsFromNotesPayable,,,,,,,,,,,96330.000,,,,,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,,,46000.000,,,,,,
ProceedsFromSaleOfLandHeldForUse,,,,,,,,,,,,,,,,,,,253.000,,
ProceedsFromSaleOfNotesReceivable,,,30000.000,,,,60000.000,,,,,,,,-49.000,,,,,,
ProceedsFromSaleOfPropertyHeldForSale,,,142654.000,,,,,,,,,,,,,,,,22000.000,,
ProceedsFromSaleOfTradingSecuritiesHeldforinvestment,,,,,,,60000.000,,,,,,,,,,,,,,
ProfessionalFees,56243.000,32507.000,26829.000,61380.000,18812.000,19106.000,45711.000,37044.000,32752.000,15648.000,59605.000,29399.000,46011.000,38850.000,72858.000,25126.000,73501.000,85265.000,41354.000,90921.000,30763.000
ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,2137.000,,,,-2235.000
RealEstateRevenueNet,124175.000,38225.000,,,,,,,,,,,,,,,,,,,
RecognitionOfDeferredRevenue,,,0.000,,,,,,,,,,,,,,,,,,
RepaymentOfNotesReceivableFromRelatedParties,,,,,,,,,,,,,,,,,,,-150500.000,,
RepaymentsOfLongTermCapitalLeaseObligations,,,,,,,3014.000,,,,3155.000,,,,1905.000,,,,1961.000,,
RepaymentsOfNotesPayable,,,1117.000,,,,,,,,,,,,28196.000,,,,,,
RestrictedStockAwardForfeitures,,,,,,,,,,,,,,,5125.000,,,,,,
RestrictedStockExpense,,,7000.000,10500.000,11250.000,11625.000,11625.000,11625.000,11625.000,11625.000,12292.000,11125.000,11125.000,-1875.000,5125.000,2125.000,2125.000,2125.000,2125.000,,
Revenues,,,15750.000,117491.000,107243.000,224378.000,4598.000,87992.000,4463.000,4100.000,7583.000,217631.000,106616.000,155149.000,45962.000,113528.000,32715.000,22259.000,74288.000,19540.000,42525.000
SalesOfRealEstate,,,,,,,,85000.000,,,,200000.000,,,,,,,,,
SalesRevenueGoodsNet,90000.000,,,,,,,,,,,,,,,,,,,,
