,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsAndOtherReceivablesNetCurrent,,,,,,,,,,8897394.000,,,,5684822.000,,,,48219748.000,,
AccountsPayable,,,,,897388.000,841066.000,5035891.000,5123396.000,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,13225413.000,,,,12890164.000,,,,37757695.000,,
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,,170880.000,203884.000,273513.000,250986.000,289967.000,,,9585151.000,8897319.000,,8907930.000,65931714.000,47834478.000,,48923250.000,42307732.000
AccountsPayableCurrent,1336152.000,15754172.000,24978662.000,18829521.000,,,,,5655433.000,,8446136.000,,,,,,,,,
AccountsPayableRelatedPartiesCurrent,,8600.000,24555.000,77324.000,,,,,,,,,,,,,,,,
AccountsReceivableGross,,,,,,7889147.000,,,,8897394.000,,,,5684822.000,,,,31690833.000,,
AccountsReceivableNet,,,,,,8545419.000,,,,9223230.000,,,,7014352.000,,,,48219748.000,,
AccountsReceivableNetCurrent,9722204.000,10169329.000,28855763.000,28583283.000,6558100.000,7889147.000,7478043.000,12349367.000,6968890.000,9223230.000,8759839.000,6256811.000,6795808.000,7014352.000,5038074.000,47213478.000,52711810.000,,47140740.000,49687687.000
AccountsReceivableNetNoncurrent,,,9440.000,,,,,,,,,,,,,,,,,
AccountsReceivableRelatedParties,,,,,20231.000,,,,,,,,,,,,,,,
AccountsReceivableRelatedPartiesCurrent,,,,,,11374.000,,,,34587.000,,,,,,,,,,
AccruedEmployeeBenefitsCurrent,,,,,,,,,,,,,,958596.000,,,,,,
AccruedLiabilitiesCurrent,4475149.000,1871923.000,2085992.000,6155675.000,5257906.000,8701619.000,2993129.000,7931533.000,1822911.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,2696877.000,2397154.000,2375041.000,1057970.000,,3816.000,17600.000,27221.000,46635.000,52954.000,85816.000,107942.000,139767.000,180351.000,,,,1590406.000,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,12183.000,-14164.000,-181454.000,-136975.000,,-115282.000,-101616.000,-396641.000,-455624.000,-571453.000,,,-583408.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-132242.000,-448878.000,-538451.000,-104551.000,,,,,,,,,,,,-644437.000,-576106.000,,-531629.000,-554749.000
AdditionalPaidInCapital,76607056.000,77921831.000,77921831.000,77938807.000,8111248.000,9148757.000,9180557.000,9205730.000,9241901.000,,14581719.000,14557719.000,14704568.000,16137313.000,16262699.000,44436653.000,45059450.000,45147931.000,45234377.000,45308081.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,0.000,,
AllowanceForDoubtfulAccountsReceivableCurrent,142235.000,142235.000,142235.000,142235.000,,0.000,,,,,,,,,,,,,,
Assets,21719452.000,35488678.000,48106206.000,46082439.000,34126695.000,37721505.000,34775418.000,41349462.000,29351140.000,33630963.000,30493830.000,46880014.000,40867161.000,32033165.000,25013097.000,125787813.000,139358172.000,119428120.000,108416246.000,107937682.000
AssetsCurrent,18517171.000,32335822.000,42813277.000,40947432.000,30201069.000,33534233.000,29255815.000,36253294.000,27839180.000,31929418.000,28682445.000,45005574.000,39036407.000,30215335.000,22622688.000,93302312.000,104586382.000,87826653.000,75937608.000,76563227.000
AssetsHeldForSaleCurrent,,,,,488968.000,,,,,,,,,,,,,,,
AssetsHeldForSaleLongLived,,,,,16484.000,,,,,,,,,,,,,,,
BilledContractReceivables,,,,,,,,,,,,,,,,,,71950.000,,
BillingsInExcessOfCostCurrent,1084664.000,4443257.000,4354491.000,5060752.000,10985712.000,8917382.000,9633764.000,9514768.000,10256873.000,8407187.000,8785026.000,22658564.000,17674731.000,3787661.000,2620645.000,15611551.000,19885773.000,6399339.000,5733385.000,5584152.000
BorrowedFunds,,,,,2400000.000,,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,1086892.000,,,,468974.000,,,,471892.000,,,,4194535.000,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,410796.000,,,,301317.000,,,,301194.000,,,,1438219.000,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,,,,2401.000,,,,551065.000,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,60300.000,,,,,,,,4802.000,,,,593214.000,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,304903.000,,,,13557.000,,,,35347.000,,,,670496.000,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,310893.000,,,,154100.000,,,,128148.000,,,,941541.000,,
Cash,,,,,,,,,,,,23557223.000,16134380.000,,6535653.000,8136879.000,9233679.000,,8374630.000,12106136.000
CashAndCashEquivalentsAtCarryingValue,1192192.000,11519893.000,2933894.000,7608687.000,18875128.000,21406898.000,18150818.000,19771608.000,17845120.000,19956759.000,15776014.000,23005823.000,16134380.000,11169169.000,6535653.000,8136879.000,9233679.000,18792712.000,8374630.000,12106136.000
CashUninsuredAmount,,,,,18000000.000,375225.000,,,,17920452.000,,,,8600000.000,,,,17600000.000,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000
CommonStockSharesIssued,140881235.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9903697.000
CommonStockSharesOutstanding,,,,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9403697.000,9903697.000
CommonStockValue,1408812.000,94037.000,94037.000,94037.000,94037.000,94037.000,94037.000,94037.000,94037.000,,94037.000,94037.000,94037.000,94037.000,94037.000,94037.000,94037.000,94037.000,94037.000,99037.000
ContractReceivableRetainage,,,0.000,,,200000.000,200000.000,200000.000,200000.000,200000.000,,,,1149632.000,,,,13846047.000,,
ContractsReceivableClaimsAndUncertainAmounts,,,,,,,,,,,,,,,,,,6176553.000,,
ContractualObligation,,,,,,,,,,,,,,,,,,32339972.000,,
ConvertiblePreferredStockSharesIssuedUponConversion,,,,,11334.000,,,,,,,,,,,,,,,
CostsInExcessOfBillingsOnUncompletedContractsOrPrograms,,,,,-10985712.000,-8917382.000,93654.000,57334.000,,56679.000,274045.000,67913.000,230363.000,7539080.000,-337358.000,,,16563199.000,,
CumulativeDividends,,,,,,,,,,,,,,241387.000,,,,296637.000,,
DeferredCompensationLiabilityCurrent,,,,,,,,,,,,,,,562090.000,1049692.000,1677268.000,,,
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,-304258.000,,,,-509990.000,,
DeferredRevenue,,,,,,,,135975.000,135975.000,30827.000,26421.000,26421.000,,,,,,,,
DeferredRevenueCurrent,517442.000,824703.000,802345.000,0.000,,,,,,,,,,,,,,,,
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,,,,,,1200000.000,1200000.000,1200000.000,,,,,,,
DeferredTaxAssetsGross,,,,,,28161904.000,,,,27344766.000,,,,26522263.000,,,,29454820.000,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,,,,,,26218005.000,,,,28944830.000,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,948655.000,1033098.000,776454.000,1242589.000,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,,3855194.000,3850837.000,4030598.000,3603903.000,4061308.000,,,,,,,,,552756.000,,
DeferredTaxAssetsNet,,,,,,,,,,,,,,,,,317051.000,,5262.000,5262.000
DeferredTaxAssetsNetCurrent,,,1650715.000,1811202.000,,4883935.000,,,,,,,,,,,,,,
DeferredTaxAssetsNetNoncurrent,,,3883213.000,4699638.000,,,,,,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,25900000.000,26000000.000,25800000.000,,72300000.000,76200000.000,74100000.000,,86300000.000,85500000.000
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,22900880.000,,,,22480617.000,,,,21055483.000,,,,25153270.000,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,4962167.000,,,,4678236.000,,,,5459257.000,,,,2910864.000,,
DeferredTaxAssetsOther,,,,,,,,,,185913.000,,,,7523.000,,,,1390686.000,,
DeferredTaxAssetsValuationAllowance,,,15053181.000,15113021.000,,,23500000.000,23400000.000,27200000.000,,27100000.000,27200000.000,27000000.000,,25200000.000,29500000.000,28000000.000,,31100000.000,31700000.000
DeferredTaxAssetsValuationAllowanceCurrent,,,,,,23277969.000,,,,27344766.000,,,,26218005.000,,,,28944830.000,,
DeferredTaxAssetsValuationAllowanceNoncurrent,,,,,,23277969.000,23470077.000,23364668.000,27194648.000,,,,,,,,,,,
DeferredTaxLiabilities,,,,,,,,,,,,,,,,,317051.000,,5262.000,5262.000
DeferredTaxLiabilitiesNoncurrent,411870.000,399756.000,0.000,,,,,,,,,,,,,,,552756.000,,
DeferredTaxLiabilitiesOther,,,,,,,,,,,,,,-76277.000,,,,-509990.000,,
DeferredTaxLiabilitiesTaxDeferredIncome,,,,,,,,,,,,,,-227981.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationDeferredTaxAssets,,,,,21400000.000,,,,,,,,,,,,,,,
DividendsPayable,,,,,116998.000,130887.000,144510.000,158286.000,,,,,,,,,,,,
DividendsPayableAmount,101053.000,132937.000,164821.000,196277.000,,,,,,,,,,119918.000,,,,,,
DividendsPayableCurrent,,,,,,,,,172212.000,186137.000,199760.000,213535.000,227461.000,241387.000,255010.000,368511.000,847314.000,,,
DividendsPayableCurrentAndNoncurrent,,,,,59472.000,73361.000,13623.000,27398.000,41324.000,55250.000,13623.000,27398.000,41324.000,55250.000,13623.000,127124.000,905104.000,1425843.000,671966.000,227001.000
DueFromRelatedPartiesCurrent,4006.000,18656.000,,7333.000,20231.000,23041.000,23537.000,35317.000,49527.000,,,,,,,,,,,
DueToRelatedPartiesCurrent,1431730.000,2407940.000,1738500.000,1700000.000,1059911.000,1060284.000,1561274.000,1421501.000,2534599.000,,,,,,,,,,,
DueToRelatedPartiesNoncurrent,,,,,1316000.000,1349906.000,1296280.000,1288791.000,,,,,,,,,,,,
