,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccountsPayableCurrent,12933000.000,12268000.000,14614000.000,15381000.000,17709000.000,18846000.000,23225000.000,18737000.000,17756000.000,17759000.000,19514000.000,21740000.000,20091000.000
AccountsReceivableNet,,,,,,,11887000.000,,,,,,
AccountsReceivableNetCurrent,61299000.000,60082000.000,66969000.000,68693000.000,71298000.000,68723000.000,73211000.000,73428000.000,76783000.000,73876000.000,78290000.000,80409000.000,78597000.000
AccruedInsuranceCurrent,,,,,1983000.000,2492000.000,3233000.000,3172000.000,3163000.000,3473000.000,3733000.000,3870000.000,3613000.000
AccruedLiabilitiesCurrent,24369000.000,30570000.000,31753000.000,32984000.000,27738000.000,33121000.000,29408000.000,35882000.000,30419000.000,42385000.000,33731000.000,39694000.000,32241000.000
AccumulatedAmortizationDeferredFinanceCosts,,,,,,,,,,,9000000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,51530000.000,53987000.000,50353000.000,54100000.000,59587000.000,76134000.000,79603000.000,83100000.000,85219000.000,89045000.000,94820000.000,95510000.000,100403000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,0.000,0.000,0.000,,,,,,,,,,
AdditionalPaidInCapital,240970000.000,239491000.000,239935000.000,241842000.000,241263000.000,241499000.000,242597000.000,243068000.000,244107000.000,244095000.000,243312000.000,227046000.000,227805000.000
AllowanceForDoubtfulAccountsReceivable,9889000000.000,10895000.000,,10895000.000,11180000.000,12082000.000,11887000.000,13834000.000,14397000.000,15717000.000,17028000.000,16307000.000,16409000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,10190000.000,,,,,,,,,,
Assets,969429000.000,982235000.000,978094000.000,985146000.000,1006538000.000,1011490000.000,1017203000.000,1019904000.000,1014608000.000,995837000.000,1006739000.000,998054000.000,992868000.000
AssetsCurrent,153988000.000,162244000.000,159862000.000,165421000.000,161924000.000,171784000.000,173095000.000,181568000.000,181322000.000,159174000.000,162676000.000,159206000.000,157958000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,263000.000,166000.000,2304000.000,3375000.000,2087000.000,1299000.000,190000.000,3163000.000,671000.000,550000.000,1356000.000,2306000.000,1428000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,34000.000,0.000,1657000.000,2292000.000,2189000.000,0.000,0.000,2275000.000,0.000,0.000,1831000.000,9864000.000,1764000.000
BuildingsAndImprovementsGross,103657000.000,102999000.000,100351000.000,100442000.000,102961000.000,,,,,,,,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,5700000.000,5900000.000,6300000.000,6100000.000,4800000.000,4700000.000,,,
CapitalizedComputerSoftwareGross,4905000.000,5158000.000,4827000.000,5064000.000,5276000.000,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,72715000.000,75847000.000,69521000.000,71547000.000,64559000.000,77167000.000,74582000.000,76527000.000,74364000.000,57727000.000,56026000.000,49027000.000,50793000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,1000000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesIssued,1000000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesOutstanding,1000000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
CommonStockValueOutstanding,,,,,,,,,,,0.000,0.000,0.000
ContractualObligation,,,,,48500000.000,48400000.000,48400000.000,,,,,,
DebtAndCapitalLeaseObligations,,,,,,,,,,,560148000.000,,
DeferredCompensationLiabilityCurrentAndNoncurrent,,,,,,,1300000.000,,,,,,
DeferredCompensationPlanAssets,,,,,,,1300000.000,,,,,,
DeferredFinanceCostsNoncurrentNet,,,,,,,,,,,6809000.000,6167000.000,5393000.000
DeferredIncomeTaxLiabilities,,,,,,,74022000.000,,,,77210000.000,,
DeferredRentCreditNoncurrent,,,,,,,,4472000.000,3248000.000,3309000.000,3324000.000,3318000.000,3332000.000
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,,1879000.000,,,,2782000.000,,
DeferredTaxAssetsGross,,,,,,,68426000.000,,,,81426000.000,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,2101000.000,,,,-76173000.000,,
DeferredTaxAssetsNet,,,,,,,,,,,1037000.000,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,50167000.000,,,,61281000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,,,,,140500000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,,,,,285000000.000,,
DeferredTaxAssetsOther,,,,,,,1591000.000,,,,1520000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,,,,514000.000,,,,447000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,4508000.000,,,,3935000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLegalSettlements,,,,,,,745000.000,,,,669000.000,,
DeferredTaxAssetsValuationAllowance,,,,,,,66325000.000,,,,80389000.000,,
DeferredTaxLiabilities,,,,,,,71921000.000,,,,,,
