,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,,,,,-85000.000,,,,291000.000,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,,,,,,,-29000.000,,,,-41000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,3800000.000,,,,3624000.000,,,,4992000.000,,,,9649000.000,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,4000.000,,,,-57000.000,,,,,,,,,,
AllocatedShareBasedCompensationExpense,4871000.000,5233000.000,5675000.000,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,2712000.000,,4054000.000,3985000.000,4291000.000,4201000.000,4108000.000,4154000.000,4192000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1371549.000,1347442.000,1627086.000,1299843923.000,2022794.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,45660000.000,,,,-69145000.000,,,,-106606000.000,,,,,,
CashFlowHedgeGainLossReclassifiedToInterestExpenseNet,615000.000,,,,,450000.000,572000.000,,,630000.000,630000.000,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,0.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,0.000,,
ComprehensiveIncomeNetOfTax,,,,,55589000.000,11661000.000,74541000.000,-43304000.000,2696000.000,71176000.000,65303000.000,16278000.000,12314000.000,92149000.000,-9535000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,3722000.000,2701000.000,4597000.000,2759000.000,2492000.000,648000.000,11000.000,112000.000,-2693000.000,1010000.000,-211000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,50743000.000,,,,59311000.000,14362000.000,79138000.000,-40545000.000,5188000.000,71824000.000,65314000.000,16390000.000,9621000.000,93159000.000,-9746000.000
