,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,-100000.000,,,,700000.000,,,,0.000,,,,,,,,-100000.000,,,,0.000
ComprehensiveIncomeNetOfTax,3500000.000,12000000.000,1900000.000,11400000.000,9100000.000,5600000.000,11500000.000,5100000.000,-11000000.000,22900000.000,-5100000.000,700000.000,-1300000.000,-7000000.000,2800000.000,17900000.000,-9300000.000,-45600000.000,-294300000.000,-183600000.000,-132600000.000,0.000,0.000,100000.000,0.000
DeferredIncomeTaxExpenseBenefit,5000000.000,,,,3600000.000,,,,-8000000.000,,,,4200000.000,,,,6700000.000,,,,0.000,,,,-800000.000
DistributionMadeToLimitedLiabilityCompanyLLCMemberDistributionsDeclaredPerUnit,,,,,,,,,,,0.543,,0.543,,,,,,,,,,,,
DistributionMadeToMemberOrLimitedPartnerDistributionsDeclaredPerUnit,,,,,,,,,,0.543,,,,,,,,,,,,,,,
EarningsPerShareBasic,,,,,,,,,,0.110,-0.060,,0.110,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,0.340,0.210,,0.160,0.210,0.380,0.050,-0.310,,,,,0.020,-0.060,,0.160,-0.830,-3.910,-2.680,-1.560,-0.020,-0.020,0.060,-0.020
EarningsPerShareDiluted,,,,,,,,,,0.110,-0.060,,0.110,,,,,,,,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,,,,,0.372,,0.383,,1.368,,0.000,0.316,0.316,-0.617,0.308
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,,,,,,,,0.350,,0.350,,,,,,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,,,,,,,,,,,0.022,,0.033,,,,,,,,
IncentiveDistributionDistributionPerUnit,,,,,0.532,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,-6200000.000,,17500000.000,-92500000.000,-117300000.000,-187400000.000,-116200000.000,-1900000.000,-1900000.000,-1900000.000,-2500000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,19300000.000,12600000.000,,9700000.000,13200000.000,24600000.000,3000000.000,-21800000.000,9300000.000,-4100000.000,-9700000.000,11400000.000,1800000.000,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,13500000.000,19300000.000,12600000.000,26900000.000,9700000.000,13200000.000,24600000.000,3000000.000,-21800000.000,9300000.000,-4100000.000,-9700000.000,11400000.000,1800000.000,-6200000.000,36700000.000,17500000.000,-92500000.000,-117300000.000,-187400000.000,-116200000.000,-1900000.000,-1900000.000,-1900000.000,-2500000.000
IncomeTaxExpenseBenefit,5000000.000,7100000.000,4800000.000,9900000.000,3600000.000,4800000.000,9200000.000,1100000.000,-8000000.000,3400000.000,-1000000.000,-2600000.000,4200000.000,700000.000,-2000000.000,13700000.000,6700000.000,-34400000.000,160500000.000,-100000.000,0.000,-600000.000,-600000.000,-600000.000,-800000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,,,,,,,205000000.000,,43400000.000,0.000,-3700000.000,-300000.000,0.000
IncomeTaxReconciliationChangeInEnactedTaxRate,,,,,,,,,,,,,,,,,,,,,,,3700000.000,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,,,,,,,,,,,,,,,,-44500000.000,,-43400000.000,-600000.000,-600000.000,,-800000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,-100000.000,,,,600000.000,,,,-100000.000,,,,,,,,,,,,
IncreaseDecreaseInDueFromAffiliatesCurrent,100000.000,,,,100000.000,,,,-200000.000,,,,-200000.000,,,,-200000.000,,,,0.000,,,,
IncreaseDecreaseInDueToAffiliatesCurrent,100000.000,,,,100000.000,,,,-100000.000,,,,-100000.000,,,,-100000.000,,,,0.000,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,,,,,,,,,,,,,,,,,,,,,,,0.000
NetCashProvidedByUsedInFinancingActivities,,,,,0.000,,,,272900000.000,,,,0.000,,,,,,,,0.000,,,,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,0.000,,,,272900000.000,,,,0.000,,,,,,,,0.000,,,,0.000
NetCashProvidedByUsedInInvestingActivities,,,,,0.000,,,,-272900000.000,,,,0.000,,,,,,,,0.000,,,,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,0.000,,,,-272900000.000,,,,0.000,,,,,,,,0.000,,,,0.000
NetCashProvidedByUsedInOperatingActivities,,,,,-100000.000,,,,700000.000,,,,0.000,,,,,,,,-100000.000,,,,0.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,-100000.000,,,,700000.000,,,,0.000,,,,,,,,-100000.000,,,,0.000
NetIncomeLoss,8500000.000,12200000.000,7800000.000,17000000.000,6100000.000,8400000.000,15400000.000,1900000.000,-13800000.000,5900000.000,-3100000.000,-7100000.000,7200000.000,1100000.000,-4200000.000,23000000.000,10800000.000,-58100000.000,-277800000.000,-187300000.000,-116200000.000,-1300000.000,-1300000.000,-1300000.000,-1700000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,-3900000.000,,2800000.000,17000000.000,-2000000.000,7800000.000,-8500000.000,-8100000.000,7000000.000,-5100000.000,-20100000.000,12500000.000,-16500000.000,3700000.000,-16400000.000,1300000.000,1300000.000,1400000.000,1700000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,-5000000.000,-200000.000,-5900000.000,-5600000.000,3000000.000,-2800000.000,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossTax,2900000.000,200000.000,3300000.000,-16100000.000,1800000.000,1600000.000,2400000.000,-6100000.000,-1700000.000,9900000.000,-1300000.000,8200000.000,-5000000.000,-4800000.000,4000000.000,-3000000.000,-11800000.000,7400000.000,-10000000.000,200000.000,0.000,600000.000,600000.000,600000.000,800000.000
OtherOperatingActivitiesCashFlowStatement,,,,,,,,,,,,,,,,,-100000.000,,,,-100000.000,,,,
PreferredStockDividendRatePercentage,,,,,,,,,,,,,,,,,0.075,,,,0.075,,,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,272900000.000,,,,0.000,,,,,,,,,,,,
StockIssued1,,,,,20500000.000,,,,22400000.000,,,,34600000.000,,,,38900000.000,,,,42700000.000,,,,47700000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,52800000.000,55300000.000,,64400000.000,65600000.000,66800000.000,-130700000.000,68800000.000,69900000.000,71100000.000,-139200000.000,74700000.000,77000000.000,79100000.000,-152800000.000,82900000.000
