,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AdvertisingExpense,,,,9020.000,19001.000,,,13950.000,0.000,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,,,,,,,,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,-3085.000,,,,
CashPeriodIncreaseDecrease,,,1102.000,,,,,,,,95.000
ComprehensiveIncomeNetOfTax,332983.000,-204443.000,,,,,,,,,
DebtInstrumentDecreaseForgiveness,,,,,,,,,,,198.000
Depreciation,,,,,,,,,0.000,,
EarningsPerShareBasicAndDiluted,,,,,,,,,,,-0.000
ExplorationExpenseMining,,,,,,,,,0.000,,
ExtinguishmentOfDebtAmount,,,,,,,,,0.000,,
ExtinguishmentOfDebtGainLossIncomeTax,,,,,,,,,0.000,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,0.000,,
ForeignCurrencyTransactionGainLossRealized,1019.000,,,-3.000,6.000,,,,,,101.000
ForeignCurrencyTransactionLossBeforeTax,,,-143.000,,,,86.000,,,,
GainLossOnDispositionOfAssets,,,,,,,,0.000,0.000,,
GeneralAndAdministrativeExpense,3484.000,24873.000,7937.000,71985.000,84377.000,29588.000,14743.000,30965.000,6921.000,7074.000,6898.000
IncomeLossFromContinuingOperations,,,-30625.000,,,,-23998.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,,,-12398.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,,21668.000,,,,,-58604.000,-12136.000,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,-168335.000,-139906.000,,,0.000,0.000,,
IncreaseDecreaseInAccountsAndOtherReceivables,,,,,,,9732.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,1571.000,,,,,,,,1161.000
IncreaseDecreaseInMarketableSecuritiesRestricted,,,-53000.000,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-109.000,,,,-118.000,,,,-168.000
InterestExpense,-2466.000,190.000,-564.000,-369.000,-645.000,-398.000,-667.000,,,,
InterestExpenseRelatedParty,,,471.000,,,,501.000,,,,198.000
InterestIncomeExpenseNet,,,,,,,,-143.000,-4.000,,-685.000
LiabilitiesFairValueAdjustment,,,,,,,,,0.000,,
MarketableSecuritiesGainLoss,-672000.000,,53000.000,-77000.000,-26600.000,93301.000,,,,,
MarketableSecuritiesRealizedGainLossOtherThanTemporaryImpairmentsAmount,,,,,,,,,0.000,,
NetCashProvidedByUsedInFinancingActivities,,,30501.000,,,,11379.000,,,,11886.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,30501.000,,,,11379.000,,,,11886.000
NetCashProvidedByUsedInOperatingActivities,,,-29399.000,,,,-14464.000,,,,-11791.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-29399.000,,,,-14464.000,,,,-11791.000
NetIncomeLoss,,,,,,,,,,,-26695.000
NetIncomeLossAttributableToParentDiluted,,,21668.000,,,,-24579.000,,,,-12982.000
NetIncomeLossAvailableToCommonStockholdersBasic,332983.000,-204443.000,0.000,-0.000,-0.000,,,,,,
NetIncomeLossAvailableToCommonStockholdersDiluted,0.000,-0.000,0.000,-0.000,,,-24579.000,,-12140.000,,-12982.000
NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims,1048297.000,,,,,,,,,,
OperatingExpenses,41867.000,48633.000,30625.000,90963.000,112667.000,122017.000,23998.000,58604.000,12136.000,16411.000,12398.000
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToNoncontrollingInterest,,,,-90963.000,-112667.000,,,,,,
OtherNoncashIncomeExpense,374850.000,-155810.000,52293.000,-77372.000,-27239.000,,,,,,
OtherOperatingIncomeExpenseNet,,,,,,,-581.000,-143.000,-4.000,-194.000,-584.000
ProFormaWeightedAverageSharesOutstandingDiluted,,,160851241.000,179299670.000,180174000.000,,,,,,
ProceedsFromIssuanceOfDebt,,,30501.000,,,,11379.000,,,,11886.000
ProfessionalAndContractServicesExpense,17533.000,12650.000,15000.000,0.000,,,,6500.000,0.000,,
ProfessionalFees,20850.000,11110.000,7688.000,9958.000,9289.000,,9255.000,,,,
ResearchAndDevelopmentExpense,,,,,,,,7189.000,5215.000,,5500.000
WeightedAverageBasicSharesOutstandingProForma,130208000.000,160851241.000,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,209104000.000,160851241.000,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,236191457.000,265447827.000,,266093479.000
WeightedAverageNumberOfSharesOutstandingBasic,,,160851241.000,179299670.000,180174000.000,,,,,,
