,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndOtherReceivablesNetCurrent,,,,,,,,,,315000.000,70699000.000,1308000.000,2021000.000,2248000.000,2515000.000,1652000.000
AccountsPayableCurrent,812000.000,2101000.000,5706000.000,2935000.000,3033000.000,3795000.000,4428000.000,3073000.000,6143000.000,3441000.000,6660000.000,3212000.000,4451000.000,5436000.000,4890000.000,3910000.000
AccountsReceivableNetCurrent,,,,,48000.000,2072000.000,,,,,,,,,,
AccountsReceivableRelatedParties,23000.000,23000.000,23000.000,23000.000,23000.000,,,,,,,,,,,
AccountsReceivableRelatedPartiesCurrent,,,,,,0.000,21000.000,15000.000,9000.000,,,,,,,
AccruedIncomeTaxesNoncurrent,,,1515000.000,1517000.000,1528000.000,2321000.000,334000.000,345000.000,357000.000,369000.000,354000.000,356000.000,360000.000,369000.000,367000.000,371000.000
AccruedLiabilitiesCurrent,6008000.000,6865000.000,9860000.000,10064000.000,12062000.000,15197000.000,14683000.000,13092000.000,13955000.000,18424000.000,11475000.000,9429000.000,9263000.000,8732000.000,8599000.000,6660000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,15032000.000,,,,15619000.000,,,,16851000.000,,,,18500000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,15000.000,17000.000,14000.000,-29000.000,-11000.000,34000.000,-17000.000,75000.000,104000.000,124000.000,20000.000,135000.000,162000.000,191000.000,260000.000,268000.000
AdditionalPaidInCapital,4621000.000,271091000.000,292505000.000,294113000.000,296178000.000,298739000.000,300790000.000,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,304183000.000,306762000.000,309796000.000,313344000.000,317080000.000,321014000.000,387201000.000,389620000.000,394476000.000
Assets,66234000.000,145210000.000,333685000.000,301886000.000,284304000.000,268940000.000,247842000.000,229008000.000,209081000.000,184574000.000,237887000.000,204930000.000,181893000.000,218188000.000,195482000.000,166946000.000
AssetsCurrent,57711000.000,140598000.000,318744000.000,286438000.000,269203000.000,256080000.000,240810000.000,221964000.000,201399000.000,177305000.000,231255000.000,198376000.000,176082000.000,212674000.000,189583000.000,161790000.000
AssetsFairValueDisclosure,47940000.000,125230000.000,275236000.000,266230000.000,251251000.000,226318000.000,212288000.000,192402000.000,172455000.000,144935000.000,118835000.000,108973000.000,134180000.000,177788000.000,147620000.000,
AvailableForSaleSecurities,,,,266230000.000,251251000.000,226318000.000,212288000.000,192402000.000,172455000.000,144935000.000,118835000.000,108973000.000,134180000.000,177788000.000,147620000.000,117740000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,58000.000,37000.000,79000.000,106000.000,124000.000,40000.000,135000.000,162000.000,191000.000,260000.000,274000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,24000.000,54000.000,4000.000,2000.000,,20000.000,,,,,6000.000
AvailableForSaleSecuritiesAmortizedCost,47925000.000,125213000.000,275222000.000,266259000.000,251262000.000,226284000.000,212305000.000,192327000.000,172351000.000,144811000.000,118815000.000,108838000.000,134018000.000,177597000.000,147360000.000,117472000.000
CapitalUnitsAuthorized,,150000000.000,150000000.000,,,,,,,,,,,,,
Cash,,,,17700000.000,15000000.000,21600000.000,19700000.000,20600000.000,27700000.000,30300000.000,38500000.000,84600000.000,37300000.000,29800000.000,36953000.000,39195000.000
CashAndCashEquivalentsAtCarryingValue,16173000.000,11092000.000,208931000.000,25950000.000,23379000.000,29995000.000,28138000.000,29115000.000,36255000.000,31280000.000,38444000.000,84563000.000,37771000.000,30084000.000,,
CashCashEquivalentsAndShortTermInvestments,47940000.000,125230000.000,275236000.000,266230000.000,266300000.000,247900000.000,232000000.000,213000000.000,200200000.000,175200000.000,157300000.000,193500000.000,171500000.000,207600000.000,184600000.000,156900000.000
CashEquivalentsAtCarryingValue,7649000.000,7676000.000,167973000.000,8267000.000,8282000.000,,,,,,,,,,,
ClassOfWarrantOrRightOutstanding,,,0.000,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,,145000000.000,145000000.000,145000000.000,145000000.000,145000000.000,145000000.000,145000000.000,145000000.000,145000000.000,145000000.000,145000000.000,145000000.000,145000000.000,145000000.000,145000000.000
CommonStockSharesIssued,,27848167.000,29397964.000,29538650.000,29738391.000,29809654.000,29847577.000,29988963.000,30054966.000,30096479.000,30116633.000,30292750.000,30384393.000,37084959.000,37114589.000,37623443.000
CommonStockSharesOutstanding,6535.000,27848167.000,29397964.000,29538650.000,29738391.000,29809654.000,29847577.000,29988963.000,30054966.000,30096479.000,30116633.000,30292750.000,30384393.000,37084959.000,37114589.000,37623443.000
CommonStockValue,,28000.000,29000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,37000.000,37000.000,37000.000
DeferredIncomeTaxLiabilities,,,,,,,143000.000,,,,151000.000,,,,,
DeferredOfferingCosts,,,,,,,,,300000.000,,,,,,,
DeferredRentCreditCurrent,596000.000,610000.000,624000.000,637000.000,651000.000,665000.000,678000.000,693000.000,708000.000,723000.000,738000.000,753000.000,768000.000,783000.000,,
DeferredRentCreditNoncurrent,3460000.000,3303000.000,3146000.000,2980000.000,2809000.000,2638000.000,2468000.000,2287000.000,2101000.000,1915000.000,1729000.000,1534000.000,1333000.000,1132000.000,2917000.000,3517000.000
DeferredRevenueCurrent,22726000.000,22726000.000,35059000.000,35059000.000,34625000.000,21186000.000,18747000.000,17636000.000,16525000.000,15102000.000,21543000.000,21393000.000,21058000.000,20799000.000,20510000.000,20192000.000
DeferredRevenueNoncurrent,11457000.000,8525000.000,148871000.000,142856000.000,137275000.000,133699000.000,130123000.000,126547000.000,122972000.000,119708000.000,179612000.000,174413000.000,169400000.000,164387000.000,159373000.000,154360000.000
DeferredTaxAssetsDeferredIncome,,,64270000.000,,,,52054000.000,,,,70428000.000,,,,63006000.000,
DeferredTaxAssetsGross,,,87424000.000,,,,103006000.000,,,,142265000.000,,,,185001000.000,
DeferredTaxAssetsNet,,,10331000.000,,,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,16678000.000,,,,28414000.000,,,,28833000.000,,,,58760000.000,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,117000000.000,,,,116500000.000,,,,110200000.000,,,,,
DeferredTaxAssetsOther,,,929000.000,,,,2378000.000,,,,5092000.000,,,,6668000.000,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,,,,,,,,,2600000.000,,,,2600000.000,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,4694000.000,,,,19249000.000,,,,36786000.000,,,,53047000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,853000.000,,,,911000.000,,,,1126000.000,,,,3520000.000,
DeferredTaxAssetsValuationAllowance,,,77093000.000,,,,102863000.000,,,,142114000.000,,,,185001000.000,
