,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,195899000.000,205500000.000,201978000.000,169525000.000,185756000.000,191169000.000,200993000.000,185086000.000,209449000.000,195410000.000,214177000.000,238813000.000,217028000.000,288918000.000,322567000.000,296860000.000,263506000.000,279306000.000,313890000.000,260580000.000,521011000.000,606423000.000,606793000.000,626773000.000,549200000.000
AccountsPayableCurrent,,135515000.000,140690000.000,109178000.000,121757000.000,123813000.000,147992000.000,121404000.000,149102000.000,127900000.000,154639000.000,154378000.000,162765000.000,218941000.000,244473000.000,217226000.000,189269000.000,205568000.000,243699000.000,202065000.000,392822000.000,439672000.000,473009000.000,458127000.000,416800000.000
AccruedInsuranceCurrent,,,,,,,,,,,,8164000.000,7637000.000,8192000.000,7976000.000,8602000.000,8796000.000,9136000.000,9629000.000,9331000.000,17259000.000,18248000.000,16993000.000,17179000.000,26300000.000
AccruedMarketingCostsCurrent,,5247000.000,6121000.000,7148000.000,6125000.000,5795000.000,6182000.000,7180000.000,5907000.000,5607000.000,6552000.000,7568000.000,5843000.000,6924000.000,13261000.000,12479000.000,8741000.000,8749000.000,8956000.000,7435000.000,18900000.000,18794000.000,11965000.000,12352000.000,11800000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,216327000.000,222939000.000,230907000.000,241402000.000,253918000.000,270546000.000,287763000.000,305354000.000,311434000.000,327054000.000,338058000.000,335348000.000,352017000.000,364085000.000,371779000.000,382923000.000,395037000.000,407583000.000,416764000.000,452913000.000,497716000.000,538179000.000,586730000.000,620900000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3022000.000,-4241000.000,-21860000.000,-22362000.000,-14556000.000,-23504000.000,-9099000.000,-16640000.000,-24048000.000,-35267000.000,-27814000.000,-31763000.000,-43567000.000,-32558000.000,-46724000.000,-64331000.000,-90612000.000,-84137000.000,-104097000.000,-113468000.000,-88944000.000,-84069000.000,-91096000.000,-101275000.000,-97400000.000
AdditionalPaidInCapitalCommonStock,708674000.000,707249000.000,711388000.000,714932000.000,717392000.000,719337000.000,722711000.000,726582000.000,730690000.000,732058000.000,740147000.000,748577000.000,764917000.000,776615000.000,1153097000.000,1177342000.000,1191734000.000,1193437000.000,1199066000.000,1207167000.000,2050334000.000,2059247000.000,2067569000.000,2071897000.000,2085100000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,517000.000,,,,305000.000,,,,405000.000,,,,1333000.000,,,,582000.000,,,,891000.000,
Assets,2397186000.000,2407719000.000,2476060000.000,2404529000.000,2483003000.000,2502568000.000,2568734000.000,2525873000.000,2534152000.000,2476483000.000,2626469000.000,2721054000.000,2676422000.000,2912356000.000,3946599000.000,3903004000.000,3815384000.000,3817088000.000,3843722000.000,3702796000.000,6864247000.000,6898603000.000,6923232000.000,6545822000.000,6475000000.000
AssetsCurrent,450779000.000,458150000.000,538409000.000,468394000.000,548277000.000,561954000.000,625649000.000,588411000.000,614588000.000,569236000.000,699203000.000,649689000.000,627462000.000,718940000.000,974260000.000,949436000.000,898903000.000,899575000.000,957121000.000,847203000.000,1461629000.000,1501771000.000,1561863000.000,1560749000.000,1523900000.000
AssetsHeldForSaleCurrent,4081000.000,4081000.000,4081000.000,4081000.000,4081000.000,4081000.000,4081000.000,4081000.000,4081000.000,,,,,,,,,,,,,,,,
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,,,,,,,,,,,,,,,,,,,,,2674000.000,2674000.000,2674000.000,3562000.000,3600000.000
BuildingsAndImprovementsGross,,148304000.000,150185000.000,158370000.000,166043000.000,173121000.000,174458000.000,177824000.000,178321000.000,179623000.000,187093000.000,194439000.000,194174000.000,197883000.000,205667000.000,209117000.000,208651000.000,212079000.000,218839000.000,226134000.000,446152000.000,455062000.000,459564000.000,465358000.000,473700000.000
BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount,,,,273200000.000,,,,275200000.000,,,,277400000.000,,,,333300000.000,,,,333300000.000,,,,408000000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxAssetsNoncurrent,,,,,,,,,,,,,,,,13300000.000,,,,3900000.000,,,,,
CapitalLeaseObligations,,,,,,,,,,,,,,,9300000.000,,,,,,,,,,
CapitalLeasedAssetsGross,,,,8615000.000,,,,8465000.000,,,,6999000.000,,,,14186000.000,,,,13926000.000,,,,17418000.000,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,6519000.000,,,,5267000.000,,,,4109000.000,,,,9495000.000,,,,7769000.000,,,,9242000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,8105000.000,,,,5888000.000,,,,4144000.000,,,,8819000.000,,,,4914000.000,,,,4962000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,2249000.000,,,,2109000.000,,,,1558000.000,,,,3930000.000,,,,3105000.000,,,,3106000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,739000.000,,,,8000.000,,,,47000.000,,,,65000.000,,,,67000.000,,,,62000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,1478000.000,,,,748000.000,,,,53000.000,,,,235000.000,,,,71000.000,,,,82000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,1534000.000,,,,1488000.000,,,,781000.000,,,,1341000.000,,,,256000.000,,,,833000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,2105000.000,,,,1535000.000,,,,1514000.000,,,,3105000.000,,,,1360000.000,,,,846000.000,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,,,,,,,191000.000,,,,143000.000,,,,55000.000,,,,33000.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,1348000.000,,,,891000.000,,,,458000.000,,,,508000.000,,,,167000.000,,,,208000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,6757000.000,,,,4997000.000,,,,3686000.000,,,,8311000.000,,,,4747000.000,,,,4754000.000,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,2096000.000,,,,3198000.000,,,,2890000.000,,,,4691000.000,,,,6157000.000,,,,8176000.000,
Cash,2375000.000,2347000.000,3080000.000,3279000.000,,,,94100000.000,,,,19300000.000,,,,31600000.000,,,,24400000.000,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,,67324000.000,74244000.000,83797000.000,94407000.000,91801000.000,28345000.000,108052000.000,46475000.000,15786000.000,17013000.000,22171000.000,51981000.000,54651000.000,44564000.000,22883000.000,34919000.000,61089000.000,51591000.000,47227000.000,62111000.000,67200000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000
CommonStockSharesIssued,35502000.000,35868000.000,35904000.000,35921288.000,35951000.000,36156000.000,36169000.000,36197000.000,36242000.000,36350000.000,36394000.000,36493000.000,36754000.000,37072000.000,42271000.000,42663000.000,42860000.000,43056000.000,43091000.000,43125563.000,56433000.000,56702000.000,56729000.000,56759863.000,56900000.000
CommonStockSharesOutstanding,35502000.000,35868000.000,35904000.000,35921288.000,35951000.000,36156000.000,36169000.000,36197000.000,36242000.000,36350000.000,36394000.000,36493000.000,36754000.000,37072000.000,42271000.000,42663000.000,42860000.000,43056000.000,43091000.000,43125563.000,56433000.000,56702000.000,56729000.000,56759863.000,56900000.000
CommonStockValueOutstanding,355000.000,359000.000,359000.000,359000.000,359000.000,361000.000,362000.000,362000.000,362000.000,363000.000,364000.000,365000.000,367000.000,371000.000,423000.000,427000.000,429000.000,430000.000,431000.000,431000.000,564000.000,567000.000,567000.000,567000.000,600000.000
ConstructionInProgressGross,,44226000.000,43143000.000,42683000.000,42914000.000,39350000.000,34107000.000,31335000.000,38775000.000,37238000.000,26522000.000,43146000.000,36390000.000,40348000.000,56948000.000,35010000.000,44949000.000,49543000.000,43204000.000,24493000.000,87594000.000,108486000.000,96655000.000,84986000.000,57000000.000
DebtAndCapitalLeaseObligations,,,,,,942248000.000,955490000.000,900044000.000,864085000.000,814891000.000,910041000.000,940496000.000,902012000.000,1020515000.000,1562810000.000,1459861000.000,1399063000.000,1345771000.000,1323822000.000,1244502000.000,3022299000.000,2946130000.000,2942875000.000,2824515000.000,2788400000.000
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible,,,,,,,,,,,,,,,,,,,,,,,,3300000.000,3300000.000
DeferredFinanceCostsGross,,,,,,,,,,,,,,,,,,,,,,20300000.000,20300000.000,20300000.000,20300000.000
DeferredFinanceCostsNet,,,,,,,,,,,,,,,,,,,,7868000.000,38381000.000,36699000.000,35017000.000,33334000.000,31700000.000
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,,,,,,346076000.000,,,,583455000.000,
DeferredTaxAssetsGross,,,,,,,,,,,,,,,,,,,,,,,,170225000.000,
