,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,488385.000,553208.000,346384.000,312559.000,369869.000,455001.000,496094.000,469113.000,470107.000,441631.000,405914.000
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,273616.000,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-236.000,-236.000,,-1181.000,1653.000,1653.000,
AdditionalPaidInCapital,,,,,13940520.000,13940520.000,13940520.000,14113154.000,14598946.000,13591580.000,-6652859.000
AdditionalPaidInCapitalCommonStock,13811576.000,13811576.000,13811576.000,13811576.000,,,,,,,
Assets,4013848.000,4015690.000,5672.000,23926.000,392344.000,357807.000,350703.000,381813.000,363455.000,3098.000,681.000
AssetsCurrent,26642.000,28484.000,5672.000,23926.000,44976.000,7599.000,967.000,32549.000,14663.000,1608.000,681.000
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,,,,272272.000,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,,,,,272272.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssets,,,,,354028.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsPrepaidExpenseAndOtherAssets,,,,,6237.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables,,,,,,-6424.000,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesAccountsPayable,,,,,69756.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationDeferredIncomeTaxesAssetLiabilityNet,,,,,272272.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,,,,,,344461.000,,,,,
BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,,,,,,81756.000,,,,,
BusinessAcquisitionPurchasePriceAllocationNoncurrentLiabilities,,,,,81756.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationNotesPayableAndLongTermDebt,,,,,12000.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,,,,,,-3134.000,,,,,
BusinessAcquisitionsPurchasePriceAllocationSubsequentYearsRemainingAdjustments,,,,,,,,,,272272.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,,,,,,,,,,187.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets,,,,,,,,,,354028.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,,,,,,,,,,81756.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,,,,,,,,,,69756.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesLongTermDebt,,,,,,,,,,12000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,,,,,,,,,,344461.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,,,,,,,,,,272272.000,
