,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,18000000.000,,,,0.000,,,,,,,,1000000.000,,,,0.000,,,,-1000000.000
AmortizationOfFinancingCosts,,,,,,,,,,,,,,,,,,,,,,,4000000.000
AssetImpairmentCharges,,,29000000.000,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-31000000.000,,,,-4000000.000,,,,-182000000.000,,,,-4000000.000,,,,-119000000.000,,,,-72000000.000
CashFlowHedgeLossReclassifiedToEarnings,,,0.000,1000000.000,0.000,-1000000.000,-1000000.000,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,,,0.020,,,,2.520,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,84000000.000,-38000000.000,13000000.000,-15000000.000,383000000.000,-151000000.000,-17000000.000,-43000000.000,-48000000.000,-469000000.000,-21000000.000,-29000000.000,-67000000.000,-169000000.000,-96000000.000,11000000.000,-17000000.000,-26000000.000,-18000000.000,124000000.000,-40000000.000,-128000000.000,-36000000.000
CostOfGoodsSold,1223000000.000,1137000000.000,1058000000.000,1087000000.000,1037000000.000,978000000.000,1049000000.000,1098000000.000,1092000000.000,1077000000.000,1129000000.000,1174000000.000,1188000000.000,1043000000.000,923000000.000,925000000.000,905000000.000,787000000.000,802000000.000,854000000.000,701000000.000,681000000.000,737000000.000
CostsIncurredAssetRetirementObligationIncurred,,,,,,,,,,,,,,,,,,,,30000000.000,,,
DeferredIncomeTaxExpenseBenefit,,,5000000.000,,,,-41000000.000,,,,-1000000.000,,,,-7000000.000,,,,2000000.000,,,,0.000
DepreciationDepletionAndAmortization,,,38000000.000,,,,38000000.000,,,,35000000.000,,,,34000000.000,34000000.000,34000000.000,35000000.000,35000000.000,36000000.000,30000000.000,30000000.000,28000000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,-1000000.000,-1000000.000,,-1000000.000,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,0.000,-1000000.000,,0.000,,,,,,,,,,,,,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,,0.000,0.000,,,,,,,,,,,,,,
DividendsCommonStock,,,-1000000.000,,,,-208000000.000,,,,,,,,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,3000000.000,,,,-2000000.000,,,,-2000000.000,,,,-5000000.000,,,,2000000.000,,,,2000000.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,-0.480,-0.500,-0.070,,-2.360,-0.140,0.250,,-0.170,0.110,-0.530,,-0.230
FairValueOptionChangesInFairValueGainLoss,,,,0.000,,,,,,,,,,,,,,,,,,,
FairValueOptionChangesInFairValueGainLoss1,,,,,,,,7000000.000,7000000.000,,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,,,,0.000,14000000.000,,2000000.000,11000000.000,-6000000.000,3000000.000,
ForeignCurrencyTransactionGainLossUnrealized,,,,,,,-28000000.000,,,,4000000.000,,,,1000000.000,,,,29000000.000,,,,-4000000.000
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,,,,,,-240000000.000,,,-3000000.000
GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,-240000000.000,0.000,,
GainsLossesOnExtinguishmentOfDebt,,0.000,,,,,-6000000.000,0.000,0.000,0.000,0.000,,,,,,14000000.000,,23000000.000,21000000.000,3000000.000,-95000000.000,-3000000.000
GoodwillTranslationAndPurchaseAccountingAdjustments,,,29000000.000,-44000000.000,18000000.000,-16000000.000,18000000.000,14000000.000,,,,,,,,,,,,,,,
GrossProfit,215000000.000,185000000.000,178000000.000,172000000.000,140000000.000,106000000.000,143000000.000,152000000.000,157000000.000,122000000.000,164000000.000,163000000.000,159000000.000,117000000.000,156000000.000,162000000.000,160000000.000,122000000.000,107000000.000,98000000.000,118000000.000,77000000.000,133000000.000
ImpairmentOfLongLivedAssetsHeldForUse,18000000.000,0.000,23000000.000,0.000,0.000,0.000,0.000,7000000.000,0.000,104000000.000,,0.000,0.000,,,,,,,,,,
IncomeLossFromContinuingOperations,66000000.000,39000000.000,-16000000.000,28000000.000,364000000.000,-52000000.000,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,63000000.000,29000000.000,-23000000.000,26000000.000,-13000000.000,-50000000.000,-40000000.000,-25000000.000,-17000000.000,-220000000.000,-21000000.000,-22000000.000,-30000000.000,-69000000.000,-11000000.000,-7000000.000,4000000.000,-8000000.000,-41000000.000,162000000.000,-30000000.000,-102000000.000,-35000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,63000000.000,34000000.000,-21000000.000,22000000.000,360000000.000,-56000000.000,-8000000.000,-31000000.000,-74000000.000,-538000000.000,-31000000.000,-33000000.000,-32000000.000,-72000000.000,-37000000.000,-8000000.000,3000000.000,-14000000.000,-48000000.000,145000000.000,-46000000.000,-100000000.000,-43000000.000
IncomeLossFromDiscontinuedOperationsNetOfTax,-3000000.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,3000000.000,5000000.000,5000000.000,6000000.000,4000000.000,4000000.000,4000000.000,3000000.000,-2000000.000,12000000.000,4000000.000,6000000.000,4000000.000,6000000.000,3000000.000,6000000.000,4000000.000,4000000.000,4000000.000,5000000.000,-1000000.000,3000000.000,1000000.000
IncomeTaxExpenseBenefit,0.000,-5000000.000,-2000000.000,4000000.000,-373000000.000,6000000.000,-32000000.000,6000000.000,57000000.000,318000000.000,10000000.000,11000000.000,2000000.000,3000000.000,26000000.000,1000000.000,1000000.000,6000000.000,7000000.000,17000000.000,16000000.000,-2000000.000,8000000.000
IncomeTaxesPaidNet,,,7000000.000,,,,0.000,,,,13000000.000,,,,4000000.000,,,,9000000.000,,,,3000000.000
IncreaseDecreaseInAccountsPayable,,,133000000.000,,,,94000000.000,,,,86000000.000,,,,29000000.000,,,,-31000000.000,,,,12000000.000
IncreaseDecreaseInAccountsReceivable,,,106000000.000,,,,96000000.000,,,,125000000.000,,,,41000000.000,,,,73000000.000,,,,91000000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,-2000000.000,,,,4000000.000,,,,1000000.000,,,,17000000.000,,,,-3000000.000,,,,-7000000.000
IncreaseDecreaseInInventories,,,65000000.000,,,,67000000.000,,,,87000000.000,,,,9000000.000,,,,32000000.000,,,,37000000.000
IncreaseDecreaseInOtherOperatingAssets,,,1000000.000,,,,-12000000.000,,,,-9000000.000,,,,-9000000.000,,,,-1000000.000,,,,-2000000.000
IncreaseDecreaseInOtherOperatingLiabilities,,,-17000000.000,,,,49000000.000,,,,3000000.000,,,,35000000.000,,,,50000000.000,,,,0.000
IncreaseDecreaseInRestrictedCash,,,0.000,,,,-15000000.000,,,,0.000,,,,,,,,3000000.000,,,,-1000000.000
InterestExpense,,,,-67000000.000,-66000000.000,,-74000000.000,-76000000.000,-77000000.000,530000000.000,-77000000.000,-76000000.000,-77000000.000,-78000000.000,-77000000.000,84000000.000,84000000.000,235000000.000,79000000.000,80000000.000,76000000.000,75000000.000,83000000.000
InterestIncomeExpenseNet,-65000000.000,-67000000.000,-65000000.000,-67000000.000,-66000000.000,-65000000.000,-74000000.000,-76000000.000,-77000000.000,-76000000.000,-77000000.000,-76000000.000,-77000000.000,-78000000.000,-77000000.000,-84000000.000,-84000000.000,-81000000.000,-79000000.000,-80000000.000,-76000000.000,545000000.000,-83000000.000
InterestPaidNet,,,77000000.000,,,,44000000.000,,,,66000000.000,,,,67000000.000,,,,59000000.000,,,,52000000.000
InvestmentsInAndAdvancesToAffiliatesDividendsOrInterest,,,2000000.000,,,,14000000.000,,,,0.000,,,,,,,,,,,,
LossOnContractTermination,,,,,,,,,,,,,,,,,,,,25000000.000,,,
