,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,8080000.000,6688000.000,10344000.000,9961000.000,8968000.000,11536000.000,8022000.000,6022000.000,5550000.000,5745000.000,5540000.000,4975000.000,4268000.000,4263000.000,3349000.000,5780000.000,6272000.000,5379000.000,3403000.000,3592000.000,3599000.000,3634000.000,5175000.000,3396000.000
AccountsReceivableNetCurrent,16686000.000,14653000.000,23383000.000,6385000.000,12251000.000,14334000.000,6888000.000,7280000.000,7415000.000,8541000.000,9074000.000,7933000.000,4073000.000,4190000.000,5773000.000,4452000.000,4586000.000,3990000.000,4397000.000,5187000.000,5725000.000,4492000.000,7502000.000,2546000.000
AccruedLiabilitiesCurrent,6592000.000,6528000.000,4961000.000,5991000.000,6724000.000,6858000.000,5034000.000,4806000.000,4899000.000,3770000.000,4324000.000,3570000.000,3058000.000,3234000.000,2731000.000,2684000.000,2569000.000,2318000.000,2348000.000,2591000.000,2021000.000,2243000.000,2285000.000,2177000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,100984000.000,106887000.000,49422000.000,52136000.000,54850000.000,57497000.000,60173000.000,62881000.000,65527000.000,68237000.000,70952000.000,73678000.000,76496000.000,79318000.000,82151000.000,84973000.000,87756000.000,86561000.000,87483000.000,88442000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AllowanceForDoubtfulAccountsReceivableCurrent,255000.000,178000.000,178000.000,178000.000,178000.000,178000.000,10000.000,0.000,0.000,0.000,,,,,,,,,,,,,,
Assets,236907000.000,232176000.000,232441000.000,227907000.000,217073000.000,211637000.000,121259000.000,116826000.000,115107000.000,112541000.000,110083000.000,108079000.000,87718000.000,87617000.000,84325000.000,82279000.000,77697000.000,72788000.000,66611000.000,63594000.000,61462000.000,60033000.000,67777000.000,61188000.000
AssetsCurrent,63576000.000,63470000.000,68798000.000,66890000.000,59620000.000,56633000.000,45368000.000,43714000.000,52589000.000,52685000.000,52879000.000,53422000.000,35282000.000,36922000.000,34920000.000,34954000.000,32957000.000,30649000.000,27202000.000,26907000.000,27035000.000,26734000.000,34139000.000,28190000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,91748000.000,91748000.000,,,,91748000.000,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,5571000.000,4500000.000,12500000.000,8000000.000,8000000.000,8000000.000,0.000,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,,,8000000.000,8000000.000,,,,,,,,,,,,,,,,
BusinessCombinationConsiderationTransferred,,,,,,157100000.000,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,20036000.000,18725000.000,19023000.000,25159000.000,19473000.000,11210000.000,21756000.000,21054000.000,22340000.000,27796000.000,23365000.000,25375000.000,20390000.000,21982000.000,18407000.000,20192000.000,18312000.000,16566000.000,14942000.000,14367000.000,14370000.000,15416000.000,18644000.000,18116000.000
CommonStockNoParValue,0.000,,,,,,,,,,,,,,,,,,,,,,,
CommonStockSharesIssued,24714180.000,24714180.000,24714180.000,24714180.000,24714180.000,24714180.000,25410851.000,25410851.000,25410851.000,,,,,,,,,,,,,,,
CommonStockSharesOutstanding,24714180.000,24714180.000,24714180.000,24714180.000,24714180.000,24714180.000,25410851.000,25410851.000,25410851.000,,,,,,,,,,,,,,,
CommonStockValue,171234000.000,171246000.000,171247000.000,171248000.000,171249000.000,171250000.000,68792000.000,68792000.000,68712000.000,,,,,,,,,,,,,,,
CommonUnitIssued,,,,,,,,,,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000
CommonUnitOutstanding,,,,,,,,,,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000,25410851.000
DebtDefaultLongtermDebtAmount,,,,,,,,,750000.000,,,,,,,,,,,,,,,
DebtInstrumentAnnualPrincipalPayment,,,,,815000.000,,,,,,,,,,,,,,,,,,,
DebtInstrumentBasisSpreadOnVariableRate,,,,,0.034,,,,,,,,,,,,,,,,,,,
DebtInstrumentFeeAmount,,,,,,,,,,,,3098000.000,3120000.000,3142000.000,3164000.000,3118000.000,,,,,,,,
DebtInstrumentInterestRateEffectivePercentage,,,,,0.001,0.006,0.006,0.006,0.002,0.005,0.005,0.005,,,,,,,,,,,,
DeferredFinanceCostsNet,,,,,,,,,,,,,,,,,,,392000.000,401000.000,386000.000,407000.000,382000.000,358000.000
DeferredRevenueNoncurrent,4376000.000,4208000.000,4039000.000,3871000.000,3703000.000,3534000.000,,,,,,,,,,,,,,,,,,
DepositsAssetsCurrent,369000.000,1014000.000,977000.000,608000.000,728000.000,1639000.000,,,,,,,,,,,,,,,,,,
DerivativeAssetsCurrent,0.000,0.000,,35000.000,,,,,,,,,,,,,,,,,,,,
DerivativeInstrumentsAndHedgesLiabilities,,832000.000,601000.000,0.000,295000.000,910000.000,,,,,,,,,,,,,,,,,,
DerivativeLiabilitiesCurrent,,,,,295000.000,910000.000,,,,,,,,,,,,,,,,,,
DerivativeLiabilitiesNoncurrent,,,,,218000.000,75000.000,,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationAccountsNotesAndLoansReceivableNet,,,,,,,1071000.000,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationCash,,,,,,,,,,,,,,673000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationDeferredRevenue,,,,,,,,,3422000.000,3422000.000,,,,3422000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationIntangibleAssets,,,,,,,,,,,,,,396000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationPrepaidAndOtherAssetsCurrent,,,,,,,,,,140000.000,,,,140000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipment,,,,,,,,,,,,,,83097000.000,,,,,,,,,,
DividendsPayableCurrent,,,,,,,,,,7877000.000,,,,,,,,,,,,,,
DividendsPayableCurrentAndNoncurrent,,,,,,,,,,7877000.000,,,,,,,,,,,,,,
EnergyRelatedInventoryChemicals,,,,,1109000.000,919000.000,682000.000,590000.000,571000.000,792000.000,843000.000,579000.000,762000.000,643000.000,647000.000,533000.000,575000.000,778000.000,927000.000,755000.000,725000.000,814000.000,826000.000,891000.000
EscrowDeposit,,,,,,12500000.000,12500000.000,12500000.000,12500000.000,12500000.000,12500000.000,12500000.000,12500000.000,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,,,,,218000.000,75000.000,,,,,,,,0.000,,,,0.000,,,,,,
InventoriesPropertyHeldForSaleCurrent,,,,,,,,,,,,,,10864000.000,,,,,,,,,,
InventoryNet,19946000.000,22106000.000,19558000.000,28045000.000,17149000.000,21544000.000,6734000.000,7023000.000,6776000.000,4538000.000,5437000.000,5254000.000,5076000.000,4046000.000,4391000.000,4374000.000,4331000.000,4621000.000,5070000.000,4675000.000,4347000.000,4530000.000,5342000.000,4993000.000
InventorySuppliesNetOfReserves,,,,,2692000.000,2706000.000,1563000.000,1542000.000,1527000.000,1559000.000,1499000.000,1547000.000,1611000.000,1650000.000,1733000.000,1716000.000,1669000.000,1630000.000,1671000.000,1733000.000,1702000.000,1786000.000,1889000.000,1941000.000
InventoryWorkInProcess,,,,,3440000.000,3992000.000,1532000.000,1572000.000,1568000.000,1018000.000,1032000.000,1180000.000,957000.000,768000.000,,,,,,,,,,
InventoryWorkInProcessNetOfReserves,,,,,,,,,,,,,,,895000.000,907000.000,899000.000,892000.000,832000.000,817000.000,811000.000,705000.000,744000.000,694000.000
Liabilities,170943000.000,166530000.000,156702000.000,152969000.000,151346000.000,155754000.000,95203000.000,92504000.000,90530000.000,95318000.000,86366000.000,79346000.000,58702000.000,53110000.000,47115000.000,48063000.000,42881000.000,40372000.000,35373000.000,35789000.000,34234000.000,33510000.000,35217000.000,32352000.000
