,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-09-30
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,2938000.000,,,
AssetManagementCosts,274000.000,274000.000,274000.000,242000.000,273000.000,267000.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,,,,,472000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,131000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-3083000.000,,-2353000.000,
CommonStockDividendsPerShareDeclared,,,,,0.000,
ComprehensiveIncomeNetOfTax,,,-1560000.000,287000.000,-425000.000,-951000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,-40000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,296000.000,-451000.000,-991000.000
Depreciation,,,,,,22000.000
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationNetOfTax,591000.000,862000.000,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,95000.000,,-21000.000
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,85000.000,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,39000.000,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,124000.000,,
DividendIncomeOperating,,,,,,8000.000
EarningsPerShareBasicAndDiluted,,,,0.010,-0.040,-0.120
ForeclosedRealEstateExpense,127000.000,258000.000,554000.000,,,
GainLossOnSaleOfMortgageLoans,,,139000.000,31000.000,,
GainLossOnSaleOfOtherInvestments,,,10000.000,,42000.000,-2000.000
GainLossRelatedToLitigationSettlement,,,-22000.000,90000.000,15000.000,
GainsLossesOnSalesOfInvestmentRealEstate,,64000.000,,,,
GainsLossesOnSalesOfOtherRealEstate,10000.000,,,,,
GeneralInsuranceExpense,,,73000.000,73000.000,73000.000,71000.000
ImpairmentOfRealEstate,612000.000,708000.000,,,,
IncomeLossFromContinuingOperations,1101000.000,-1362000.000,-1022000.000,222000.000,-258000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,-1022000.000,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,-258000.000,-1621000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.080,-0.110,-0.080,0.020,-0.020,-0.140
IncomeLossFromDiscontinuedOperationsNetOfTax,-138000.000,-40000.000,-544000.000,-157000.000,-167000.000,174000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,-0.020,-0.020,-0.010,-0.010,-0.020,0.020
IncomeLossFromEquityMethodInvestments,,,,,,-58000.000
IncomeLossFromOperationsBeforeExtraordinaryItemsPerBasicAndDilutedShare,0.060,-0.130,-0.090,,,
IncomeTaxExpenseBenefit,,,,,0.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-128000.000,,-151000.000,
IncreaseDecreaseInDeferredRevenue,,,-49000.000,,-42000.000,
IncreaseDecreaseInDueFromRelatedParties,,,-85000.000,,-259000.000,
IncreaseDecreaseInOtherOperatingAssets,,,209000.000,,-38000.000,
IncreaseDecreaseInReceivables,,,,,1000.000,
InterestExpense,50000.000,60000.000,,2000.000,,3000.000
InterestIncomeDepositsWithFinancialInstitutions,2000.000,1000.000,1000.000,,,
InterestIncomeOperating,258000.000,259000.000,268000.000,427000.000,368000.000,267000.000
InterestPaid,,,,,0.000,
LitigationSettlementGross,,,,203000.000,15000.000,24000.000
ManagementFeeAmountPaid,,,,,300000.000,
MarketableSecuritiesGainLoss,,,15000.000,,,292000.000
