,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-11-30,2014-02-28,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28
AdvertisingExpense,,,,,0.000,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,1173000.000,,1757442.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,0.000,,,,2132.000,,-16256.000,,,,,,,,,,,
CostOfServices,0.000,0.000,0.000,,,,,,,,,,,,,,,
DebtInstrumentDecreaseForgiveness,,,,,,,,,,,,,,,,,,-762828.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000,-0.750,-11.880,-0.220,-0.010,0.000,-0.010,0.000,0.000,-0.010,0.000,0.000,0.000,-0.010,0.000,0.000
GeneralAndAdministrativeExpense,3000.000,3000.000,0.000,,74311.000,10191.000,29628.000,-2269.000,103312.000,149587.000,125990.000,133117.000,137714.000,45247.000,,,,38884.000
GrossProfit,0.000,0.000,0.000,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,,-421198.000,-134473.000,,-431027.000,-1843359.000,-150813.000,-763864.000,-8313.000,-1128896.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,-2744230.000,-1313382.000,-82575.000,-1897022.000,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,-3000.000,-3000.000,-3000.000,-46813000.000,-14055708.000,,,,,,,,,,,,,
IncomeTaxesPaid,0.000,0.000,0.000,,,,,,,,,,,,,,,
IncomeTaxesPaidNet,0.000,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,0.000,,,,7500.000,,17520.000,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,,,,137714.000,,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,8902.000,,,,,,8313.000,,,,8313.000,
IncreaseDecreaseInBookOverdrafts,,,,,,,204.000,,,,,,,,,,,
IncreaseDecreaseInInventories,0.000,,,,,,,,,,,,,,,,,
InterestExpense,,,,,,,-8902.000,-7539.000,-7526.000,27685.000,8483.000,23463.000,8313.000,8313.000,8313.000,8313.000,8313.000,8313.000
InterestPaid,0.000,,,,,,,,,,,,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,1173000.000,,,,,,285000.000,,,,,
LeaseAndRentalExpense,,,,,1885.000,,,,,,,,,,,,,
MarketingExpense,,,,,,,,,,212616.000,,,285000.000,1789799.000,142500.000,755552.000,,1045000.000
NetCashProvidedByUsedInFinancingActivities,0.000,,,,512000.000,,97704.000,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,0.000,,,,512000.000,,97704.000,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,0.000,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,0.000,,,,-509868.000,,-113960.000,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,0.000,,,,-509868.000,,-113960.000,,,,,,,,,,,
NetIncomeLoss,-3000.000,-3000.000,-3000.000,-46813000.000,-14055708.000,-2744230.000,-1313382.000,,-1897022.000,-421198.000,-134473.000,-140975.000,-431027.000,-1843359.000,-150813.000,-763864.000,-8313.000,-366068.000
OperatingExpenses,3000.000,3000.000,3000.000,48813000.000,14055708.000,2744239.000,1304480.000,75036.000,1889496.000,393513.000,125990.000,132564.000,422714.000,1835046.000,142500.000,755551.000,,1120583.000
OperatingIncomeLoss,-3000.000,-3000.000,-3000.000,-46813000.000,-14055708.000,-2744230.000,-1304480.000,-75036.000,-1889496.000,-393513.000,-125990.000,-132564.000,-422714.000,-1835046.000,-142500.000,-755551.000,,-1120583.000
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,0.000,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,0.000,,,,512000.000,,,,,,,,,,,,,
ProceedsFromIssuanceOrSaleOfEquity,0.000,,,,,,,,,,,,,,,,,
ProceedsFromNotesPayable,,,,,,,97500.000,,,,,,,,,,,
ProfessionalFees,0.000,0.000,0.000,,443057.000,16270.000,,,,,,,,,,,,
Revenues,0.000,0.000,,,,,,,,,,,,,,,,
SalesRevenueNet,0.000,0.000,,,,,,,,,,,,,,,,
ShareBasedCompensation,3000.000,,,,13538340.000,2717769.000,,,,,,,,,,,,
StockIssuedDuringPeriodSharesIssuedForServices,,,,,,,,,,,,,15000000.000,,,,,
StockIssuedDuringPeriodValueIssuedForCash,,,,,,,,,90323.000,,,,,,,,,
StockIssuedDuringPeriodValueIssuedForServices,,,,,,,,,1757442.000,,,,285000.000,,,,,
StockholdersEquityNoteStockSplitConversionRatio,,,,,130.000,,,,,,,,,,,,,
TechnologyServicesCosts,,,,,,,101852.000,77305.000,,31310.000,,,,,,,,36699.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,53814054.000,53814054.000,53814054.000,-99294824.000,1183273.000,12284683.000,102659912.000,107143429.000,147589663.000,166864681.000,175187683.000,-323440253.000,179033837.000,217101969.000,290559002.000,-435550382.000,331953592.000,332564704.000
