,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,15002.000,15257.000,17077.000,20890.000,21262.000,24550.000,27112.000,30981.000
AdditionalPaidInCapital,19092.000,19092.000,19092.000,19092.000,19092.000,56209.000,58209.000,58209.000
Assets,2918.000,3871.000,2099.000,2599.000,90.000,0.000,0.000,
AssetsCurrent,2918.000,3871.000,2099.000,2599.000,90.000,0.000,0.000,
Cash,2918.000,3871.000,2099.000,2599.000,90.000,0.000,0.000,
CashAndCashEquivalentsAtCarryingValue,2918.000,3871.000,2099.000,2599.000,90.000,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,800000000.000,800000000.000,800000000.000,800000000.000,800000000.000,800000000.000,800000000.000,800000000.000
CommonStockSharesIssued,845000.000,845000.000,845000.000,845000.000,845000.000,845000.000,845000.000,845000.000
CommonStockSharesOutstanding,770200.000,770200.000,770200.000,770200.000,770200.000,845000.000,845000.000,845000.000
CommonStockValue,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000
ConvertibleDebt,,33197.000,33197.000,34144.000,,33247.000,32272.000,33191.000
ConvertibleNotesPayable,,,,,33197.000,1000.000,3000.000,1000.000
ConvertibleNotesPayableCurrent,125000.000,125073.000,126023.000,126973.000,127920.000,128870.000,129845.000,130926.000
DueFromAffiliates,34700.000,,34700.000,34700.000,34700.000,34700.000,34700.000,34700.000
DueToRelatedPartiesCurrent,,,,,,34700.000,34700.000,34700.000
LiabilitiesAndStockholdersEquity,2918.000,3871.000,2099.000,2599.000,90.000,0.000,0.000,0.000
LiabilitiesCurrent,192279.000,176030.000,178800.000,183563.000,184882.000,188120.000,191657.000,196607.000
OperatingLossCarryforwards,118000.000,202000.000,206000.000,213000.000,217000.000,221000.000,227000.000,232000.000
OtherAdditionalCapital,,,,,36117.000,,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000
RetainedEarningsAccumulatedDeficit,-185436.000,-201851.000,-206393.000,-213156.000,-216984.000,-221312.000,-226849.000,-231799.000
StockholdersEquity,-189361.000,-172159.000,-176701.000,-180964.000,-184792.000,-188120.000,-191657.000,-196607.000
TreasuryStockDeferredEmployeeStockOwnershipPlan,-23025.000,-23025.000,-23025.000,-23025.000,-23025.000,-23025.000,-23025.000,-23025.000
TreasuryStockShares,74800.000,74800.000,74800.000,74800.000,74800.000,74800.000,74800.000,74800.000
