,2011-09-30
AccountsPayableCurrent,6670308.000
AccountsReceivableNetCurrent,16578868.000
AccruedSalariesCurrent,302135.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,2309136.000
AdditionalPaidInCapital,26510662.000
AdvancesOnInventoryPurchases,2931770.000
Assets,105022979.000
AssetsCurrent,63132635.000
CashAndCashEquivalentsAtCarryingValue,1647923.000
CommonStockParOrStatedValuePerShare,0.001
CommonStockSharesAuthorized,300000000.000
CommonStockSharesIssued,36888000.000
CommonStockSharesOutstanding,36888000.000
CommonStockSharesSubscriptions,0.000
CommonStockValue,36888.000
CustomerDepositsCurrent,827061.000
DeferredTaxLiabilitiesCurrent,604993.000
DerivativeLiabilitiesCurrent,0.000
DueFromRelatedPartiesCurrent,40679.000
DueToRelatedPartiesCurrent,15606.000
DueToRelatedPartiesNoncurrent,1510563.000
InventoryNet,11745964.000
Liabilities,46556357.000
LiabilitiesAndStockholdersEquity,105022979.000
LiabilitiesCurrent,30752803.000
LoansPayableToBankCurrent,12317980.000
LongTermLoansFromBank,13687998.000
NotesReceivableNet,5469188.000
OtherAccountsPayableAndAccruedLiabilities,5752379.000
OtherAssets,47829.000
PreferredStockParOrStatedValuePerShare,0.001
PreferredStockSharesAuthorized,10000000.000
PreferredStockSharesIssued,8000000.000
PreferredStockSharesOutstanding,8000000.000
PreferredStockValue,8000.000
PrepaidExpenseAndOtherAssetsCurrent,7361711.000
PropertyPlantAndEquipmentNet,20486653.000
RegistrationPaymentArrangementAccrualCarryingValue,411450.000
RestrictedCashAndCashEquivalents,0.000
RestrictedCashAndCashEquivalentsNoncurrent,748512.000
RetainedEarningsAccumulatedDeficit,28562948.000
ShortTermBankLoansAndNotesPayable,3002531.000
ShortTermInvestments,9143712.000
StatutoryAccountingPracticesStatutoryCapitalAndSurplusBalance,1038988.000
StockholdersEquity,58466622.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,58466622.000
TaxesPayableCurrent,626074.000
ValueAddedTaxReceivableCurrent,0.000
