,2011-07-31,2012-04-30,2013-01-31,2013-04-30,2013-07-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AdjustmentsToAdditionalPaidInCapitalOther,,,5965.000,,,,,,,,,,,5084.000,,,,4093.000,
AmortizationOfDebtDiscountPremium,,,-5965.000,,,-5353.000,,,,4600.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-4604.000,,,6372.000,,,,-27318.000,,,,-20063.000,,,,471.000,
ComprehensiveIncomeNetOfTax,,,-181717.000,-158792.000,-170644.000,-215285.000,-90732.000,-253448.000,-264705.000,-146911.000,-245542.000,-205868.000,-145794.000,-53589.000,-272905.000,-78967.000,-66837.000,-95883.000,-175850.000
DebtConversionOriginalDebtAmount1,,,,,,,,,,,,,,500000.000,,,,,
Depreciation,1311.000,6511.000,6438.000,6490.000,6599.000,6698.000,6662.000,6606.000,6674.000,6648.000,7914.000,8018.000,7871.000,7703.000,7682.000,7438.000,6765.000,4666.000,3619.000
EarningsPerShareBasicAndDiluted,,,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.010,-0.000,-0.000,-0.000,-0.020,0.000,0.000,-0.000,-0.010,0.000,-0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,57.000,,,193.000,,,,-827.000,,,,-661.000,,,,-47.000,
GeneralAndAdministrativeExpense,158392.000,111415.000,109111.000,87971.000,101260.000,133179.000,117885.000,131642.000,160708.000,134067.000,145543.000,107394.000,127536.000,80911.000,124931.000,79048.000,89551.000,69623.000,100238.000
IncomeLossFromContinuingOperations,-166790.000,-130464.000,-134960.000,-97836.000,-113226.000,-150293.000,-133965.000,-158158.000,-175338.000,-163917.000,-154512.000,-144171.000,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,-223312.000,-217662.000,-210712.000,-211168.000,-190515.000,-215404.000,-173640.000,-145178.000,-154113.000,-183335.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,-189125.000,-160098.000,-175261.000,-138566.000,-156548.000,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.000,,,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,,,,,,,,,,0.000,0.000,0.000,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,4435.000,,,,-501.000,,,,17028.000,
IncreaseDecreaseInInventories,,,,,,,,,,,,,,-2730.000,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,,,,,,6902.000,,,,5344.000,
IncreaseDecreaseInPrepaidExpensesOther,,,,,,,,,,12991.000,,,,,,,,,
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,,,,1277.000,,,,-1198.000,
InterestExpenseDebt,,,,,,,,,,,,,,5084.000,4947.000,4590.000,4369.000,4093.000,3927.000
InterestExpenseOther,,,,,,,,,,,,,,58083.000,57126.000,57195.000,57880.000,2161.000,2574.000
InterestExpenseRelatedParty,,,,,,41417.000,43654.000,46427.000,,52832.000,54441.000,56020.000,,,,,,,
InterestIncomeRelatedParty,,,,,,,,,,,,95.000,,,,,,,
InterestPaid,,-22906.000,,,,,,,,,,,,,,,,,
InvestmentIncomeInterest,24.000,24.000,20.000,15.000,17.000,24.000,39.000,38.000,36.000,34.000,558.000,131.000,-604.000,12.000,10.000,25.000,12.000,10.000,6.000
NetCashProvidedByUsedInFinancingActivities,,,153382.000,,,181168.000,,,,210418.000,,,,164276.000,,,,132990.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,153382.000,,,181168.000,,,,210418.000,,,,164276.000,,,,132990.000,
NetCashProvidedByUsedInInvestingActivities,,,-1523.000,,,-6526.000,,,,-16289.000,,,,-1277.000,,,,1198.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-1523.000,,,-6526.000,,,,-16289.000,,,,-1277.000,,,,1198.000,
NetCashProvidedByUsedInOperatingActivities,,,-156520.000,,,-168463.000,,,,-220620.000,,,,-182401.000,,,,-133670.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-156520.000,,,-168463.000,,,,-220620.000,,,,-182401.000,,,,-133670.000,
NetIncomeLoss,-189125.000,-160098.000,-175261.000,-138566.000,-156548.000,-199300.000,-184764.000,-211530.000,-232162.000,-223312.000,,,,-190515.000,-215404.000,-173640.000,-145178.000,-154113.000,-183335.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,,,0.000,,,,,,,,,,,
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,,,,-223312.000,-217662.000,-210712.000,,,,,,,
OperatingExpenses,166790.000,130464.000,134960.000,97836.000,113226.000,150293.000,133965.000,158158.000,175338.000,163917.000,154512.000,144171.000,142593.000,124058.000,149705.000,108306.000,79260.000,88588.000,116834.000
OperatingIncomeLoss,,,,,,,,,,,,,,-124058.000,-149705.000,-108306.000,-79260.000,-88588.000,-116834.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,,,,-27880.000,4844.000,,136926.000,-57501.000,94673.000,78341.000,58230.000,7485.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,-6456.000,,,-15985.000,,,,76401.000,,,,136926.000,,,,58230.000,
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,,-168144.000,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,,136926.000,-57501.000,94673.000,78341.000,58230.000,7485.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,-11926.000,-8046.000,,,,,,,,,,,,,,,,,
OtherNoncashIncomeExpense,-721.000,-198.000,-3572.000,-2018.000,-1948.000,-2261.000,-2093.000,-2132.000,-2181.000,-1997.000,-3937.000,-4670.000,,,,,,,
OtherNonoperatingExpense,,,,,,,,,,,,,,3302.000,3636.000,3574.000,3681.000,3725.000,3689.000
OtherOperatingIncomeExpenseNet,-22335.000,-29634.000,-40301.000,-40730.000,-43322.000,-49007.000,-50799.000,-53372.000,-56824.000,-59395.000,-63150.000,-66541.000,-68575.000,-66457.000,-65699.000,-65334.000,-65918.000,-65525.000,-66501.000
PaidInKindInterest,,,,,,,,,,,,,,5084.000,,,,4093.000,
PaymentsToAcquireOtherPropertyPlantAndEquipment,,,,,,,,,,-13440.000,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,1523.000,,,6526.000,,,,29729.000,,,,,,,,,
