,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableCurrent,155138.000,188389.000,269454.000,280196.000,345289.000,310601.000,712561.000,845058.000,917769.000,1087073.000
AccountsReceivableRelatedPartiesNoncurrent,,,,96256.000,87359.000,79709.000,180810.000,100000.000,100000.000,100000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,9188.000,,,
AdditionalPaidInCapitalCommonStock,1182013.000,1192004.000,1540325.000,1545802.000,1624077.000,1772645.000,2105838.000,2189712.000,2280811.000,2179748.000
Assets,474711.000,326590.000,38265.000,647008.000,636780.000,650752.000,747896.000,676480.000,713800.000,678891.000
AssetsCurrent,38563.000,8265.000,2514.000,2574.000,3816.000,28011.000,25156.000,26154.000,34607.000,302.000
AssetsNoncurrent,,,,,,,,,,660509.000
CapitalUnitsAuthorized,,,,500000000.000,500000000.000,,,,,
CashAndCashEquivalentsAtCarryingValue,12499.000,8265.000,14.000,74.000,1316.000,25511.000,156.000,1154.000,9607.000,302.000
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,6600000.000,92000000.000,92000000.000,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000
CommonStockSharesIssued,53727994.000,53812240.000,56349057.000,56583585.000,57189762.000,71476709.000,100062234.000,124321967.000,195328194.000,202954772.000
CommonStockSharesOutstanding,53727994.000,53812240.000,56349057.000,56583585.000,57189762.000,71476709.000,100062234.000,124321967.000,195328194.000,202954772.000
CommonStockValue,5373.000,5381.000,5635.000,5658.000,5719.000,7147.000,10006.000,12432.000,19533.000,20296.000
ConvertibleLongTermNotesPayable,,,,,123000.000,133000.000,,,,
ConvertibleNotesPayableCurrent,8500.000,25550.000,75500.000,107500.000,67715.000,91923.000,64593.000,48671.000,42556.000,40051.000
DebtInstrumentConvertibleConversionPrice1,,,,,,,0.003,,,
DebtInstrumentFaceAmount,,,,,,125000.000,,,,
DebtInstrumentInterestRateEffectivePercentage,,,,,,,,,0.220,
DebtInstrumentInterestRateStatedPercentage,,,,,,0.100,,,,0.220
DebtInstrumentUnamortizedDiscount,34000.000,16950.000,,,,,,,,
DeferredCompensationEquity,62500.000,25000.000,137500.000,55000.000,0.000,0.000,48370.000,0.000,0.000,
DeferredTaxAssetsDerivativeInstruments,,,,,,,7010.000,,,
DeferredTaxAssetsGross,,,,,,,2338092.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,0.000,,,
DeferredTaxAssetsNet,,,,,,,30313.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,2310031.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,2307779.000,,,
DeferredTaxLiabilities,,,,,,,30313.000,,,
DepositsAssetsNoncurrent,350000.000,280000.000,,,,,,,,
DerivativeFairValueOfDerivativeLiability,,,,,,,,,,415700.000
DerivativeLiabilitiesCurrent,34000.000,,,,102587.000,189626.000,100762.000,548822.000,362017.000,576701.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,2035963.000,2470067.000,3335804.000,3663938.000,4033028.000,4641519.000,5561036.000,6614636.000,6739670.000,7284226.000
DueToRelatedPartiesCurrent,,,,,,,27429.000,,,
DueToRelatedPartiesCurrentAndNoncurrent,,,,,,,162500.000,162500.000,162500.000,
InterestPayableCurrent,23025.000,38108.000,20673.000,51683.000,96604.000,146773.000,71657.000,145485.000,228248.000,314712.000
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000
InvestmentsInAndAdvancesToAffiliatesAtFairValue,45250.000,0.000,0.000,,,,,,,
LiabilitiesAndStockholdersEquity,474711.000,326590.000,38265.000,647008.000,636780.000,650752.000,747896.000,676480.000,713800.000,678891.000
LiabilitiesCurrent,1385788.000,1624271.000,1965609.000,2814486.000,3040012.000,3512479.000,4241458.000,5088972.000,5153126.000,5763073.000
NotesPayableCurrent,979750.000,1196849.000,1399607.000,2166607.000,2212607.000,2557607.000,3089936.000,3332436.000,3432436.000,3432436.000
NotesPayableRelatedPartiesClassifiedCurrent,179375.000,169375.000,194375.000,202500.000,209210.000,209949.000,195949.000,162500.000,164100.000,164100.000
OtherAssets,,,,,,,,,,6838.000
OtherInvestments,,,,115000.000,115000.000,115000.000,115000.000,125000.000,152671.000,153671.000
OtherLiabilitiesCurrent,,,,,,,,,,142000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,0.000,,,0.000,,0.000,
PrepaidExpenseCurrent,26064.000,0.000,2500.000,2500.000,2500.000,2500.000,25000.000,25000.000,25000.000,
PropertyPlantAndEquipmentGross,,,,,,,32080.000,,,
PropertyPlantAndEquipmentNet,40898.000,38325.000,35751.000,33178.000,30605.000,28032.000,22892.000,21288.000,19684.000,18080.000
RetainedEarningsAccumulatedDeficit,,,,3664000.000,4033000.000,4642000.000,5561000.000,6614000.000,6740000.000,7284000.000
StockholdersEquity,-911077.000,-1297681.000,-1927344.000,-2167478.000,-2403232.000,-2861727.000,-3493562.000,-4412492.000,-4439326.000,-5084182.000
