,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,14639.000,21712.000,37958.000,40676.000,45390.000,59636.000
AdditionalPaidInCapital,4770854.000,4869954.000,4869954.000,4869954.000,4869954.000,4869954.000
Assets,,58477.000,9173.000,,,
AssetsCurrent,,58477.000,9173.000,,,
BankOverdrafts,,,,20.000,,
Cash,,,,,0.000,0.000
CashAndCashEquivalentsAtCarryingValue,,58477.000,9173.000,,0.000,0.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000
CommonStockSharesIssued,275800000.000,276700000.000,276700000.000,276700000.000,276700000.000,276700000.000
CommonStockSharesOutstanding,275800000.000,276700000.000,276700000.000,276700000.000,276700000.000,276700000.000
CommonStockValue,275800.000,276700.000,276700.000,276700.000,276700.000,276700.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,5090014.000,5144188.000,5213112.000,5227737.000,5233145.000,5261793.000
DueFromRelatedParties,,,,,6567.000,
DueToRelatedPartiesCurrent,8654.000,8742.000,11813.000,14842.000,15007.000,29603.000
DueToRelatedPartiesCurrentAndNoncurrent,,,,,3083.000,27246.000
FiniteLivedLicenseAgreementsGross,,,,,0.000,0.000
LiabilitiesAndStockholdersEquity,,58477.000,9173.000,,,
LiabilitiesCurrent,43360.000,56011.000,75631.000,81083.000,86491.000,115139.000
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired,4965000.000,4965000.000,4965000.000,,,
NotesAndLoansPayableCurrent,20067.000,25557.000,25860.000,25545.000,26094.000,25900.000
NotesPayableCurrent,,,,,15773.000,15579.000
RetainedEarningsAccumulatedDeficit,,,,,5233145.000,5261793.000
StockholdersEquity,-43360.000,2466.000,-66458.000,-81083.000,-86491.000,-115139.000
