,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2016-04-30,2016-07-31,2016-10-31,2017-01-31
AccountsAndNotesReceivableNet,,,,,,20608.000,11726.000,5002.000,,,,
AccountsPayableRelatedPartiesCurrent,105388.000,107267.000,109106.000,110985.000,113340.000,115695.000,,31680.000,31680.000,31680.000,31680.000,31680.000
AccountsPayableTradeCurrent,78652.000,77306.000,75954.000,74592.000,73224.000,180454.000,,185795.000,290389.000,289082.000,287850.000,286550.000
AccruedLiabilitiesCurrent,19600.000,19600.000,22100.000,15536.000,10255.000,57978.000,102903.000,225629.000,332792.000,358474.000,385236.000,411054.000
AdditionalPaidInCapital,420968.000,420968.000,420968.000,420968.000,424268.000,424268.000,424268.000,669039.000,661039.000,661039.000,661039.000,658039.000
Assets,1258.000,1088.000,3623.000,1623.000,580850.000,1847104.000,1981943.000,1313084.000,701699.000,565394.000,432965.000,304618.000
AssetsCurrent,1258.000,1088.000,3623.000,1623.000,271550.000,259581.000,293531.000,218185.000,155852.000,120827.000,83663.000,44581.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets,,,,,,1170041.000,1170041.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther,,,,,,7449.000,7449.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,,,,,,19415.000,19415.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,,,,,,151241.000,151241.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesLongTermDebt,,,,,,1000000.000,1000000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,,,,,,18800.000,18800.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,,,,,,1170041.000,1170041.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,,,,,,1143177.000,1143177.000,,,,,
CashAndCashEquivalentsAtCarryingValue,1258.000,1088.000,3623.000,1623.000,374.000,2780.000,4829.000,5237.000,843.000,68.000,1152.000,318.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,900000000.000,900000000.000,900000000.000,900000000.000,900000000.000
CommonStockSharesIssued,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,508000000.000,508000000.000,508000000.000,518000000.000
CommonStockSharesOutstanding,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,508000000.000,508000000.000,508000000.000,518000000.000
CommonStockValue,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000,508000.000,508000.000,508000.000,518000.000
ConvertibleLongTermNotesPayable,,,,,,,,,,333066.000,533066.000,533066.000
DebtCurrent,488346.000,492526.000,503663.000,507804.000,512287.000,1521442.000,1573215.000,1800928.000,1828803.000,1831056.000,1834394.000,1840767.000
DebtInstrumentCarryingAmount,314000.000,314000.000,314000.000,314000.000,314000.000,314000.000,,,,,,
DebtInstrumentFaceAmount,,,,,,200000.000,200000.000,,,,,
DeferredRevenue,,,,3217.000,62752.000,59893.000,309375.000,17160.000,2017.000,2017.000,2017.000,2017.000
DerivativeLiabilities,,,,,362136.000,329926.000,453285.000,,,,,
DerivativeLiabilitiesCurrent,,,,,362136.000,332926.000,453285.000,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,97659.000,102542.000,114131.000,,,,,,,,,
DueToOtherRelatedPartiesClassifiedCurrent,,31680.000,31680.000,,,,,,,,,
DueToRelatedPartiesCurrent,421774.000,423653.000,425492.000,17050.000,15848.000,15848.000,16048.000,16048.000,15100.000,15100.000,15100.000,35100.000
DueToRelatedPartiesCurrentAndNoncurrent,,,,,,,118050.000,,,,,
DueToRelatedPartiesNoncurrent,,,,350116.000,421774.000,,,,,,,
EquityMethodInvestmentOwnershipPercentage,,,,,0.050,0.050,0.050,,,,,
Goodwill,,,,,,200000.000,,,,,,
Investments,,,,,75000.000,75000.000,475000.000,15000.000,,,,6000.000
Liabilities,,,,712134.000,1133994.000,2268388.000,2724270.000,2261192.000,2485681.000,2512309.000,2541177.000,2572168.000
LiabilitiesAndStockholdersEquity,1258.000,1088.000,3623.000,1623.000,580850.000,1847104.000,1981943.000,1313084.000,701699.000,565394.000,432965.000,304618.000
LiabilitiesCurrent,691986.000,696699.000,710823.000,285849.000,702749.000,835122.000,1254238.000,561266.000,764915.000,2292309.000,2521177.000,2572168.000
LineOfCredit,50237.000,49819.000,49150.000,48469.000,47817.000,47817.000,,,,,,
LineOfCreditFacilityAmountOutstanding,50000.000,50000.000,50000.000,50000.000,50000.000,,,,,,,
LoansHeldForSaleConsumerCreditCard,27007.000,27007.000,24309.000,22947.000,21579.000,20207.000,,,,,,
LoansPayableToBankCurrent,50237.000,49819.000,49150.000,48469.000,47817.000,47151.000,46485.000,45804.000,42747.000,42087.000,41427.000,40767.000
NotesAndLoansPayableCurrent,15000.000,15000.000,15000.000,16000.000,17377.000,25177.000,,39150.000,50190.000,50190.000,50190.000,50190.000
NotesPayableRelatedPartiesClassifiedCurrent,348066.000,350116.000,348616.000,350116.000,348914.000,348914.000,,36048.000,35100.000,,,
NotesPayableRelatedPartiesNoncurrent,,,,333066.000,333066.000,333066.000,353566.000,533066.000,533066.000,200000.000,,
OperatingLossCarryforwards,1032000.000,1032000.000,1032000.000,1060000.000,1060000.000,1060000.000,1060000.000,1124000.000,1700000.000,,,
OperatingLossCarryforwardsValuationAllowance,,,,,,,,1124000.000,1700000.000,,,
OtherAssetsCurrent,,,,,,5973.000,5677.000,4954.000,2017.000,,,
OtherNotesPayableCurrent,,,,,,,181642.000,,,,,
PrepaidExpenseAndOtherAssetsCurrent,,,,,271176.000,228085.000,152992.000,,,,,
PrepaidExpenseAndOtherAssetsNoncurrent,,,,,234300.000,201101.000,197255.000,,,,,
PrepaidExpenseCurrent,,,,,271176.000,230220.000,271299.000,202992.000,152992.000,120759.000,82511.000,44263.000
PrepaidExpenseCurrentAndNoncurrent,,,,,505476.000,429186.000,350697.000,,,,,
PrepaidExpenseNoncurrent,,,,,234300.000,201101.000,197255.000,159007.000,6015.000,,,
PropertyPlantAndEquipmentNet,,,,,,1111422.000,1016157.000,920892.000,539832.000,444567.000,349302.000,254037.000
RetainedEarningsAccumulatedDeficit,-1514037.000,-1514037.000,-1514037.000,-1631479.000,-1477412.000,-1345552.000,-1666595.000,-2117147.000,-2953021.000,-3115954.000,-3277251.000,-3443589.000
SecuredDemandNotes,,,,,,,-26650.000,,,,,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,,,,,,,,89096720.000,13417883.000,,,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,,,,,,,,,18000000.000,,,
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,,,,,,,,0.030,0.030,,,
StockholdersEquity,-690728.000,-695611.000,-707200.000,-710511.000,-553144.000,-421284.000,-742327.000,-948108.000,-1783982.000,-1946915.000,-2108212.000,-2267550.000
StockholdersEquityBeforeTreasuryStock,,,,-710511.000,,421284.000,-742327.000,948108.000,1783982.000,1946915.000,2108212.000,2267550.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,-710511.000,-553144.000,-421284.000,-742327.000,-948108.000,-1783982.000,-1946915.000,-2108212.000,-2267550.000
