,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccretionOfDiscount,,,,,10464000.000,,20483000.000,15984000.000,15850000.000,-32864000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,280000.000,,,,343000.000,,,,419000.000,
AdvertisingExpense,66000.000,82000.000,72000.000,63000.000,67000.000,56000.000,88000.000,47000.000,65000.000,63000.000,69000.000,54000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,25000.000,,,69000.000
AllowanceForLoanAndLeaseLossesProvisionForLossNet,,,,,1050000.000,,650000.000,1300000.000,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,,68000.000,,110000.000,33000.000,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,-1116000.000,,-1025000.000,-793000.000,-926000.000,-1066000.000,-297000.000,-629000.000
AmortizationOfIntangibleAssets,122000.000,122000.000,143000.000,182000.000,181000.000,178000.000,172000.000,166000.000,205000.000,202000.000,195000.000,186000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,3989029.000,2590790.000,,2571673.000,,1279271.000,,1286145.000,1090083.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,,,-608000.000,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,,,-9493000.000,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,,,-8885000.000,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,1175000.000,,,122000.000,609000.000,93000.000,0.000,,
AvailableForSaleSecuritiesGrossRealizedGains,1056000.000,1197000.000,1327000.000,1175000.000,,,122000.000,609000.000,125000.000,0.000,,
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,,,72577000.000,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,,,,,32000.000,,,
BankOwnedLifeInsuranceIncome,36000.000,36000.000,63000.000,125000.000,155000.000,155000.000,147000.000,146000.000,158000.000,167000.000,159000.000,156000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,0.020,0.050,,,,,,,0.060
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,0.020,0.050,,,,,,,0.060
BusinessAcquisitionsProFormaNetIncomeLoss,,,,647000.000,1574000.000,,,,,,,2000000.000
BusinessAcquisitionsProFormaRevenue,,,,18281000.000,16037000.000,,,,,,,17554000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-29628000.000,,,,-63155000.000,,,,-119907000.000,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldDisposalsOfLoans,,,,,4269000.000,,2852000.000,5107000.000,2144000.000,-16172000.000,,
CommonStockDividendsPerShareCashPaid,,,,,,,,,,,0.020,
Communication,207000.000,176000.000,214000.000,261000.000,244000.000,198000.000,229000.000,218000.000,223000.000,229000.000,259000.000,255000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,247000.000,943000.000,2787000.000,446000.000,1077000.000,-5562000.000,1025000.000,-184000.000,5399000.000,5711000.000
DepreciationAmortizationAndAccretionNet,,,602000.000,,,,875000.000,,,,904000.000,
DividendsCommonStock,,,,,,,,,,,-685000.000,
EarningsPerShareBasic,0.030,0.050,0.030,0.020,0.050,0.040,0.050,0.050,0.030,0.070,0.080,0.060
EarningsPerShareDiluted,0.030,0.050,0.030,0.020,0.050,0.040,0.050,0.050,0.030,0.070,0.080,0.060
FDICIndemnificationAssetAccretionOfDiscount,,,,,,,238000.000,239000.000,75000.000,22000.000,21000.000,20000.000
FDICIndemnificationAssetAdditionalEstimatedLosses,,,,,,,-3058000.000,-5161000.000,-2910000.000,-4695000.000,-2669000.000,-2344000.000
FDICIndemnificationAssetCashPaymentsReceived,,,,,,,-2726000.000,-1018000.000,-1143000.000,-1573000.000,-1003000.000,-482000.000
FDICIndemnificationAssetPeriodIncreaseDecrease,,,,,,,,,,,271000.000,3000.000
FinancingReceivableModificationsSubsequentDefaultRecordedInvestment1,,,,,,,,,,,1740000.000,266000.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,-5000.000,,,,9000.000,
GainLossOnSaleOfSecuritiesNet,,,498000.000,1175000.000,,,122000.000,609000.000,93000.000,0.000,,
GainsLossesOnSalesOfOtherRealEstate,,-29000.000,-25000.000,,1020000.000,,441000.000,393000.000,179000.000,120000.000,213000.000,437000.000
ImpairedFinancingReceivableAverageRecordedInvestment,,,,,40747000.000,,37455000.000,36217000.000,37256000.000,-79872000.000,27973000.000,26462000.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,,,267000.000,,213000.000,211000.000,203000.000,196000.000,192000.000,150000.000
ImpairedFinancingReceivableInterestIncomeCashBasisMethod,,,,,282000.000,,209000.000,202000.000,196000.000,200000.000,172000.000,152000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1738000.000,2232000.000,1255000.000,1019000.000,2534000.000,2728000.000,2615000.000,2801000.000,1367000.000,4180000.000,4201000.000,3790000.000
IncomeTaxExpenseBenefit,674000.000,836000.000,475000.000,372000.000,960000.000,1001000.000,995000.000,1034000.000,487000.000,1576000.000,1515000.000,1790000.000
IncomeTaxesPaidNet,,,,,,,125000.000,,,,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,-1583000.000,,,,-760000.000,,,,-2155000.000,
IncreaseDecreaseInDeferredIncomeTaxes,,,113000.000,,,,,,,,,
IncreaseDecreaseInDeposits,,,-16343000.000,,,,-2608000.000,,,,-118498000.000,
IncreaseDecreaseInFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchaseNet,,,2392000.000,,,,-3245000.000,,,,8750000.000,
IncreaseDecreaseInLoansHeldForSale,2000.000,15000.000,19000.000,46000.000,15000.000,26000.000,46000.000,12000.000,1000.000,-1000.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,10192.000,,77029.000,141446.000,220046.000,,490757.000,681547.000
InformationTechnologyAndDataProcessing,904000.000,790000.000,879000.000,937000.000,974000.000,896000.000,930000.000,926000.000,1039000.000,1008000.000,984000.000,963000.000
InterestAndDividendIncomeOperating,16302000.000,13590000.000,15888000.000,19166000.000,19183000.000,18612000.000,17720000.000,20546000.000,19520000.000,21964000.000,19538000.000,19121000.000
InterestAndDividendIncomeSecuritiesAvailableForSale,,,,1677000.000,1032000.000,,1368000.000,1648000.000,2012000.000,2125000.000,2103000.000,2011000.000
InterestAndFeeIncomeLoansAndLeases,15055000.000,12205000.000,14372000.000,17303000.000,17933000.000,17321000.000,16171000.000,18741000.000,17353000.000,19683000.000,17287000.000,16957000.000
InterestExpense,1588000.000,1452000.000,1437000.000,1476000.000,1277000.000,1123000.000,991000.000,898000.000,920000.000,981000.000,858000.000,836000.000
InterestExpenseDeposits,1495000.000,1359000.000,1428000.000,1473000.000,1274000.000,1117000.000,985000.000,894000.000,872000.000,929000.000,797000.000,782000.000
