,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,306850.000,296429.000,300843.000,151594.000,123199.000,145424.000,112320.000,123080.000,144633.000,165279.000,156652.000,146561.000,154659.000,139622.000,95098.000,94920.000,94920.000,94920.000,169365.000,124104.000,138134.000,152290.000
AccountsReceivableNetCurrent,,,,,,,,,,,,,,,,1980.000,3150.000,3150.000,168346.000,11742.000,11724.000,9632.000
AccruedLiabilitiesCurrent,,,,,,,,,,,,,,,,,59.000,,,,5000.000,39164.000
AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,,,,,,,,,,,,,,,,0.000,0.000,,,,0.000,75.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-62700.000,-69218.000,-75732.000,-75806.000,-75278.000,-75278.000,-75278.000,-75278.000,-75278.000,-75278.000,-75278.000,-75278.000,-75278.000,-75278.000,-75278.000,-75277.000,-75278.000,-75278.000,-75278.000,-75278.000,-75278.000,-75278.000
AdditionalPaidInCapital,,,,,,,,,,,,,,,,,,,,,120000.000,
AdditionalPaidInCapitalCommonStock,2618420.000,2861253.000,2901103.000,3496212.000,3588967.000,3773560.000,4381309.000,4384693.000,4743340.000,4764225.000,4867050.000,4991442.000,5228346.000,5296168.000,5347767.000,5365516.000,5386001.000,5399862.000,5682368.000,5685974.000,5687956.000,5688735.000
Assets,287201.000,233682.000,248630.000,233877.000,207676.000,250088.000,492016.000,464732.000,25590.000,23676.000,15602.000,14203.000,44030.000,37590.000,20578.000,21023.000,15407.000,51632.000,207109.000,43962.000,33145.000,18865.000
AssetsCurrent,87201.000,27082.000,42030.000,27277.000,1076.000,43488.000,60416.000,33132.000,25590.000,23676.000,15602.000,14203.000,43730.000,37290.000,20278.000,20723.000,15107.000,51332.000,206809.000,43662.000,32905.000,18640.000
Cash,3929.000,82.000,15030.000,277.000,1076.000,2774.000,16513.000,269.000,711.000,,472.000,879.000,4871.000,3040.000,4237.000,8794.000,,1946.000,27773.000,23639.000,,
CashAndCashEquivalentsAtCarryingValue,3929.000,82.000,15030.000,,,,,,,,,,,,,,2055.000,,,,20542.000,9008.000
CashEquivalentsAtCarryingValue,,,,277.000,1076.000,2774.000,16513.000,269.000,711.000,,472.000,879.000,4871.000,3040.000,4237.000,8794.000,2055.000,1946.000,27773.000,23639.000,20542.000,9008.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,1520.000,,,,,,,,,,,,,,,,,,,,,
CommonStockSharesAuthorized,90000000.000,90000000.000,90000000.000,90000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,41170397.000,65440397.000,67090397.000,74330397.000,101085862.000,116578612.000,156943593.000,174768593.000,18872777.000,21388003.000,24078003.000,29922271.000,1309825.000,1778081.000,2112566.000,2201004.000,2451888.000,2541982.000,2753232.000,3029073.000,3312273.000,3423487.000
CommonStockSharesOutstanding,41170397.000,65440397.000,67090397.000,74330397.000,101085862.000,116578612.000,156943593.000,174768593.000,18872777.000,21388003.000,24078003.000,29922271.000,1309825.000,1778081.000,2112566.000,2201004.000,2451888.000,2541982.000,2753232.000,3029073.000,3312273.000,3423487.000
CommonStockSharesSubscriptions,,,,,,,,,,,,,23000.000,23000.000,23000.000,23000.000,23000.000,23000.000,23000.000,23000.000,23000.000,23000.000
CommonStockValue,41170.000,65440.000,67090.000,74330.000,101086.000,116579.000,156944.000,174769.000,18873.000,21388.000,24078.000,29922.000,1310.000,1778.000,2113.000,2201.000,2452.000,2542.000,2753.000,3029.000,3312.000,3423.000
ConvertibleNotesPayable,,,,,,,,,,,,,138249.000,171710.000,175675.000,193757.000,201402.000,206290.000,85398.000,145637.000,164670.000,163820.000
ConvertibleNotesPayableCurrent,9950.000,8200.000,24334.000,79717.000,60680.000,63168.000,108494.000,91716.000,71043.000,47497.000,73750.000,109348.000,23927.000,50694.000,74072.000,88028.000,100829.000,147478.000,106511.000,74772.000,35000.000,112157.000
DebtCurrent,,,,,,,,,,,,117076.000,169923.000,,,,,,,,,
DebtInstrumentFairValue,,,,,,,,,,,,,,,,,,,,,,0.000
DebtInstrumentInterestRateStatedPercentage,,,,,0.050,,,,,,,,,,,,,,,,,
DeferredCompensationLiabilityCurrent,,,,-187500.000,-150000.000,-244944.000,-182753.000,-92429.000,-17372.000,,-15448.000,-65352.000,,,,,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,169572.000,177286.000,657323.000,568650.000,804346.000,1148980.000,1295547.000,2027796.000,2074201.000,,,,,,,,,,,,
DueFromAffiliates,,,,,,,,,,,,,,250.000,250.000,250.000,250.000,250.000,250.000,250.000,,
DueToOfficersOrStockholdersCurrent,4610.000,4751.000,4861.000,,,,,,,,,,,,,,,,,,,
DueToOtherRelatedPartiesClassifiedCurrent,,,,9000.000,,,,,,,,,,,,,,,,,,
DueToRelatedPartiesCurrent,,,,1578.000,1597.000,1616.000,1635.000,1653.000,1672.000,1691.000,,,,,,,,,,,,
GroundLeasesAccumulatedAmortization,,,,,,,,,,,,,,,,,,,,,,75.000
ImpairedFinancingReceivableUnpaidPrincipalBalance,,,,,,,,,6000.000,,,,,,,,,,,,,
