,2011-11-30,2012-02-29,2012-08-31,2013-02-28
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,9691.000,4100.000,10414.000
AccountsPayableRelatedParties,15750.000,,,
AccountsReceivableNetCurrent,,,,843.000
AdditionalPaidInCapital,124750.000,124750.000,124750.000,124750.000
AdditionalPaidInCapitalCommonStock,11000.000,11000.000,11000.000,11000.000
Assets,559.000,151977.000,162548.000,442280.000
AssetsCurrent,559.000,151977.000,162548.000,393550.000
AssetsNoncurrent,,,,48730.000
CashAndCashEquivalentsAtCarryingValue,,,127988.000,364101.000
DepositsAssetsCurrent,,,,3830.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-150941.000,-239896.000,-627621.000,-1251242.000
DueToEmployees,,,125818.000,
DueToRelatedPartiesCurrent,,,,979275.000
IntangibleAssetsNetExcludingGoodwill,,,,3164.000
InterestPayable,,,,3582.000
Liabilities,,,654419.000,
LoansPayableCurrent,,246432.000,,40000.000
PrepaidExpense,559.000,151977.000,34560.000,24776.000
PropertyPlantAndEquipmentNet,,,,45566.000
