,2012-03-31,2012-06-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30
AllocatedShareBasedCompensationExpense,,,,,,,,66200.000
AmortizationOfDebtDiscountPremium,,,,,,,81029.000,
AssetImpairmentCharges,0.000,0.000,0.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-441.000,,,,,
CostOfRevenue,840.000,560.000,,,,,,
DebtInstrumentDecreaseForgiveness,0.000,0.000,0.000,,,,,
Depreciation,1381.000,1381.000,,,,,,
DepreciationAmortizationAndAccretionNet,,,1105.000,,,,,
EarningsPerShareBasicAndDiluted,,0.000,0.000,-0.040,-0.010,-0.050,-0.000,-0.000
ExtraordinaryItemNetOfTax,0.000,0.000,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,0.000,,,,,
GeneralAndAdministrativeExpense,16548.000,8533.000,25331.000,34934.000,66662.000,1475256.000,8934.000,15708.000
GrossProfit,20160.000,13440.000,,,,,,
IncomeLossFromContinuingOperations,,,-30206.000,-2385145.000,-654662.000,1467830.000,-395734.000,-81908.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-2362.000,-1025.000,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,0.000,,-0.010,,-0.000,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,-1166.000,-1105.000,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,0.000,,,,0.000,
IncomeLossFromExtraordinaryItemsNetOfTaxPerBasicAndDilutedShare,0.000,,,,,,,
IncomeLossFromOperationsBeforeExtraordinaryItemsPerBasicAndDilutedShare,0.000,,,,,,,
IncomeTaxesPaid,,,,,,,0.000,
IncomeTaxesPaidNet,,,0.000,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,6801.000,,,,-2085.000,
IncreaseDecreaseInAccountsReceivable,,,0.000,,,,,
IncreaseDecreaseInCustomerDeposits,,,0.000,,,,,
IncreaseDecreaseInDepositOtherAssets,,,0.000,,,,,
IncreaseDecreaseInDerivativeLiabilities,,,,,30665.000,,182657.000,5501.000
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,,,,,,,182657.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,0.000,,,,,
InterestExpense,-4593.000,-4551.000,-4875.000,-341.000,-7070.000,-194935.000,-87703.000,-124255.000
InterestPaid,,,491.000,,,,,
InvestmentIncomeInterest,0.000,0.000,0.000,,64.000,,,
LaborAndRelatedExpense,,,,,588000.000,,,
NetCashProvidedByUsedInContinuingOperations,,,,,-692333.000,,-300780.000,-231608.000
NetCashProvidedByUsedInFinancingActivities,,,22864.000,,,,17593.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,22864.000,,,,17593.000,
NetCashProvidedByUsedInInvestingActivities,,,0.000,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,0.000,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-23305.000,,,,-17593.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-23305.000,,,,-17593.000,
NetIncomeLoss,,,,-2386250.000,-692333.000,,-300780.000,-231608.000
NonoperatingIncomeExpense,-4593.000,-4551.000,-4875.000,,,,,
OperatingExpenses,17929.000,9914.000,,,654662.000,,395734.000,81908.000
OtherExpenses,,,,,,,,-149700.000
OtherIncome,,,,-1918211.000,-37671.000,,94954.000,
OtherNonoperatingGainsLosses,,,,1917870.000,,,,30946.000
PaymentsToAcquirePropertyPlantAndEquipment,,,0.000,,,,,
ProceedsFromIssuanceOfCommonStock,,,12478.000,,,,,
ProceedsFromRelatedPartyDebt,,,10386.000,,,,17593.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,0.000,,,,,
ProfitLoss,-2362.000,-1025.000,-31372.000,,,,,
ProvisionForDoubtfulAccounts,,,61.000,,,,,
RepaymentsOfRelatedPartyDebt,,,0.000,,,,,
Revenues,21000.000,14000.000,,,,,,
SalesRevenueNet,21000.000,14000.000,,,,,,
ShareBasedCompensation,,,,216000.000,,,386800.000,
SharebasedCompensationArrangementBySharebasedPaymentAwardPurchasePriceOfCommonStockPercent,,,,,,,0.001,
StockIssuedDuringPeriodSharesOther,,,,,183000.000,,,
StockIssuedDuringPeriodSharesShareBasedCompensation,,,,,560000.000,,2850000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,65191799.000,66457886.000,,66655000.000,83797901.000
