,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccretionExpenseIncludingAssetRetirementObligations,,,,,,,4195.000,,
AdjustmentsToAdditionalPaidInCapitalOther,-5904090.000,,,,,,1797941.000,,
AmortizationOfDebtDiscountPremium,,,,,,,74655.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-45623.000,,-16709.000,,,,227.000,,
ConversionOfStockAmountConverted1,,,,,,,317742.000,,
CostOfRevenue,84486.000,42287.000,103300.000,238697.000,133753.000,159195.000,172695.000,149241.000,158252.000
DebtConversionConvertedInstrumentAmount1,,,,,,,589270.000,,
DepreciationAndAmortization,58224.000,50725.000,46855.000,74265.000,108904.000,31220.000,81310.000,70485.000,87221.000
DepreciationDepletionAndAmortization,,,46855.000,,,,81310.000,,
DerivativeGainLossOnDerivativeNet,,,,,,,980476.000,,
DividendsPreferredStock,0.000,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.060,-0.003,-0.020,-0.030,0.000,0.010,0.000,-0.430,-0.030
GeneralAndAdministrativeExpense,597362.000,310221.000,200321.000,781857.000,138497.000,427099.000,598288.000,832515.000,565254.000
ImpairmentOfOilAndGasProperties,5903000.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,-383589.000,-1323045.000,-468921.000,-2125540.000,-2248956.000,-4322246.000,-10044027.000
IncomeTaxExaminationPenaltiesAndInterestExpense,,,45250.000,,,,,,
IncreaseDecreaseInAccountsPayable,281767.000,,2681.000,,,,-30948.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,24500.000,,
IncreaseDecreaseInAccruedLiabilities,38635.000,,-69959.000,,,,31748.000,,
IncreaseDecreaseInBookOverdrafts,,,65849.000,,,,-36940.000,,
IncreaseDecreaseInDeposits,,,,,,,-94391.000,,
IncreaseDecreaseInDerivativeLiabilities,,,8300.000,,,,-980475.000,,
IncreaseDecreaseInDueToRelatedParties,,,,,,,-47613.000,,
IncreaseDecreaseInNotesPayableCurrent,,,15000.000,,,,-575328.000,,
IncreaseDecreaseInOtherOperatingAssets,,,3237.000,,,,,,
IncreaseDecreaseInOtherOperatingLiabilities,,,4122988.000,,,,,,
InterestExpense,,5798.000,54562.000,89985.000,122118.000,127575.000,141016.000,177152.000,147082.000
InterestExpenseDebt,,,,,,,1849.000,,
NetCashProvidedByUsedInFinancingActivities,238000.000,,229349.000,,,,779962.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,238000.000,,229349.000,,,,779962.000,,
NetCashProvidedByUsedInInvestingActivities,-25998.000,,,,,,-14289.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-25998.000,,,,,,-14289.000,,
NetCashProvidedByUsedInOperatingActivities,-257625.000,,-246058.000,,,,-765446.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-257625.000,,-246058.000,,,,-765446.000,,
NetIncomeLoss,-6552438.000,-330223.000,-383589.000,-1323045.000,-468921.000,-2125540.000,-2248956.000,-4322246.000,-10044027.000
NetIncomeLossAvailableToCommonStockholdersBasic,-6552438.000,,,,,,,,
OilAndGasSalesRevenue,81731.000,72690.000,103220.000,20760.000,76403.000,76038.000,78326.000,33201.000,62402.000
OperatingExpenses,6643072.000,403233.000,490463.000,1343805.000,545324.000,2197924.000,2327282.000,4355447.000,10106429.000
OperatingIncomeLoss,-6552438.000,-324425.000,,,,,,,
OtherNoncashExpense,,,82300.000,159000.000,42052.000,1407961.000,1333973.000,3126054.000,9148620.000
OtherNoncashIncomeExpense,,,,,,,-317741.000,,
PaymentsToAcquireProductiveAssets,,,,,,,4375.000,,
ProceedsFromIssuanceOfCommonStock,238000.000,,138500.000,,,,287810.000,,
ProceedsFromIssuanceOfConvertiblePreferredStock,,,,,,,-318.000,,
ProceedsFromNotesPayable,,,25000.000,,,,653483.000,,
RegulatedOperatingRevenuePipelines,,6118.000,3654.000,,,,,,
RepaymentsOfNotesPayable,,,,,,,-30000.000,,
Revenues,90634.000,78808.000,106874.000,,,,,,
SalesRevenueNet,90634.000,78808.000,106874.000,,,,,,
StockIssuedDuringPeriodSharesPurchaseOfAssets,,,5910000.000,,,,,,
StockIssuedDuringPeriodValueIssuedForCash,,,,,,,287810.000,,
StockIssuedDuringPeriodValueIssuedForServices,,,29000.000,,,,112599.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,116339587.000,22631973.000,43346004.000,108475130.000,-53374851.000,1010241896.000,10107233.000,292130121.000
