,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30
AccountsPayableCurrent,934.000,134.000,5076.000,12868.000,13819.000
AccruedIncomeTaxes,,,,,17686.000
AccruedLiabilitiesCurrent,39531.000,53089.000,50861.000,44766.000,68906.000
AccruedPayrollTaxesCurrentAndNoncurrent,,,,,0.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-3889.000
AdditionalPaidInCapital,,2796.000,-67779.000,,
AdditionalPaidInCapitalPreferredStock,,,,307400.000,1507237.000
Assets,33019.000,76897.000,58297.000,81192.000,35479.000
AssetsCurrent,23624.000,68033.000,49964.000,73390.000,28739.000
Cash,16979.000,65234.000,27578.000,8815.000,3436.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,90000000.000,200000000.000,200000000.000,200000000.000,5000000000.000
CommonStockSharesIssued,18000000.000,18000000.000,90000000.000,90500000.000,233166333.000
CommonStockSharesOutstanding,18000000.000,18000000.000,90000000.000,90500000.000,233166333.000
CommonStockSharesSubscribedButUnissued,,,,,80000000.000
CommonStockSharesSubscriptions,,,,,120375.000
CommonStockValue,18000.000,18000.000,90000.000,90500.000,233166.000
ConvertibleNotesPayable,,,23873.000,214835.000,618000.000
ConvertibleNotesPayableCurrent,,,,,416305.000
DebtInstrumentUnamortizedDiscount,,,1127.000,205165.000,201695.000
DeferredTaxAssetsGross,,,,,683900.000
DeferredTaxAssetsNet,,,,,0.000
DeferredTaxAssetsNetNoncurrent,,,17686.000,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,1954000.000
DeferredTaxAssetsStateTaxes,,,,,175860.000
DeferredTaxAssetsValuationAllowanceCurrent,,,,,-683900.000
DepositsAssets,,,,8267.000,7407.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,35446.000,35446.000,649731.000,2339883.000
IncomeTaxReceivable,,,,,0.000
IncomeTaxesReceivable,,,,17686.000,17686.000
InterestPayableCurrentAndNoncurrent,,,,,25749.000
Liabilities,,159223.000,185810.000,368469.000,550030.000
LiabilitiesAndStockholdersEquity,33019.000,76897.000,58297.000,81192.000,35479.000
LiabilitiesCurrent,50465.000,63223.000,95810.000,,
LongTermDebtCurrent,,,,,-51000.000
LongTermNotesPayable,,96000.000,90000.000,96000.000,0.000
NotesPayableCurrent,10000.000,10000.000,16000.000,,51000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,,,0.000
PrepaidExpenseCurrent,6645.000,2799.000,4700.000,38622.000,210.000
PropertyPlantAndEquipmentGross,,,,,10629.000
PropertyPlantAndEquipmentNet,9395.000,8864.000,8333.000,7802.000,6740.000
RetainedEarningsAccumulatedDeficit,-35446.000,-67676.000,-114288.000,,2375329.000
StockholdersEquity,-17446.000,-82326.000,-127513.000,-287277.000,-514551.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,-82326.000,-127513.000,-287277.000,-514551.000
