,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AdjustmentsToAdditionalPaidInCapitalOther,,,,,,,,,,,-150000.000,,,,,,,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,78000.000,,,,34000.000,,,,24000.000,,,,11000.000,,,
AllocatedShareBasedCompensationExpense,,,,77000.000,77000.000,,,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,896000.000,,,,909000.000,,,,732000.000,,,,826000.000,,,
CapitalLeaseObligationsIncurred,,,22000.000,,,,193000.000,,,,406000.000,,,,0.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,3274000.000,,,,312000.000,,,,3579000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,,,,,,,,,,,,,3193000.000,,,
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,,84186000.000,96727000.000,,89147000.000,90499000.000,84293000.000,73639000.000,71490000.000,66838000.000,56985000.000,51722000.000,52403000.000,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,-75683000.000,84186000.000,96727000.000,248130000.000,89147000.000,90499000.000,84293000.000,73639000.000,71490000.000,66838000.000,56985000.000,51722000.000,52403000.000,48820000.000,50522000.000,50866000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAdditions,-58643000.000,-58087000.000,-77879000.000,111635000.000,65487000.000,218248000.000,62109000.000,72278000.000,48161000.000,12770000.000,13150000.000,16241000.000,14866000.000,20367000.000,12592000.000,13557000.000,26234000.000,12194000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,,,,48376000.000,3861000.000,,10475000.000,12639000.000,-5317000.000,1286000.000,13555000.000,-10751000.000,-1031000.000,9121000.000,2409000.000,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsToFromNonaccretableDifference,,,,,,,,,,,,,,,,20283000.000,19303000.000,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesProvisionForLoanLosses1,,,,0.000,-3464000.000,,-1384000.000,-2367000.000,-2709000.000,-188000.000,-205000.000,-318000.000,1331000.000,976000.000,-2419000.000,-229000.000,-1568000.000,-2503000.000
