,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,2677.000
CashPeriodIncreaseDecrease,-1799.000,,,,
CurrentStateAndLocalTaxExpenseBenefit,,,,,1100.000
Depreciation,,,,,4340.000
DepreciationAndAmortization,7824.000,7202.000,7202.000,6925.000,4340.000
DepreciationDepletionAndAmortization,7824.000,,,,4340.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.100,-4.460,-0.000
EffectiveIncomeTaxRateContinuingOperations,,,,,0.372
GeneralAndAdministrativeExpense,193295.000,13079.000,8792.000,8203.000,14660.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-193311.000,-11975.000,-6694.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,-33478.000
IncomeTaxExpenseBenefit,0.000,,0.000,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,-12500.000
IncomeTaxesPaid,0.000,,,,
IncreaseDecreaseDueFromOfficersAndStockholders,-15000.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,49958.000,,,,6000.000
IncreaseDecreaseInDeferredIncomeTaxes,0.000,,,,
IncreaseDecreaseInPrepaidExpense,123609.000,,,,1382.000
InterestExpense,23618.000,23578.000,23214.000,23146.000,22437.000
InterestPaid,23618.000,,,,16437.000
NetCashProvidedByUsedInFinancingActivities,10121.000,,,,11997.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,10121.000,,,,11997.000
NetCashProvidedByUsedInInvestingActivities,0.000,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,,,
NetCashProvidedByUsedInOperatingActivities,-11920.000,,,,-9320.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-11920.000,,,,-9320.000
NetIncomeLoss,-193311.000,-11975.000,-6694.000,-17892.000,-33478.000
OperatingExpenses,201119.000,20281.000,15994.000,27628.000,34200.000
OperatingIncomeLoss,-169693.000,11603.000,16520.000,5254.000,-11041.000
OperatingLeasesIncomeStatementLeaseRevenue,31426.000,31884.000,32514.000,32882.000,23159.000
PaymentsToAcquirePropertyPlantAndEquipment,0.000,,,,
ProceedsFromIssuanceOfCommonStock,0.000,,,,15000.000
ProceedsFromRelatedPartyDebt,,,,,1533.000
ProceedsFromRepaymentsOfLinesOfCredit,-114.000,,,,
RepaymentsOfLinesOfCredit,,,,,280.000
RepaymentsOfSecuredDebt,4765.000,,,,4256.000
ShareBasedCompensation,0.000,,0.000,,15200.000
StockIssued1,,,,,15200.000
WeightedAverageNumberOfSharesOutstandingBasic,64525000.000,64525000.000,64525.000,-129064168.000,28946389.000
