,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,937308.000,214113.000,287774.000,255696.000,332219.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-4560326.000,,,,-2126405.000
Depreciation,,6788.000,,,,5830.000
EarningsPerShareBasicAndDiluted,-1.060,-0.590,-0.410,-0.700,-0.170,-0.190
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,,,-3761.000
GeneralAndAdministrativeExpense,721658.000,2649093.000,1636772.000,1703188.000,1094102.000,1330264.000
IncreaseDecreaseInAccountsPayable,,-71398.000,,,,-414333.000
IncreaseDecreaseInDeferredRevenue,,,,,,-54891.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,291522.000,,,,-303452.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,170009.000,,,,-141650.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,,,,,,9098.000
InterestExpense,197470.000,,,,,
InterestIncomeExpenseNonoperatingNet,,-150543.000,-126877.000,-104183.000,-82578.000,-57748.000
InterestPaid,,111878.000,,,,44003.000
NetCashProvidedByUsedInFinancingActivities,,-844868.000,,,,120959.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-844868.000,,,,120959.000
NetCashProvidedByUsedInInvestingActivities,,-8898.000,,,,-1801.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-8898.000,,,,-1801.000
NetCashProvidedByUsedInOperatingActivities,,-3706560.000,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-3706560.000,,,,
NetIncomeLoss,-691081.000,-5140013.000,-3524160.000,-6168725.000,-1638705.000,
NonoperatingIncomeExpense,1267952.000,-197647.000,-36123.000,-205429.000,47643.000,-61509.000
OperatingIncomeLoss,-1959033.000,-4942366.000,-3488037.000,-5963296.000,-1686348.000,-1899129.000
OperatingLeasesRentExpenseNet,,35000.000,,,,47000.000
PaidInKindInterest,,52120.000,,,,13389.000
PaymentsToAcquirePropertyPlantAndEquipment,,8898.000,,,,1801.000
ProceedsFromIssuanceOfCommonStock,,,,,,1186564.000
RepaymentsOfLongTermDebt,,803900.000,,,,874700.000
ResearchAndDevelopmentExpense,1237375.000,2293273.000,2501753.000,4581605.000,773248.000,953071.000
RevenueFromGrants,,,650488.000,321497.000,,384206.000
ShareBasedCompensation,,937308.000,,,,332219.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,,12142.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,491764.000,,,,219019.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,,,5.440
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,3.290,,,,0.810
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,649721.000,8650143.000,8650143.000,8756393.000,-17226283.000,10216014.000
