,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableCurrent,983450.000,,9715000.000,6250000.000,6250000.000,11298000.000,804000.000,1903000.000,236000.000,1415000.000,317000.000,898000.000,1008000.000,573000.000,1372000.000,200000.000,96000.000
AccountsReceivableRelatedPartiesCurrent,,,,,,11218000.000,651000.000,0.000,156000.000,0.000,289000.000,324000.000,,,799000.000,200000.000,96000.000
AccruedIncomeTaxesNoncurrent,,,,,,8983000.000,8983000.000,8983000.000,7716000.000,7716000.000,7810000.000,0.000,0.000,0.000,,,
AdditionalPaidInCapital,2307173.000,2991000.000,15119000.000,17651000.000,18285000.000,36247000.000,37029000.000,37878000.000,38522000.000,39294000.000,40704000.000,41786000.000,42121000.000,42723000.000,44440000.000,46934000.000,47933000.000
Assets,2785310.000,1222340000.000,1187706000.000,1215723000.000,1189841000.000,3665519000.000,3531333000.000,3372417000.000,3453430000.000,1368022000.000,1270781000.000,1106075000.000,378876000.000,37408000.000,18280000.000,17550000.000,6323000.000
AssetsCurrent,,,11121000.000,7656000.000,7656000.000,25751000.000,15246000.000,16455000.000,18438000.000,65870000.000,59303000.000,56832000.000,20728000.000,20945000.000,18280000.000,7143000.000,6323000.000
AssetsNoncurrent,,,1176585000.000,1208067000.000,1182185000.000,3639768000.000,3516087000.000,3355962000.000,3434992000.000,1302152000.000,1211478000.000,1049243000.000,358148000.000,16463000.000,0.000,10407000.000,0.000
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,,,,,,2658939000.000,,,,,,,,,,,
BusinessAcquisitionSharePrice,,,,,,28.360,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,1000.000,523000.000,1045000.000,1045000.000,1045000.000,1045000.000,1048000.000,2393000.000,570000.000,6544000.000,5547000.000,6029000.000,6451000.000,,11023000.000,847000.000,847000.000
CommonStockSharesIssued,0.000,34787500.000,34787500.000,34787500.000,34787500.000,128503236.000,128503236.000,128544174.000,128544174.000,128544174.000,128544174.000,128544174.000,128544174.000,128544174.000,128544174.000,244246698.000,251644889.000
CommonStockSharesOutstanding,,34787500.000,34787500.000,34787500.000,34787500.000,128503236.000,128503236.000,128544174.000,128544174.000,128544174.000,128544174.000,128544174.000,128544174.000,128544174.000,128544174.000,244246698.000,251644889.000
CommonStockValueOutstanding,,1200000000.000,1200000000.000,1200000000.000,1200000000.000,,3868387000.000,3868322000.000,3868322000.000,3868322000.000,3868322000.000,3868322000.000,3868322000.000,,,,
DeferredIncomeTaxLiabilities,,23210000.000,-23000000.000,,,,,,,,,,,,,,
DeferredOfferingCosts,1800860.000,,361000.000,361000.000,361000.000,,,15000.000,15000.000,15000.000,450000.000,632000.000,0.000,0.000,785000.000,,
DeferredTaxAssetsEquityMethodInvestments,,,,,,,,,,,,,,276899000.000,,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,,639000.000,698000.000,723000.000,368000.000,46441000.000,40583000.000,37413000.000,1843000.000,2508000.000,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,-13559000.000,1261000.000,,,-757444000.000,,,,-60340000.000,,,12364000.000,16463000.000,0.000,0.000,0.000
DeferredTaxAssetsNet,,9651000.000,24000000.000,,,,,,,,,,,18971000.000,,,
DeferredTaxAssetsNetCurrent,,,,,,639000.000,,,,46441000.000,,,,2508000.000,,,
DeferredTaxAssetsNetNoncurrent,,9651000.000,,,,97537000.000,,,,210800000.000,,,,19657000.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,622000.000,,,,50991000.000,,,,81993000.000,,,,21747000.000,,,
DeferredTaxAssetsOther,,,,,,31000.000,,,,42000.000,,,,0.000,,,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,32092000.000,,,,36680000.000,,,,57683000.000,,,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,,,,,,,,,,,,23000000.000,,,
DeferredTaxAssetsTaxCreditCarryforwardsOther,,,,,,,,,,43000000.000,,,,35000000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,837000.000,,,,0.000,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,32000000.000,,,,36000000.000,,67000000.000,326000000.000,468000000.000,470000000.000,472000000.000,448000000.000
DeferredTaxAssetsValuationAllowanceCurrent,,,,,,198000.000,,,,6430000.000,,,,52990000.000,,,
DeferredTaxAssetsValuationAllowanceNoncurrent,,,,,,31925000.000,,,,29188000.000,,,,415397000.000,,,
DeferredTaxLiabilities,,13559000.000,,,,756805000.000,,,,13899000.000,,,,,,,
DeferredTaxLiabilitiesCurrent,,,,,,0.000,,,,0.000,,,,,,,
DeferredTaxLiabilitiesGrossCurrent,,,,,,,,,,,,,,0.000,,,
DeferredTaxLiabilitiesGrossNoncurrent,,,,,,,,,,,,,,3194000.000,,,
DeferredTaxLiabilitiesInvestmentInNoncontrolledAffiliates,,,,,,,,,,271140000.000,,,,0.000,,,
DeferredTaxLiabilitiesNoncurrent,,23210000.000,0.000,24039000.000,20131000.000,854981000.000,745712000.000,721224000.000,780086000.000,271140000.000,35851000.000,19550000.000,0.000,0.000,,,
DeferredTaxLiabilitiesOther,,,,,,,,,,,,,,3194000.000,,,
DueFromAffiliateCurrent,983450.000,,9715000.000,6250000.000,6250000.000,,,,,,,,,,,,
EquityMethodInvestmentDifferenceBetweenCarryingAmountAndUnderlyingEquity,,516000000.000,516000000.000,,,1300000000.000,,1300000000.000,1500000000.000,,400000000.000,,,,,,
EquityMethodInvestmentOwnershipPercentage,,0.150,0.150,0.150,,,0.390,0.390,0.390,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationAssets,,,,,,16504964000.000,,,,16423509000.000,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationCurrentAssets,,,,,,815940000.000,,,,1706590000.000,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationCurrentLiabilities,,,,,,1252733000.000,,,,982545000.000,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationEquityOrCapital,,,,,,5891427000.000,,,,4543605000.000,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationNoncurrentAssets,,,,,,15689024000.000,,,,14716919000.000,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationNoncurrentLiabilities,,,,,,9360804000.000,,,,10897359000.000,,,,,,,
EquityMethodInvestments,,1221817000.000,1175324000.000,1208067000.000,1182185000.000,3639768000.000,3516087000.000,3355962000.000,3434992000.000,1302152000.000,1211478000.000,1049243000.000,345784000.000,0.000,0.000,10407000.000,0.000
IncomeTaxesReceivable,,,,,,12849000.000,12849000.000,13324000.000,17329000.000,12870000.000,12434000.000,12434000.000,12434000.000,7414000.000,5673000.000,6096000.000,5380000.000
Liabilities,983450.000,,,,,,,,,,,,,,,,
LiabilitiesAndStockholdersEquity,2785310.000,1222340000.000,1187706000.000,1215723000.000,1189841000.000,3665519000.000,3531333000.000,3372417000.000,3453430000.000,1368022000.000,1270781000.000,1106075000.000,378876000.000,37408000.000,18280000.000,17550000.000,6323000.000
LiabilitiesCurrent,,,9715000.000,6250000.000,6250000.000,11298000.000,804000.000,1903000.000,236000.000,1415000.000,317000.000,8649000.000,8800000.000,30402000.000,23950000.000,13200000.000,11453000.000
LiabilitiesNoncurrent,,,0.000,24039000.000,20131000.000,766427000.000,754695000.000,730207000.000,787802000.000,68056000.000,43661000.000,19550000.000,0.000,0.000,,,
LiabilityForUncertainTaxPositionsNoncurrent,,,,,,20000000.000,,,,20000000.000,,,,,,,
OperatingLossCarryforwards,,,,,,,,,,,,,,107000000.000,,,
RetainedEarningsAccumulatedDeficit,-506313.000,-4046000.000,-46964000.000,-42053000.000,-64661000.000,-1016841000.000,-1129583000.000,-1265894000.000,-1241453000.000,-2609066000.000,-2682224000.000,-2832233000.000,-3540368000.000,-3904040000.000,-3918433000.000,-3953918000.000,-3964845000.000
SharePrice,,35.240,37.970,33.180,,,,,,,,,,,,,
SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleAmountOfUnrecordedBenefit,,,,,,,,,,,,,,15000000.000,,,
SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleEstimatedRangeOfChangeUpperBound,,,,,,,,,,80000.000,,,,,,,
StockholdersEquity,1801860.000,1208781000.000,1177991000.000,1185434000.000,1163460000.000,2887794000.000,2775834000.000,2640307000.000,2665392000.000,1298551000.000,1226803000.000,1077876000.000,370076000.000,7006000.000,-5670000.000,4350000.000,-5130000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1801860.000,,,,,,,,,,,,,,,,
TaxesPayableCurrent,,,,,,,,,,,,7751000.000,7792000.000,,,13000000.000,
UnrecognizedTaxBenefits,,,,,,,,,,20068000.000,,,15000000.000,,0.000,0.000,0.000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,,,,,,,,,109000.000,,,203000.000,203000.000,0.000,0.000,0.000
