,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfIntangibleAssets,6875.000,,,,6875.000,,,,0.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-21197.000,,,,-7957.000,,,,57979.000,,,
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.010,0.000,-0.010,-0.010,-0.010,0.000,-0.010,-0.010,-0.010,0.000
GeneralAndAdministrativeExpense,,,,,,,,,110115.000,112813.000,128749.000,99113.000
IncomeTaxesPaid,,,,,,,,,0.000,,,
IncreaseDecreaseInAccountsPayable,-9344.000,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,17781.000,,,
IncreaseDecreaseInAccruedLiabilities,1285.000,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,-356.000,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,,,,,0.000,,,
InterestPaid,,,,,,,,,0.000,,,
NetCashProvidedByUsedInFinancingActivities,36448.000,,,,47801.000,,,,150310.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,36448.000,,,,47801.000,,,,150310.000,,,
NetCashProvidedByUsedInOperatingActivities,-57645.000,,,,-55758.000,,,,-92331.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-57645.000,,,,-55758.000,,,,-92331.000,,,
NetIncomeLoss,-56461.000,-62504.000,-81268.000,-63922.000,-62277.000,-140093.000,-88330.000,-130028.000,-110112.000,-113106.000,-128737.000,-158753.000
OperatingCostsAndExpenses,,,,,62277.000,140093.000,88330.000,,,,,
OperatingExpenses,56461.000,62504.000,81268.000,,,,,,,,,
OtherNonoperatingIncomeExpense,,,,,,,,,3.000,-293.000,12.000,
OtherSignificantNoncashTransactionValueOfConsiderationReceived1,,,,,,,,,9651.000,,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,0.000,,,
ProceedsFromLoans,36448.000,,,,47801.000,15677.000,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,150310.000,,,
RelatedPartyTransactionAmountsOfTransaction,,,,,,,,,9651.000,,,
RepaymentsOfRelatedPartyDebt,,,,,,,,,0.000,,,
ShareBasedCompensation,,,,,,,,,0.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,10500000.000,10500000.000,10500000.000,-21000000.000,10500000.000,16240272.000,17500000.000,-29678195.000,17500000.000,17541087.000,17626000.000,-35093903.000
