,2013-08-31,2013-11-30,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-5882.000,,,,,,,,,,,,300.000
CostsAndExpensesRelatedParty,,,,,,,,,,,,,,,12000.000
EarningsPerShareBasic,0.000,0.000,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,-0.010,-0.010
GeneralAndAdministrativeExpense,3039.000,7775.000,5565.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,86730.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-5565.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-86730.000
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,,,,,,,36000.000
IncreaseDecreaseInOperatingCapital,,,,,,,36000.000,,,,36000.000,,,,
NetCashProvidedByUsedInFinancingActivities,,,-317.000,,,,,,,,,,,,51030.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-317.000,,,,,,,,,,,,51030.000
NetCashProvidedByUsedInOperatingActivities,,,-5565.000,,,,,,,,,,,,-50730.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-5565.000,,,,,,,,,,,,-50730.000
NetIncomeLoss,-3039.000,-7775.000,-5565.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-86730.000
OperatingExpenses,3039.000,7775.000,5565.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,36000.000,86730.000
OperatingIncomeLoss,-3039.000,-7775.000,-5565.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-36000.000,-86730.000
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,,,51030.000
RepaymentsOfRelatedPartyDebt,,,317.000,,,,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,8013043.000,10134945.000,10550000.000,10550000.000,10550000.000,-21100000.000,10550000.000,10550000.000,10550000.000,-21100000.000,10550000.000,10550000.000,10550000.000,-21100000.000,10550000.000
