,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-12-31,2016-03-31,2016-09-30,2017-03-31
AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,1590.000,7757.000,39706.000,70919.000,99255.000,134145.000,10396.000,12871.000,222884.000,250399.000,296798.000,326518.000
AccountsPayableInterestBearingInterestRate,,,,,0.120,0.080,,,,,,
AccountsPayableRelatedPartiesCurrent,1851.000,,3129.000,3130.000,3130.000,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,1000000.000,,,2000000.000,2000000.000,2000000.000,2000000.000
AdditionalPaidInCapital,27492.000,28992.000,30492.000,31992.000,53490.000,54990.000,56490.000,57990.000,39993.000,91483.000,99478.000,66978.000
Assets,13125.000,,10007872.000,10002290.000,10007172.000,9002161.000,8750532.000,8501783.000,275.000,270.000,264.000,176.000
AssetsCurrent,13125.000,8904.000,7872.000,2290.000,7172.000,2161.000,532.000,1783.000,275.000,270.000,264.000,176.000
AssetsNoncurrent,,10000000.000,,,,,,,,,,
Cash,14725.000,8904.000,7872.000,2290.000,7172.000,2161.000,532.000,1783.000,275.000,270.000,264.000,176.000
CashAndCashEquivalentsAtCarryingValue,13125.000,8904.000,7872.000,2290.000,7172.000,2161.000,532.000,1783.000,275.000,270.000,264.000,176.000
CommitmentsAndContingencies,,,,,,,,,,,0.000,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,24576000.000,24576000.000,24576000.000,24576000.000,24596000.000,24576000.000,24596000.000,24596000.000,24574000.000,24674000.000,24724000.000,24724000.000
CommonStockSharesOutstanding,24576000.000,24576000.000,24576000.000,24576000.000,24596000.000,0.000,24596000.000,24596000.000,24574000.000,24674000.000,24724000.000,24724000.000
CommonStockValue,2458.000,2458.000,2458.000,2458.000,2460.000,2460.000,2460.000,2460.000,2457.000,2467.000,2472.000,2472.000
DeferredIncomeTaxAssetsNet,,,,,,,,,,,0.000,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,1192000.000,1471000.000,2321000.000,1676000.000,1710000.000,1737252.000,1741000.000
DeferredTaxAssetsValuationAllowance,,,,,,,,,1676000.000,1710000.000,1737252.000,1741000.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,20266.000,32793.000,67913.000,106209.000,151163.000,,,,,,,
InterestPayableCurrent,,,,,,,144187.000,164187.000,,,,
Liabilities,,,,,,,,,,,,10376889.000
LiabilitiesAndStockholdersEquity,13125.000,,10007872.000,10002290.000,10007172.000,9002161.000,8750532.000,8501783.000,275.000,270.000,264.000,176.000
LiabilitiesCurrent,3441.000,10247.000,1042835.000,74049.000,102385.000,137701.000,163526.000,199776.000,251458.000,280183.000,333812.000,376889.000
LoansPayableCurrent,,2490.000,,,,3556.000,8943.000,22718.000,28574.000,29784.000,37014.000,50371.000
LongTermNotesPayable,,,9000000.000,,,,,,,,10000000.000,10000000.000
NotesAndLoansPayableCurrent,,10000000.000,,,,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,,
NotesPayableCurrent,,,1000000.000,10000000.000,10000000.000,,,,,,,
NotesPayableToBankCurrent,1000000.000,1000000.000,,,,,,,,,,
OperatingLossCarryforwards,,,,,,,,,,,1737000.000,1741000.000
OperatingLossCarryforwardsValuationAllowance,20000.000,33000.000,68000.000,106000.000,151000.000,,,,,,,
PreconfirmationLiabilitiesAndStockholdersEquity,,10008904.000,,,,,,,,,,
PreferredStockParOrStatedValuePerShare,0.000,,0.000,0.000,0.000,,,,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,,0.000,0.000,0.000,,,,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,,0.000,,,,,,0.000,0.000,0.000,0.000
PreferredStockValue,,,,,,,,,,,0.000,0.000
PropertyPlantAndEquipmentGross,,,,,,10000000.000,,,10000000.000,10000000.000,10000000.000,10000000.000
PropertyPlantAndEquipmentNet,,10000000.000,10000000.000,10000000.000,10000000.000,9000000.000,8750000.000,8500000.000,,,0.000,0.000
RetainedEarningsAccumulatedDeficit,,,,,,-1191990.000,-1470944.000,-1757443.000,-10313633.000,-10398863.000,-10455498.000,-10466163.000
SaleOfStockPricePerShare,0.250,0.250,0.250,0.250,0.250,1.000,,,,,,
StockholdersEquity,9684.000,-1343.000,-34963.000,-71759.000,-95213.000,-1135540.000,-1412994.000,-1697993.000,-10251183.000,-10279913.000,-10333548.000,-10376713.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,-10376713.000
TreasuryStockValue,,,,,,-1000.000,-1000.000,1000.000,,,,
