,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30
AdjustmentsToAdditionalPaidInCapitalOther,,,,,184715.000,,,,8818.000,
AdvertisingExpense,2100.000,,,,49000.000,,,,81000.000,
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,,,,92708.000,,,,24865.000,
AmortizationOfDebtDiscountPremium,,,,,1689.000,16144.000,17859.000,21062.000,22952.000,25464.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-35532.000,,,,74532.000,,,,-37701.000,
CostOfGoodsSold,1623608.000,1192704.000,905977.000,581767.000,1511876.000,2030018.000,1514926.000,1581090.000,1950315.000,1709326.000
CostsAndExpenses,,,,,1924579.000,2527478.000,2064161.000,2083942.000,2481076.000,2176886.000
CurrentFederalTaxExpenseBenefit,53700.000,,-57400.000,,,,,,,
CurrentIncomeTaxExpenseBenefit,59200.000,,-57874.000,,,,,,,
CurrentStateAndLocalTaxExpenseBenefit,5500.000,,-474.000,,,,,,,
DebtConversionConvertedInstrumentSharesIssued1,,,,,37000.000,,,,37000.000,
DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,,,,,114000.000,,,,,
DebtConversionOriginalDebtAmount1,,,,,400000.000,,,,430000.000,
DebtInstrumentBasisSpreadOnVariableRate1,,,,,0.035,,,,0.035,
DebtInstrumentInterestRateDuringPeriod,,,,,0.075,0.075,0.075,-0.150,0.075,
DeferredIncomeTaxExpenseBenefit,,,,,-42000.000,,,,-15300.000,
Depreciation,801.000,,,,1100.000,,,,1300.000,
DepreciationDepletionAndAmortization,,,,,1091.000,,,,1314.000,
EarningsPerShareBasic,0.010,0.000,-0.020,-0.020,-0.010,0.010,,,,-0.030
EarningsPerShareBasicAndDiluted,,,,,,,-0.000,,-0.010,
EarningsPerShareDiluted,0.010,-0.000,-0.020,-0.020,-0.010,0.010,,,,-0.030
EffectiveIncomeTaxRateContinuingOperations,0.319,,,,-0.330,,,,0.000,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,,,,,,,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,-0.021,,,,,,,,,
FederalDepositInsuranceCorporationPremiumExpense,,,,,250000.000,,,,250000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,185441.000,-9043.000,-304261.000,-298837.000,-126656.000,141883.000,10757.000,-54985.000,-171023.000,-343016.000
IncomeTaxExpenseBenefit,59200.000,3700.000,-57874.000,-75866.000,-42000.000,37500.000,54564.000,-32524.000,-15300.000,-22500.000
IncomeTaxesPaidNet,25850.000,,,,0.000,,,,9582.000,
IncreaseDecreaseInAccountsPayable,493817.000,,,,-106706.000,,,,920780.000,
IncreaseDecreaseInAccountsReceivable,1275412.000,,,,885700.000,,,,583471.000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,38443.000,,,,0.000,,,,-9582.000,
IncreaseDecreaseInAccruedLiabilities,121964.000,,,,-6512.000,,,,40231.000,
IncreaseDecreaseInInventories,2029.000,,,,-269178.000,,,,465631.000,
IncreaseDecreaseInOtherReceivables,,,,,418489.000,,,,0.000,
IncreaseDecreaseInPrepaidExpense,-7161.000,,,,-26876.000,,,,452.000,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,,,,0.000,0.000,,,,0.000
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,37000.000,,,,0.000,37000.000,,,,0.000
InterestExpenseDebt,,,,,1153.000,11759.000,11825.000,11825.000,11825.000,11825.000
InterestExpenseDemandDepositAccounts,,13470.000,31434.000,,,,,,,
InterestExpenseOther,,,,,28281.000,37238.000,43564.000,50028.000,45542.000,64958.000
InterestExpenseRelatedParty,740.000,740.000,714.000,766.000,738.000,746.000,730.000,746.000,746.000,746.000
InterestExpenseShortTermBorrowings,,,,,,,11519.000,,6707.000,10507.000
InterestOnConvertibleDebtNetOfTax,,,,,,746.000,,,,746.000
InterestPaid,,,,,26255.000,,,,58856.000,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,0.000,,,,,
LeaseAndRentalExpense,,,,,2060.000,,,,2060.000,
NetCashProvidedByUsedInFinancingActivities,354632.000,,,,1232497.000,,,,203955.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,354632.000,,,,1232497.000,,,,203955.000,
NetCashProvidedByUsedInInvestingActivities,-1150.000,,,,-5444.000,,,,-22348.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-1150.000,,,,-5444.000,,,,-22348.000,
NetCashProvidedByUsedInOperatingActivities,-389014.000,,,,-1152521.000,,,,-219308.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-389014.000,,,,-1152521.000,,,,-219308.000,
NetIncomeLoss,126241.000,-12743.000,-246387.000,-222971.000,-84656.000,104383.000,-43807.000,-22461.000,-155723.000,-320516.000
NetIncomeLossAttributableToParentDiluted,,,,,,105129.000,,,,-320307.000
NonoperatingIncomeExpense,,,,,-31861.000,-65887.000,-85497.000,-98403.000,-87772.000,-113500.000
OfficersCompensation,72555.000,6001.000,20833.000,87948.000,91370.000,137151.000,121874.000,146152.000,116799.000,145866.000
OperatingCostsAndExpenses,2104613.000,1520410.000,1061143.000,,,,,,,
OperatingExpenses,,,32148.000,,,,,,,
OperatingIncomeLoss,186181.000,5167.000,-272113.000,-281446.000,-94795.000,207770.000,96254.000,43418.000,-83251.000,-229516.000
OperatingLeasesRentExpenseNet,,,,,6000.000,,,,7000.000,
OtherNonoperatingIncomeExpense,,-14210.000,,,,,,,,
PaymentsOfStockIssuanceCosts,,,,,0.000,,,,,
PaymentsToAcquireProductiveAssets,,,,,5444.000,,,,22348.000,
PaymentsToFundLongtermLoansToRelatedParties,,,,,106000.000,,,,,
ProceedsFromIssuanceOfCommonStock,,,,,0.000,,,,,
ProceedsFromLoans,,,,,1674632.000,,,,2340906.000,
ProceedsFromNotesPayable,,,,,400000.000,,,,0.000,
ProceedsFromSaleOfProductiveAssets,-1150.000,,,,,,,,,
ProceedsFromShortTermDebt,354632.000,,,,306000.000,,,,464000.000,
ProfessionalFees,195637.000,155530.000,81708.000,225786.000,168002.000,190593.000,108341.000,32269.000,140180.000,66031.000
ProvisionForDoubtfulAccounts,,,,,,2779.000,4069.000,,,7559.000
RelatedPartiesAmountInCostOfSales,831000.000,,,,,,,,,
RepaymentsOfDebt,,,,,,1600000.000,,,1900000.000,
RepaymentsOfNotesPayable,,,,,1042135.000,,,,1874451.000,
RepaymentsOfRelatedPartyDebt,,,,,,,,,726500.000,
Revenues,2290794.000,1525577.000,789030.000,803612.000,1829784.000,2735248.000,2160415.000,2127360.000,2397825.000,1947370.000
SalesReturnsAndAllowancesGoods,,,,,93000.000,,,,25000.000,
SalesRevenueNet,2290794.000,1525577.000,789030.000,803612.000,1829784.000,2735248.000,2160415.000,2127360.000,2397825.000,1947370.000
SellingGeneralAndAdministrativeExpense,212813.000,166175.000,52625.000,183434.000,153331.000,166937.000,314951.000,310018.000,273782.000,248104.000
StockIssued1,,,,,32871.000,,,,0.000,
