,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,87954000.000,64984000.000,87195000.000,91422000.000,89167000.000,72029000.000,81151000.000,97449000.000,83376000.000,177961000.000,175450000.000,185561000.000,165540000.000,196996000.000
AccountsReceivableGrossCurrent,,115876000.000,116341000.000,135774000.000,135556000.000,118531000.000,125444000.000,137389000.000,142928000.000,338250000.000,353974000.000,357986000.000,323725000.000,354940000.000
AccountsReceivableNetCurrent,125413000.000,111285000.000,111449000.000,130999000.000,130624000.000,114448000.000,121122000.000,132904000.000,138405000.000,329096000.000,343364000.000,346915000.000,313304000.000,343246000.000
AccruedIncomeTaxesCurrent,6100000.000,2989000.000,839000.000,4736000.000,5704000.000,0.000,448000.000,3388000.000,4640000.000,,,1869000.000,,
AccruedLiabilitiesCurrent,34459000.000,30528000.000,31808000.000,30923000.000,40693000.000,32957000.000,33960000.000,33563000.000,40203000.000,83077000.000,85865000.000,89616000.000,88786000.000,74664000.000
AccruedProfessionalFeesCurrent,,1366000.000,,,,558000.000,,,,,,,727000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,77521000.000,,,,83216000.000,,,,,,,128020000.000,
AdditionalPaidInCapital,144094000.000,144570000.000,145055000.000,145652000.000,146527000.000,147340000.000,148010000.000,148664000.000,149479000.000,628774000.000,645423000.000,647409000.000,649280000.000,652972000.000
AllowanceForDoubtfulAccountsReceivable,,2707000.000,,,,2101000.000,,,,,,,4162000.000,
AllowanceForDoubtfulAccountsReceivableCurrent,,2707000.000,2786000.000,2433000.000,2501000.000,2101000.000,2085000.000,2290000.000,2376000.000,2010000.000,3460000.000,4710000.000,4162000.000,4006000.000
Assets,348069000.000,318540000.000,343714000.000,381824000.000,386223000.000,371218000.000,370065000.000,392102000.000,397932000.000,1390706000.000,1414545000.000,1427136000.000,1395014000.000,1444613000.000
AssetsCurrent,258257000.000,227134000.000,248564000.000,283996000.000,282114000.000,248232000.000,260133000.000,277846000.000,279458000.000,651827000.000,683374000.000,699339000.000,666942000.000,715592000.000
AssetsHeldForSaleCurrent,2795000.000,2363000.000,1892000.000,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,713000.000,708000.000,678000.000,300000.000,0.000,0.000,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,0.000,0.000,,,,,,,,,,,,
BillingsInExcessOfCostCurrent,2877000.000,1599000.000,1579000.000,2270000.000,1798000.000,592000.000,829000.000,908000.000,1064000.000,16021000.000,24363000.000,17429000.000,15691000.000,18467000.000
CapitalLeaseObligationsCurrent,1343000.000,1240000.000,1164000.000,1431000.000,1676000.000,1706000.000,2005000.000,2741000.000,3306000.000,,,,9493000.000,
CapitalLeaseObligationsNoncurrent,6265000.000,6011000.000,5736000.000,6023000.000,6176000.000,5955000.000,7286000.000,9893000.000,12217000.000,16874000.000,15374000.000,17503000.000,20581000.000,19940000.000
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,7218000.000,,,,7500000.000,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,9140000.000,,,,9321000.000,,,,,,,32541000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,1628000.000,,,,2104000.000,,,,,,,10460000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,856000.000,,,,700000.000,,,,,,,1702000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,926000.000,,,,856000.000,,,,,,,4887000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,1019000.000,,,,1262000.000,,,,,,,6354000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,1371000.000,,,,1759000.000,,,,,,,7818000.000,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,3340000.000,,,,2640000.000,,,,,,,1320000.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,1889000.000,,,,1660000.000,,,,,,,2467000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,7251000.000,,,,7661000.000,,,,,,,30074000.000,
CapitalLeasesFutureMinimumSubleaseRentals,,1431000.000,,,,1000000.000,,,,,,,100000.000,
