,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,667.000,,800.000,800.000,2067.000,2067.000
AccountsPayableCurrent,,,0.000,,,,,,
AdditionalPaidInCapital,,,3144.000,4144.000,5978.000,7028.000,7028.000,7028.000,7028.000
Assets,,0.000,0.000,0.000,,,,,
AssetsCurrent,,0.000,,,,,,,
Cash,,0.000,0.000,0.000,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
CommonStockSharesOutstanding,,10000000.000,10000000.000,,,,10000000.000,,10000000.000
CommonStockValue,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
DebtInstrumentInterestRateStatedPercentage,,,,,,,0.000,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-1500.000,-3033.000,-4144.000,-5811.000,-6978.000,,,,
DueFromRelatedPartiesCurrent,,,,,,,2550.000,,
DueToRelatedPartiesCurrent,500.000,2033.000,,,,,2550.000,4850.000,6846.000
Liabilities,500.000,2033.000,0.000,,,,,,
LiabilitiesAndStockholdersEquity,,0.000,0.000,0.000,,,,,
LiabilitiesCurrent,500.000,2033.000,0.000,667.000,,,3350.000,6917.000,8913.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
PreferredStockSharesOutstanding,,0.000,0.000,,,,0.000,,
PreferredStockValue,,0.000,0.000,,,,,,
RetainedEarningsAccumulatedDeficit,,,,,,-8828.000,-11378.000,-14945.000,-16941.000
SharesOutstanding,,,10000000.000,,,,,,
StockholdersEquity,-500.000,-2033.000,0.000,-667.000,,-800.000,-3350.000,-6917.000,-8913.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,-2033.000,0.000,,,,,,
