,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfFinancingCosts,,,446000.000,,,,381000.000
AmortizationOfIntangibleAssets,2100000.000,1600000.000,800000.000,400000.000,700000.000,100000.000,
CapitalExpendituresIncurredButNotYetPaid,,,645000.000,,,,9547000.000
CapitalLeaseObligationsIncurred,,,,,,,1124000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,1461000.000,,,,11447000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,12907000.000,,1705000.000
CostOfGoodsSold,96254000.000,102532000.000,91497000.000,100097000.000,86854000.000,106455000.000,103647000.000
CostOfGoodsSoldDepreciationAndAmortization,7034000.000,6294000.000,6881000.000,7114000.000,6434000.000,7265000.000,8432000.000
Depreciation,5000000.000,4700000.000,6100000.000,6700000.000,5700000.000,7200000.000,8400000.000
DepreciationDepletionAndAmortization,,,6893000.000,,,,8436000.000
DistributedEarnings,,,12731000.000,13263000.000,13582000.000,12601000.000,
DistributionMadeToLimitedPartnerDistributionsDeclaredPerUnit,0.263,0.440,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,-1000.000,,,,-24000.000
GainsLossesOnExtinguishmentOfDebt,-4699000.000,,,,,,
GeneralAndAdministrativeExpense,4627000.000,4779000.000,5017000.000,4392000.000,6545000.000,13100000.000,8325000.000
GrossProfit,13405000.000,14056000.000,15755000.000,19612000.000,22920000.000,21086000.000,18476000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1026000.000,6399000.000,7479000.000,12020000.000,13012000.000,-14788000.000,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,0.240,,,,,,
IncomeTaxExpenseBenefit,,1000.000,,,,,
IncreaseDecreaseInAccountsPayable,,,3079000.000,,,,-6095000.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,4713000.000,,,,-2941000.000
IncreaseDecreaseInAccountsReceivable,,,-831000.000,,,,-28192000.000
IncreaseDecreaseInAccountsReceivableRelatedParties,,,289000.000,,,,920000.000
IncreaseDecreaseInAccruedLiabilities,,,155000.000,,,,2312000.000
