,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,200568.000,213571.000,,255655.000,284623.000,153993.000,178378.000,309599.000,410934.000,589449.000
AccountsPayableCurrent,,,226274.000,,,,,,,
AccountsReceivableNetCurrent,,,,,,,1146.000,114.000,5473.000,8011.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentExcludingCapitalLeasedAssets,,,,,,,,,,125000.000
AdditionalPaidInCapital,1643632.000,1698412.000,1742336.000,1742336.000,2496516.000,3073749.000,6703570.000,30031897.000,30320457.000,30587812.000
AdvancesToAffiliate,20000.000,,,,,,,,,
Assets,32024.000,25879.000,38785.000,75327.000,48401.000,13782.000,40351.000,302549.000,149967.000,282476.000
AssetsCurrent,,,,75327.000,48401.000,13782.000,,204216.000,54134.000,64143.000
Cash,8233.000,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,8233.000,10980.000,13087.000,74994.000,43435.000,8816.000,25711.000,194455.000,44769.000,47556.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,500000000.000,250000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,115095072.000,115315072.000,115491472.000,115491472.000,126009957.000,1316603.000,1467498.000,11729707.000,12541202.000,
CommonStockSharesOutstanding,,115315072.000,115491472.000,115491472.000,126009957.000,1316603.000,1467495.000,11729707.000,12541202.000,
CommonStockSharesSubscribedButUnissued,,,,,,,,,-2500.000,
CommonStockValue,115094.000,115314.000,115490.000,115490.000,126009.000,1317.000,1467.000,11730.000,12541.000,17437.000
ConvertibleDebtCurrent,,,,5067.000,19225.000,64080.000,114003.000,195112.000,424541.000,597446.000
ConvertibleLongTermNotesPayable,,,,,,,5690.000,,,
ConvertibleNotesPayableCurrent,,,,,,,,566138.000,374652.000,
DebtInstrumentConvertibleConversionPrice1,,,,0.033,0.033,6.500,0.033,0.033,,
DebtInstrumentUnamortizedDiscount,,,,94933.000,134025.000,89170.000,134025.000,0.000,0.000,0.000
DeferredTaxAssetsGross,,,-61973.000,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,61973.000,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,-8400000.000,-31504000.000,-31700000.000,-39951000.000
DeferredTaxAssetsValuationAllowance,,,61973.000,,,,,,,
DerivativeLiabilitiesCurrent,,,,125846.000,314528.000,684411.000,1428075.000,1223319.000,638226.000,8391814.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,,,180050.000,,,,
FiniteLivedIntangibleAssetsNet,,,,,,,,98333.000,4167.000,93333.000
InterestPayableCurrent,2520.000,3642.000,4745.000,4470.000,4885.000,4962.000,10748.000,14649.000,26867.000,37461.000
InventoryFinishedGoods,3791.000,2399.000,,,,,,,,
InventoryNet,,2399.000,25698.000,333.000,116.000,116.000,25698.000,7468.000,3892.000,2020.000
Liabilities,313862.000,327487.000,341293.000,461038.000,650711.000,933396.000,1740074.000,1742679.000,1500568.000,9628670.000
LiabilitiesAndStockholdersEquity,32024.000,25879.000,38785.000,75327.000,48401.000,13782.000,40351.000,302549.000,149967.000,282476.000
LiabilitiesCurrent,313862.000,327487.000,341293.000,461038.000,650711.000,933396.000,1734384.000,1742679.000,1500568.000,9628670.000
LineOfCredit,20000.000,30000.000,,,,,,,,
LoansPayableCurrent,90774.000,80274.000,110274.000,70000.000,27450.000,25950.000,3150.000,,,12500.000
OperatingLossCarryforwards,,,2571000.000,4057000.000,5038000.000,7119000.000,,,,
OtherAssets,,,,,,,,,,93333.000
PreferredStockParOrStatedValuePerShare,,,,,0.001,0.001,0.001,0.001,0.001,
PreferredStockSharesAuthorized,500000.000,5000000.000,50000000.000,,55000000.000,55000000.000,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,,,,,22000.000,0.000,2000.000,1900.000,1900.000,1900.000
PreferredStockSharesOutstanding,,,,,22000.000,0.000,0.000,,1900.000,
PreferredStockValue,,,,,22.000,,2.000,2.000,2.000,2.000
PrepaidExpenseCurrent,,,,,,,4358.000,2179.000,,6556.000
RetainedEarningsAccumulatedDeficit,-2451101.000,-2525871.000,-2570871.000,-4057749.000,-5039069.000,-7118792.000,-8404762.000,-31483759.000,-31681101.000,-39951445.000
SharesIssued,,100000.000,,,,,,,,
StockholdersEquity,-281838.000,-301608.000,-302508.000,-385711.000,-602310.000,-919614.000,-1699723.000,-1440130.000,-1350601.000,-9346194.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-281838.000,-301608.000,-302508.000,-385711.000,-602310.000,-919614.000,-1699723.000,-1440130.000,-1350601.000,-9346194.000
