,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1800000.000,,,10200000.000,,,,10400000.000
AllocatedShareBasedCompensationExpense,1800000.000,12400000.000,7900000.000,10200000.000,11400000.000,10000000.000,9500000.000,
AmortizationOfFinancingCostsAndDiscounts,5000000.000,,,5100000.000,,,,2100000.000
AmortizationOfIntangibleAssets,20000000.000,20100000.000,20400000.000,20200000.000,20300000.000,21300000.000,21600000.000,21700000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,0.000,16100000.000,1100000.000,1900000.000,1100000.000,13000000.000,-14700000.000,1600000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,1700000.000
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,,,21400000.000,,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,-148600000.000,,,-63600000.000,,,,-98700000.000
ComprehensiveIncomeNetOfTax,-67000000.000,200000.000,-30700000.000,43500000.000,35100000.000,5300000.000,-123200000.000,104700000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,1200000.000,1000000.000,-800000.000,900000.000,1400000.000,2200000.000,1200000.000,2700000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-65800000.000,1200000.000,-31500000.000,44400000.000,36500000.000,7500000.000,-122000000.000,107400000.000
CostOfGoodsSold,649800000.000,679700000.000,628600000.000,606400000.000,649000000.000,630400000.000,641800000.000,641100000.000
DeferredIncomeTaxExpenseBenefit,-17200000.000,,,-2400000.000,,,,0.000
Depreciation,41300000.000,44400000.000,42200000.000,41700000.000,43900000.000,45000000.000,46200000.000,43300000.000
DepreciationAndAmortization,72600000.000,77500000.000,75400000.000,76000000.000,78600000.000,81200000.000,86300000.000,82400000.000
