,2016-12-31
AccretionExpenseIncludingAssetRetirementObligations,186000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,22954000.000
AllocatedShareBasedCompensationExpense,22954000.000
AmortizationOfFinancingCosts,4278000.000
AmortizationOfIntangibleAssets,60818000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,341054.000
AssetRetirementObligationAccretionExpense,177000.000
AssetRetirementObligationLiabilitiesIncurred,133000.000
BusinessCombinationAcquisitionRelatedCosts,1788000.000
CapitalExpendituresIncurredButNotYetPaid,8163000.000
CapitalizedComputerSoftwareAdditions,21580000.000
CapitalizedComputerSoftwareAmortization1,2992000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-38730000.000
ComprehensiveIncomeNetOfTax,47563000.000
CostOfServicesDirectLabor,229601000.000
CostOfServicesExcludingDepreciationDepletionAndAmortization,251768000.000
CostsAndExpenses,491209000.000
CurrentFederalTaxExpenseBenefit,26734000.000
CurrentForeignTaxExpenseBenefit,1358000.000
CurrentIncomeTaxExpenseBenefit,28705000.000
CurrentStateAndLocalTaxExpenseBenefit,613000.000
DeferredFederalIncomeTaxExpenseBenefit,-5858000.000
DeferredForeignIncomeTaxExpenseBenefit,-52000.000
DeferredIncomeTaxExpenseBenefit,-7735000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,-1825000.000
DepreciationDepletionAndAmortization,20151000.000
DividendsCommonStock,150000000.000
EarningsPerShareBasic,0.570
EarningsPerShareDiluted,0.550
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,-594000.000
EffectiveIncomeTaxRateContinuingOperations,0.300
GainsLossesOnExtinguishmentOfDebt,-16417000.000
GoodwillImpairmentLoss,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,66838000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,69822000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,2984000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,48852000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.570
IncomeLossFromContinuingOperationsPerDilutedShare,0.550
IncomeTaxExpenseBenefit,20970000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,24438000.000
IncomeTaxReconciliationNondeductibleExpense,779000.000
IncomeTaxReconciliationOtherReconcilingItems,594000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,556000.000
IncomeTaxReconciliationTaxContingencies,-1397000.000
IncomeTaxesPaid,25359000.000
IncreaseDecreaseInAccountsReceivable,-11121000.000
IncreaseDecreaseInCustomerDeposits,-1638000.000
IncreaseDecreaseInEmployeeRelatedLiabilities,15687000.000
IncreaseDecreaseInOtherCurrentAssets,-7905000.000
IncreaseDecreaseInOtherNoncurrentAssets,688000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,109000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,3524302.000
InterestExpense,48653000.000
InterestPaid,43227000.000
LaborAndRelatedExpense,97123000.000
LeaseAndRentalExpense,10529000.000
NetCashProvidedByUsedInFinancingActivities,-193275000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-193275000.000
NetCashProvidedByUsedInInvestingActivities,-34032000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-34032000.000
NetCashProvidedByUsedInOperatingActivities,189171000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,189171000.000
NetIncomeLoss,48852000.000
NetIncomeLossAvailableToCommonStockholdersBasic,48852000.000
NonoperatingIncomeExpense,-64131000.000
OperatingIncomeLoss,133953000.000
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToParent,-366000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-923000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,-1289000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,-176000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,-107000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,-542000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,-319000.000
OtherCostOfOperatingRevenue,22167000.000
OtherNonoperatingIncomeExpense,939000.000
OtherOperatingActivitiesCashFlowStatement,-827000.000
OtherSellingGeneralAndAdministrativeExpense,59561000.000
