,2011-07-31,2012-01-31,2012-04-30,2012-07-31
AssetRetirementObligationAccretionExpense,,18000.000,,
CostsAndExpenses,3139000.000,3769000.000,3867000.000,5486000.000
DeferredIncomeTaxExpenseBenefit,,489000.000,,
DepletionOfOilAndGasProperties,,,,2225000.000
DepreciationDepletionAndAmortization,1260000.000,1832000.000,1942000.000,2343000.000
EarningsPerShareBasic,0.170,0.100,0.110,0.090
EarningsPerShareDiluted,0.170,0.100,0.110,0.090
GainLossOnDerivativeInstrumentsNetPretax,984000.000,-525000.000,-358000.000,716000.000
GeneralAndAdministrativeExpense,820000.000,750000.000,920000.000,1849000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2329000.000,1529000.000,1636000.000,1592000.000
IncomeTaxExpenseBenefit,622000.000,489000.000,508000.000,664000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-326000.000,,
IncreaseDecreaseInAccountsReceivable,,366000.000,,
IncreaseDecreaseInContractReceivablesNet,,293000.000,,
IncreaseDecreaseInOtherOperatingAssets,,247000.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,55000.000
InvestmentIncomeNonoperating,-4000.000,2000.000,1000.000,
NaturalGasProductionRevenue,1130000.000,790000.000,630000.000,671000.000
NetCashProvidedByUsedInContinuingOperations,,-1536000.000,,
NetCashProvidedByUsedInInvestingActivities,,-5277000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-5277000.000,,
NetCashProvidedByUsedInOperatingActivities,,3741000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,3741000.000,,
NetIncomeLossAvailableToCommonStockholdersBasic,,1040000.000,1128000.000,928000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,,928000.000
NonoperatingIncomeExpense,980000.000,-523000.000,-357000.000,716000.000
OilAndGasRevenue,4488000.000,5821000.000,5860000.000,6362000.000
OperatingIncomeLoss,1349000.000,2052000.000,1993000.000,876000.000
PaymentsToAcquireOilAndGasPropertyAndEquipment,,5131000.000,,
ProceedsFromSaleOfShortTermInvestments,,1099000.000,,
ProfitLoss,1707000.000,,,
ResultsOfOperationsProductionOrLiftingCosts,1059000.000,1187000.000,1005000.000,1294000.000
ShareBasedCompensation,,15000.000,,
UnrealizedGainLossOnDerivatives,,-480000.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,10072000.000,10078000.000,10087000.000,10096000.000
WeightedAverageNumberOfSharesOutstandingBasic,10041000.000,10041000.000,10041000.000,10041000.000
