,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,,,,,107000000.000,,,,103000000.000,,,,88000000.000,,,,100000000.000,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,150000000.000,,,,133000000.000,,,,114000000.000,,,,,,,,,,,,,,,,,
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,,,14000000.000,14000000.000,14000000.000,7000000.000,11000000.000,13000000.000,12000000.000,11000000.000,12000000.000,12000000.000,11000000.000,11000000.000,11000000.000,11000000.000,10000000.000,6000000.000,11000000.000,17000000.000,9000000.000,6000000.000,10000000.000,11000000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,238000000.000,,,,,,,,,,,,-8000000.000,,,,-2000000.000,,,,2000000.000,1000000.000,,,2000000.000,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,413000000.000,,,,,,,,,,,,-23000000.000,,,,-2000000.000,,,,6000000.000,1000000.000,,,12000000.000,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,175000000.000,,,,,,,,,,,,-15000000.000,,,,0.000,,,,4000000.000,0.000,,,10000000.000,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,,,,,,,,37000000.000,,39000000.000,41000000.000,20000000.000,0.000,0.000,0.000,1000000.000,0.000,4000000.000,0.000,1000000.000,4000000.000,,
AvailableForSaleSecuritiesGrossRealizedGains,0.000,0.000,0.000,16000000.000,24000000.000,26000000.000,35000000.000,42000000.000,36000000.000,29000000.000,37000000.000,34000000.000,39000000.000,41000000.000,20000000.000,,0.000,0.000,1000000.000,,,,,,,
AvailableForSaleSecuritiesGrossRealizedLosses,0.000,0.000,0.000,0.000,0.000,1000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,487000000.000,,,,,,,,,,,,166000000.000,,,,152000000.000,,,,100000000.000,101000000.000,78000000.000,-244000000.000,35000000.000,
AvailableForSaleSecuritiesGrossUnrealizedLoss,413000000.000,,,,,,,,,,,,23000000.000,,,,2000000.000,,,,6000000.000,1000000.000,2000000.000,13000000.000,13000000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,5671000000.000,,,,2189000000.000,,,,5714000000.000,,,,1254000000.000,,,,1284000000.000,,,,2283000000.000,,,,4158000000.000,
