,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,185205000.000,166438000.000,180931000.000,208759000.000,189223000.000,169673000.000,160956000.000,199272000.000,159367000.000,176731000.000,176238000.000,226733000.000,208995000.000,195251000.000,207227000.000,229866000.000,215915000.000,241532000.000,254344000.000,302473000.000,276929000.000,255143000.000,259208000.000,274815000.000,277421000.000
AccountsReceivableGrossCurrent,526395000.000,551189000.000,522747000.000,476031000.000,,,,508736000.000,,,,534986000.000,,,,502915000.000,,,,546125000.000,,,,560653000.000,
AccruedInsuranceCurrent,,,,7806000.000,,,,11016000.000,,,,9777000.000,,,,10718000.000,,,,10857000.000,,,,10798000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,821766000.000,834160000.000,819872000.000,824029000.000,851827000.000,842466000.000,875381000.000,877676000.000,879364000.000,894729000.000,922884000.000,1070768000.000,1109102000.000,1115821000.000,1095073000.000,1046478000.000,1021261000.000,1063660000.000,1070520000.000,1079489000.000,1105305000.000,1113003000.000,1131685000.000,1137617000.000,1183840000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,-5614000.000,-211000.000,4237000.000,,,,-218000.000,-346000.000,-2520000.000,-4379000.000,-4012000.000,,,,12371000.000,,,,9401000.000,,,,7604000.000,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,188632000.000,185962000.000,268137000.000,,,,309685000.000,-304553000.000,-299465000.000,-294339000.000,284421000.000,,,,379459000.000,,,,325342000.000,,,,335674000.000,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,-35933000.000,-94674000.000,-111409000.000,,,,-93722000.000,-93496000.000,-110547000.000,-104840000.000,-104278000.000,,,,-173342000.000,,,,-297498000.000,,,,-352025000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-245914000.000,-230179000.000,-280847000.000,,-342944000.000,-388162000.000,-361697000.000,,-398395000.000,-412532000.000,-403558000.000,-392711000.000,-397282000.000,-383714000.000,-399061000.000,-540430000.000,-573315000.000,-556248000.000,-611636000.000,-613439000.000,-606999000.000,-608310000.000,-611647000.000,-680095000.000,-681468000.000
AdditionalPaidInCapitalCommonStock,125448000.000,123570000.000,125664000.000,128631000.000,129589000.000,119868000.000,126993000.000,127504000.000,125460000.000,127695000.000,126195000.000,131461000.000,131981000.000,131772000.000,136341000.000,140008000.000,135619000.000,133051000.000,136786000.000,140802000.000,143642000.000,140355000.000,146551000.000,152481000.000,155414000.000
AllowanceForDoubtfulAccountsReceivableCurrent,6317000.000,5639000.000,3780000.000,3685000.000,3957000.000,6791000.000,8375000.000,9293000.000,8927000.000,8844000.000,8945000.000,10493000.000,10703000.000,10443000.000,9906000.000,9147000.000,7795000.000,8128000.000,8217000.000,8229000.000,8477000.000,9425000.000,9424000.000,9995000.000,12144000.000
