,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01
AccountsPayableCurrent,,1199000000.000,1208000000.000,1200000000.000,1189000000.000,1186000000.000,1226000000.000,1338000000.000,1402000000.000,1447000000.000,1364000000.000,1399000000.000,1432000000.000,1383000000.000,1462000000.000,1466000000.000,1528000000.000,1537000000.000,1591000000.000,1610000000.000,1907000000.000,1926000000.000,1988000000.000,1986000000.000,2014000000.000,1995000000.000
AccountsReceivableGrossCurrent,,,,,991000000.000,,,,1185000000.000,,,,1231000000.000,,,,1101000000.000,,,,1169000000.000,,,,1106000000.000,
AccountsReceivableNetCurrent,,1367000000.000,1364000000.000,1302000000.000,1188000000.000,1304000000.000,1420000000.000,1414000000.000,1454000000.000,1588000000.000,1512000000.000,1474000000.000,1424000000.000,1605000000.000,1544000000.000,1565000000.000,1276000000.000,1503000000.000,1420000000.000,1457000000.000,1344000000.000,1505000000.000,1473000000.000,1523000000.000,1231000000.000,1464000000.000
AccruedIncomeTaxesCurrent,,92000000.000,31000000.000,18000000.000,66000000.000,180000000.000,5000000.000,16000000.000,46000000.000,87000000.000,31000000.000,75000000.000,69000000.000,107000000.000,39000000.000,56000000.000,39000000.000,72000000.000,15000000.000,25000000.000,42000000.000,19000000.000,83000000.000,35000000.000,47000000.000,141000000.000
AccruedSalariesCurrent,,,,,242000000.000,,,,266000000.000,,,,327000000.000,,,,320000000.000,,,,325000000.000,,,,318000000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,4816000000.000,4908000000.000,4858000000.000,4847000000.000,4967000000.000,4976000000.000,5132000000.000,5209000000.000,5227000000.000,5246000000.000,5387000000.000,5501000000.000,5589000000.000,5719000000.000,5717000000.000,5526000000.000,5466000000.000,5585000000.000,5535000000.000,5236000000.000,5263000000.000,5310000000.000,5356000000.000,5280000000.000,5397000000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,27000000.000,-5000000.000,-5000000.000,-9000000.000,-11000000.000,-8000000.000,-7000000.000,-3000000.000,5000000.000,4000000.000,-2000000.000,1000000.000,-7000000.000,-24000000.000,-22000000.000,-24000000.000,-21000000.000,-28000000.000,-29000000.000,-39000000.000,-72000000.000,-70000000.000,-70000000.000,-67000000.000,-66000000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,-680000000.000,-646000000.000,-834000000.000,-896000000.000,-799000000.000,-922000000.000,-819000000.000,-817000000.000,-845000000.000,-923000000.000,-860000000.000,-856000000.000,-853000000.000,-823000000.000,-927000000.000,-1119000000.000,-1202000000.000,-1188000000.000,-1272000000.000,-1314000000.000,-1340000000.000,-1404000000.000,-1417000000.000,-1505000000.000,-1420000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-1789000000.000,-1765000000.000,-1926000000.000,-2458000000.000,-2348000000.000,-2438000000.000,-2323000000.000,-931000000.000,-947000000.000,-1023000000.000,-963000000.000,-936000000.000,-939000000.000,-928000000.000,-1016000000.000,-1213000000.000,-1291000000.000,-1281000000.000,-1322000000.000,-1376000000.000,-1434000000.000,-1494000000.000,-1505000000.000,-1575000000.000,-1488000000.000
AdditionalCollateralAggregateFairValue,,30000000.000,33000000.000,27000000.000,44000000.000,41000000.000,30000000.000,21000000.000,25000000.000,19000000.000,74000000.000,54000000.000,78000000.000,49000000.000,56000000.000,64000000.000,26000000.000,17000000.000,15000000.000,17000000.000,14000000.000,31000000.000,5000000.000,3000000.000,18000000.000,43000000.000
