,2011-07-01,2011-09-30,2011-12-30,2012-03-30,2012-06-29,2012-09-28,2012-12-28,2013-03-29,2013-06-28
AccountsPayableCurrent,665822000.000,775455000.000,682860000.000,756088000.000,687847000.000,873345000.000,712702000.000,751811000.000,699567000.000
AccruedInsuranceCurrent,,,,,,92200000.000,,,
AccruedLiabilitiesCurrent,1171481000.000,781434000.000,1028206000.000,1067032000.000,1048826000.000,763083000.000,1053269000.000,1175522000.000,1127340000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,969521000.000,,,,1141150000.000,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,-33200000.000,-33106000.000,-26600000.000,-24200000.000,-20400000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,9600000.000,20429000.000,19200000.000,-3500000.000,-10700000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-54294000.000,-77345000.000,-67063000.000,-47586000.000,-56438000.000,-73745000.000,-69085000.000,-89888000.000,-93859000.000
AdditionalPaidInCapitalCommonStock,1473485000.000,1476061000.000,1471942000.000,1464606000.000,1453729000.000,1451241000.000,1450691000.000,1445574000.000,1441308000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,32963000.000,,,,41212000.000,,,
Assets,10533317000.000,10509552000.000,10535630000.000,10572155000.000,10419047000.000,10476322000.000,10333341000.000,10242786000.000,10127114000.000
AssetsCurrent,2040711000.000,2130822000.000,2072753000.000,2158431000.000,2088228000.000,2161172000.000,2229309000.000,2231043000.000,2166241000.000
AssetsHeldForSaleCurrent,,2798000.000,2798000.000,2798000.000,2798000.000,,,,
CapitalLeaseObligationsNoncurrent,,,,,,49584000.000,,50338000.000,54248000.000
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,17000000.000,,,
CashAndCashEquivalentsAtCarryingValue,94941000.000,213323000.000,121909000.000,100973000.000,100974000.000,136689000.000,128894000.000,119656000.000,97802000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesIssued,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesOutstanding,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockValue,,,,0.000,0.000,0.000,0.000,0.000,0.000
DebtAndCapitalLeaseObligations,,5637678000.000,,,,5413281000.000,,6224416000.000,6217056000.000
DeferredIncomeTaxLiabilities,,,,,,908750000.000,,,
DeferredIncomeTaxesAndOtherLiabilitiesNoncurrent,,,,,1209678000.000,1218050000.000,1178608000.000,1120268000.000,1090061000.000
DeferredRevenueCurrent,,,,,,278500000.000,,,
DeferredTaxAssetsDerivativeInstruments,,,,,,31879000.000,,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,,77900000.000,,,
DeferredTaxAssetsNet,,,,,,369459000.000,,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign,,,,,,6700000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,,,214847000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,,43781000.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,15187000.000,,,
DeferredTaxLiabilities,,,,,,554478000.000,,,
DeferredTaxLiabilitiesCurrent,,,,,,632300000.000,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,,,,,,717583000.000,,,
DeferredTaxLiabilitiesInvestments,,,,,,95445000.000,,,
DeferredTaxLiabilitiesOther,,,,,,13095000.000,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,82627000.000,,,
DefinedBenefitPlanAccumulatedBenefitObligation,,,,,,279400000.000,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeMinimumPensionLiabilityAfterTax,,,,,-32900000.000,50268000.000,-50900000.000,-51400000.000,-52000000.000
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,,,,,,0.042,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease,,,,,,0.034,,,
DefinedBenefitPlanEstimatedFutureEmployerContributionsInNextFiscalYear,,,,,,20800000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter,,,,,,64349000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths,,,,,,11683000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive,,,,,,11890000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour,,,,,,11313000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree,,,,,,10850000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo,,,,,,11141000.000,,,
DerivativeFairValueOfDerivativeAsset,,,,,0.000,947000.000,815000.000,823000.000,2479000.000
