,2011-03-31,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-4539000.000,,,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,5393000.000,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,6700000.000,,0.000,,,
AllocatedShareBasedCompensationExpense,19926000.000,14076000.000,,,66245000.000,92927000.000,93008000.000
AmortizationOfIntangibleAssets,22913000.000,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,814000.000,
AvailableForSaleSecuritiesGrossRealizedGains,,,,0.000,,,
AvailableForSaleSecuritiesGrossRealizedLosses,,,,29000.000,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,203000.000,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,451000.000,,,
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareBasic,,,,,,,2.630
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareDiluted,,,,,,,2.620
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,272985000.000
BusinessAcquisitionsProFormaRevenue,,,,,,,2904253000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,-33375000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-89970000.000,,,,,,
CommonStockDividendsPerShareDeclared,0.200,,0.440,0.520,0.640,0.800,0.880
CommunicationsAndInformationTechnology,161969000.000,,,,,,
ComprehensiveIncomeNetOfTax,289057000.000,,,,,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-8160000.000,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,280897000.000,,,,,,
CostsAndExpenses,2397509000.000,,,,,,
CurrentIncomeTaxExpenseBenefit,39162000.000,,,,,,
DebtInstrumentBasisSpreadOnVariableRate1,,,,,,,0.013
DeferredCompensationArrangementWithIndividualCompensationExpense,,,,160000.000,,,
DeferredCompensationArrangementWithIndividualFairValueOfSharesIssued,,,,,10000000.000,,
DeferredCompensationArrangementWithIndividualSharesIssued,,,,51000.000,,,
DeferredIncomeTaxExpenseBenefit,80272000.000,,,,,,
DefinedBenefitPlanActualReturnOnPlanAssets,,,,,,-984000.000,10019000.000
DefinedBenefitPlanActuarialGainLoss,,,,,,-6922000.000,
DefinedBenefitPlanBenefitsPaid,,,,,,1524000.000,
DefinedBenefitPlanContributionsByEmployer,,,,,,2262000.000,1945000.000
DefinedBenefitPlanCurtailments,,,,,,0.000,
DefinedBenefitPlanExpectedReturnOnPlanAssets,,,,,,3176000.000,
DefinedBenefitPlanForeignCurrencyExchangeRateChangesPlanAssets,,,,,,-1905000.000,-7648000.000
DefinedBenefitPlanInterestCost,,,,,,3268000.000,
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,92000.000,
DefinedBenefitPlanOtherChanges,,,,,,-2922000.000,
DefinedContributionPlanCostRecognized,22739000.000,22336000.000,25868000.000,,,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,,,29355000.000,27888000.000,33152000.000,37249000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,,,,0.060,0.060,0.060
DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,,,,15000.000,16000.000,16000.000,18000.000
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,,,,0.060,,,
Depreciation,,,,50531000.000,,,
DepreciationDepletionAndAmortization,79835000.000,,,,52461000.000,55318000.000,54023000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGain,,,,9625000.000,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsLoss,,,,23739000.000,,,
EarningsPerShareBasic,1.630,,,,,,
EarningsPerShareDiluted,1.630,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,10827000.000,,,,,,
EffectiveIncomeTaxRateContinuingOperations,0.327,,,0.328,0.340,-0.305,0.227
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,,,0.350,0.350,0.350,0.350
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,-0.339,0.016
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,,,,0.046,0.000,0.332,-0.011
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,-0.046,,,-0.042,-0.049,-1.725,-0.039
EffectiveIncomeTaxRateReconciliationMinorityInterestIncomeExpense,,,,-0.003,-0.005,-0.156,-0.054
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseRestructuringCharges,,,,0.000,,,0.050
EffectiveIncomeTaxRateReconciliationOtherAdjustments,-0.001,,,0.045,0.029,-0.008,-0.016
EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,,,,,,0.391,-0.005
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.049,,,0.018,0.015,0.432,0.023
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,12094000.000,,,23818000.000,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,7718000.000,5539000.000,,,,,3178000.000
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,2645000.000,,,1815000.000,,,725000.000
EmployeeStockOwnershipPlanESOPCompensationExpense,,267000.000,,,,,
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,5210000.000,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPeriodIncreaseDecrease,,,,924000.000,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,,,,5155000.000,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,,,,-1493000.000,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements,,,,-14204000.000,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersNet,,,,0.000,,,
FairValueOptionChangesInFairValueGainLoss,-14686000.000,,,,,,
FederalIncomeTaxExpenseBenefitContinuingOperations,75290000.000,,,,,,
FiniteLivedIntangibleAssetsFutureAmortizationExpense,53318000.000,33437000.000,,,,,
ForeignEarningsRepatriated,,,,,,,11600000.000
ForeignIncomeTaxExpenseBenefitContinuingOperations,18788000.000,,,,,,
FutureAmortizationExpenseAfterYearFive,,0.000,,,,,
FutureAmortizationExpenseYearFive,2731000.000,2001000.000,,,,,
FutureAmortizationExpenseYearFour,2987000.000,2663000.000,,,,,
FutureAmortizationExpenseYearOne,19584000.000,14018000.000,,,,,
FutureAmortizationExpenseYearThree,11902000.000,2920000.000,,,,,
FutureAmortizationExpenseYearTwo,14085000.000,11835000.000,,,,,
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,,,,0.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,244079000.000,,,,,,
