,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsNotesAndLoansReceivableNetCurrent,,,,,,,,,,8832.000,8832.000,8832.000,9841.000,12123.000,12123.000,12123.000,2282.000,,,
AccountsPayableAndAccruedLiabilitiesCurrent,4939695.000,4004284.000,4096480.000,4257790.000,4388350.000,4490974.000,4223611.000,4363028.000,4490843.000,4555307.000,4687535.000,4814102.000,4384734.000,4518961.000,4658744.000,4717117.000,4486955.000,4573699.000,4525433.000,4611232.000
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,565099.000,565099.000,580657.000,584464.000,692862.000,692862.000,555963.000,,,,,,,,,,,
AccountsPayableCurrent,,,,,,,,,,526885.000,526885.000,523759.000,131454.000,126024.000,126614.000,131671.000,144212.000,138478.000,144206.000,139468.000
AccountsPayableOtherCurrent,,,,,,,,,,,,,,,,,97350.000,97350.000,,
AccountsPayableRelatedParties,235000.000,,,,,,,,,,,,,,,,,,,
AccountsReceivableNet,,,,,,0.000,,,,0.000,,,,,,,0.000,,,
AccountsReceivableNetCurrent,6000.000,,,,,,,,,,,11965.000,,,,,,25000.000,,
AccruedLiabilitiesCurrent,,,,,,,,,,,,4290343.000,4253280.000,4392937.000,4532130.000,4585446.000,4342783.000,4435221.000,4381226.000,4471764.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,172091.000,172091.000,172091.000,172091.000,172091.000,172091.000,172091.000,172091.000
AccruedPayrollTaxesCurrent,,,118399.000,118399.000,121757.000,,,,,,,,,,,,,,,
AccruedProfessionalFeesCurrent,,,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000,173870.000
AccruedSalariesCurrent,,,,,375270.000,384084.000,317879.000,376311.000,559884.000,556861.000,612093.000,661360.000,849279.000,909654.000,970029.000,1030404.000,1090279.000,1150154.000,1209820.000,1269486.000
AccruedSalariesCurrentAndNoncurrent,,,354116.000,365981.000,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,206460.000,206630.000,206806.000,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,-634370.000,-696995.000,-705694.000,-716132.000,-698736.000,-709183.000,-660163.000,-671434.000,99341.000,31960.000,15027.000,23068.000,30263.000,12533.000,282436.000,199042.000
AdditionalPaidInCapital,21108757.000,26756379.000,27229678.000,27449676.000,27683104.000,27952581.000,28130108.000,28130108.000,28286521.000,28286521.000,28313862.000,28313862.000,28365269.000,28351028.000,28338767.000,30175340.000,30521209.000,30769347.000,31361855.000,31481310.000
Assets,2465062.000,1159296.000,1146963.000,1147716.000,525996.000,459845.000,450282.000,439845.000,421030.000,444100.000,428441.000,410706.000,448780.000,629560.000,551670.000,637349.000,753990.000,787045.000,973908.000,842380.000
AssetsCurrent,912781.000,919623.000,907460.000,908383.000,283549.000,217399.000,207836.000,197399.000,228584.000,300815.000,285155.000,267420.000,371051.000,402322.000,324432.000,399111.000,529302.000,562357.000,686534.000,700425.000
AssetsNoncurrent,,,,,,,,,192446.000,143286.000,143286.000,143286.000,77729.000,144505.000,144505.000,155505.000,141955.000,141955.000,287375.000,141955.000
BankOverdrafts,,,,,,677.000,71.000,18.000,,,,,,,,,,,,
CapitalUnitsAuthorized,,,,,,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000,400000000.000
CashAndCashEquivalentsAtCarryingValue,5119.000,,-52500.000,2789.000,3525.000,0.000,0.000,0.000,13789.000,30623.000,5804.000,32481.000,10654.000,208745.000,41312.000,11139.000,2482.000,6205.000,40387.000,3659.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,,,,,,,,,40000000.000,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
