,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,708000.000,,,,447000.000,,,,216000.000,,,,4000.000,
AllocatedShareBasedCompensationExpense,,,,,,,1500000.000,,,,1700000.000,800000.000,0.000,1900000.000,-800000.000,-800000.000
AllowanceForLoanAndLeaseLossesProvisionForLossNet,,,,,,,0.000,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteoffsNet,,,,,,,,,,,0.000,,,,0.000,
BenefitsLossesAndExpenses,120738000.000,63093000.000,166950000.000,93662000.000,152255000.000,111214000.000,205718000.000,143583000.000,151346000.000,217923000.000,127941000.000,163983000.000,116292000.000,143043000.000,116467000.000,112423000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-43799000.000,,,,-37745000.000,,,,11980000.000,,,,-205974000.000,
ComprehensiveIncomeNetOfTax,19761000.000,,27039000.000,27497000.000,38348000.000,23284000.000,15257000.000,-6757000.000,22931000.000,26110000.000,29739000.000,37860000.000,19513000.000,22182000.000,30332000.000,5476000.000
DeferredPolicyAcquisitionCostAmortizationExpense,38848000.000,29909000.000,31711000.000,31349000.000,28403000.000,30459000.000,30804000.000,28852000.000,24244000.000,24333000.000,28579000.000,27258000.000,23467000.000,35850000.000,27652000.000,28070000.000
DeferredSalesInducementsAdditions,,,1314000.000,,,,,,,,,,,,,
DepreciationAmortizationAndAccretionNet,,,10823000.000,,,,1406000.000,,,,883000.000,,,,841000.000,
EffectOfExchangeRateOnCashAndCashEquivalents,,,386000.000,,,,590000.000,,,,-511000.000,,,,41000.000,
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,,,,0.000,,300000.000,,,,400000.000,,,,300000.000,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,500000.000,,,,600000.000,300000.000,0.000,600000.000,300000.000,300000.000
