,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
Assets,2060302.000,15465.000,494634.000,35066.000,1831576.000,11334.000,400775.000,31340.000,1660136.000,4724.000,531372.000,1074.000,1521048.000,10454.000,458997.000,32190.000,1290371.000,2531.000,367753.000,27359.000,342470.000,338314.000,374712.000
CapitalUnits,,,,,,0.000,0.000,0.000,,,,,,,0.000,,,,,,,,
CapitalUnitsAuthorized,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000
CapitalUnitsOutstanding,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000,12633432.000
CashAndCashEquivalentsAtCarryingValue,2060302.000,15465.000,494634.000,35066.000,1831576.000,11334.000,400775.000,31340.000,1660136.000,4724.000,531372.000,1074.000,1521048.000,10454.000,458997.000,32190.000,1290371.000,2531.000,367753.000,27359.000,342470.000,338314.000,374712.000
DividendsPayableCurrentAndNoncurrent,2060302.000,15465.000,494634.000,35066.000,1831576.000,11334.000,400775.000,31340.000,1660136.000,,531372.000,1074.000,1521048.000,10454.000,458997.000,32190.000,1290371.000,,367753.000,,,338314.000,
FiniteLivedIntangibleAssetsAccumulatedAmortization,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000
FiniteLivedIntangibleAssetsGross,,,,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000,167817.000
FiniteLivedIntangibleAssetsNet,,,,,,0.000,0.000,0.000,,0.000,,,,,0.000,,,,,,,,
FiniteLivedRoyaltyGross,167817.000,167817.000,167817.000,,,,,,,,,,,,,,,,,,,,
LiabilitiesAndStockholdersEquity,2060302.000,15465.000,494634.000,35066.000,1831576.000,11334.000,400775.000,31340.000,1660136.000,4724.000,531372.000,1074.000,1521048.000,10454.000,458997.000,32190.000,1290371.000,2531.000,367753.000,27359.000,342470.000,338314.000,374712.000
