,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,11000.000,,,,-100000.000,,,,-219000.000,,,,-117000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,-54000.000,,,,-120000.000,,,,-203000.000,,,,187000.000,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,,,,,135000.000,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,,4738000.000,,,,-337000.000,,,,2905000.000,,,,1923000.000,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,2867000.000,,,,204000.000,,,,-1775000.000,,,,1187000.000,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,,,3121000.000,,,,553000.000,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,,,5521000.000,,,,1360000.000,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,,,2400000.000,,,,807000.000,,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,,,208000.000,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,,,11134000.000,,,,10752000.000,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,,,4174000.000,,,,1237000.000,,
AvailableForSaleSecuritiesIncomeTaxExpenseOnChangeInUnrealizedHoldingGainOrLoss,,,,,,,,,,,,,,,736000.000,,
BankOwnedLifeInsuranceIncome,,,467000.000,378000.000,326000.000,323000.000,460000.000,330000.000,317000.000,322000.000,448000.000,329000.000,292000.000,316000.000,307000.000,922000.000,543000.000
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,3478000.000,1195000.000,5138000.000,4430000.000,3461000.000,5821000.000,5399000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,88000.000,4812000.000,10000.000,171000.000,2257000.000,171000.000,106000.000
CashAcquiredFromAcquisition,,,,,,,,,,,,,,,3215000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-18441000.000,,,,-9772000.000,,,,8919000.000,,,,9471000.000,,
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,,,,,,,,,,,,,1468000.000,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,,,,,,,,,627000.000,,,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAdditions,,,,,,,,,,,0.000,,,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsToFromNonaccretableDifference,,,,,,,,,,,103000.000,,,,,,
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,,,0.015,0.015,0.015
ComprehensiveIncomeNetOfTax,,,4368000.000,2979000.000,-29598000.000,5052000.000,4518000.000,6596000.000,2195000.000,4021000.000,5216000.000,3041000.000,3503000.000,2678000.000,5303000.000,4438000.000,6089000.000
ConversionOfStockAmountConverted1,,,,,,,38000.000,,,,,,,,,,
CurrentIncomeTaxExpenseBenefit,,,,,,,,,,,,657000.000,2804000.000,,,,
DeferredIncomeTaxExpenseBenefit,,,-1871000.000,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,804000.000,,,,912000.000,,,,1402000.000,,,,1082000.000,,
DividendsCash,,,,,,,,,,,,,,,585000.000,,
DividendsCommonStock,,,,,,,,,,,,,,,585000.000,,
DividendsPreferredStock,,,,,,,,,,,337000.000,,,,,,
EarningsPerShareBasic,0.030,0.020,0.050,0.010,-2.120,0.260,0.190,0.380,0.100,0.040,0.110,0.030,0.140,0.110,0.100,0.150,0.140
EarningsPerShareDiluted,0.020,0.020,0.050,0.010,-2.120,0.260,0.130,0.380,0.100,0.040,0.110,0.030,0.140,0.100,0.100,0.150,0.140
EquipmentExpense,924000.000,896000.000,778000.000,885000.000,832000.000,840000.000,819000.000,852000.000,840000.000,990000.000,907000.000,948000.000,948000.000,1003000.000,961000.000,1020000.000,1008000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,,,,,135000.000,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,,,,,,135000.000,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,,,,,,,3798000.000,,,,2790000.000,,,,1515000.000,,
FairValueOfAssetsAcquired,,,,,,,,,,,,,,,161663000.000,,
FederalDepositInsuranceCorporationPremiumExpense,632000.000,600000.000,441000.000,441000.000,444000.000,444000.000,453000.000,432000.000,444000.000,236000.000,397000.000,416000.000,407000.000,382000.000,411000.000,453000.000,377000.000
FeesAndCommissionsDepositorAccounts,,,2254000.000,2325000.000,2308000.000,2852000.000,2425000.000,2553000.000,2614000.000,2636000.000,2579000.000,2673000.000,2657000.000,2515000.000,2108000.000,2291000.000,2304000.000
FeesAndCommissionsMortgageBanking,268000.000,395000.000,563000.000,553000.000,732000.000,788000.000,558000.000,487000.000,302000.000,297000.000,129000.000,241000.000,283000.000,217000.000,356000.000,511000.000,460000.000
FeesAndCommissionsMortgageBankingAndServicing,,,563000.000,,,,558000.000,,,,129000.000,,,,356000.000,,
FinancingReceivableAllowanceForCreditLossesPeriodIncreaseDecrease,,,,,9800000.000,,,,,,,,,,,,
FinancingReceivableAllowanceForCreditLossesRecovery,,,,430000.000,567000.000,,474000.000,834000.000,1303000.000,1144000.000,699000.000,932000.000,1551000.000,905000.000,847000.000,355000.000,562000.000
FinancingReceivableAllowanceForCreditLossesWriteOffs,,,,5477000.000,19663000.000,,2016000.000,1543000.000,2346000.000,2621000.000,958000.000,3023000.000,2083000.000,1344000.000,1185000.000,935000.000,553000.000
FinancingReceivableModificationsNumberOfContracts2,,,,,,,,,,,,,,,0.000,2.000,0.000
FinancingReceivableModificationsPostModificationRecordedInvestment2,,,,,,,,,,,,125000.000,143000.000,,0.000,663000.000,0.000
FinancingReceivableModificationsPreModificationRecordedInvestment2,,,,,,,,,,,,132000.000,143000.000,,0.000,657000.000,0.000
ForeclosedRealEstateExpense,,,318000.000,205000.000,479000.000,204000.000,161000.000,138000.000,152000.000,-577000.000,398000.000,-62000.000,158000.000,376000.000,177000.000,219000.000,102000.000
GainLossOnInvestments,,,,,,,,,,,208000.000,,,,,,
GainLossOnSaleOfSecuritiesNet,,65000.000,,,3000.000,,208000.000,70000.000,458000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GainsLossesOnSalesOfOtherRealEstate,,,,,,,125000.000,,,,-245000.000,,,,-94000.000,,
HeldToMaturitySecuritiesUnrecognizedHoldingGains,,,,,,,,,,,438000.000,,,,2658000.000,,
HeldToMaturitySecuritiesUnrecognizedHoldingLosses,,,,,,,,,,,1347000.000,,,,123000.000,,
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,,,55000.000,,40000.000,25000.000,25000.000,,,,,,,,
ImpairedFinancingReceivableInterestIncomeCashBasisMethod,,,,,,,37000.000,24000.000,23000.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1331000.000,1584000.000,2128000.000,1233000.000,-36150000.000,4937000.000,4731000.000,5025000.000,5849000.000,1950000.000,5351000.000,1818000.000,7903000.000,6723000.000,5841000.000,9241000.000,8434000.000
IncomeTaxExpenseBenefit,190000.000,501000.000,617000.000,312000.000,-3700000.000,173000.000,0.000,-6601000.000,2861000.000,524000.000,1900000.000,657000.000,2804000.000,2458000.000,2071000.000,3240000.000,2862000.000
IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,,,,,,,,,740000.000,,,,,,,,
IncomeTaxesPaid,,,150000.000,,,,0.000,,,,0.000,,,,200000.000,,
IncreaseDecreaseInAccruedInterestReceivableNet,,,340000.000,,,,202000.000,,,,-46000.000,,,,186000.000,,
IncreaseDecreaseInDeferredIncomeTaxes,,,-611000.000,,,,0.000,,,,-1900000.000,,,,-2071000.000,,
IncreaseDecreaseInDemandDeposits,,,,,,,9207000.000,,,,31653000.000,,,,51642000.000,,
IncreaseDecreaseInIncomeTaxesReceivable,,,150000.000,,,,0.000,,,,-99000.000,,,,175000.000,,
IncreaseDecreaseInInterestPayableNet,,,-57000.000,,,,-28000.000,,,,-14000.000,,,,283000.000,,
IncreaseDecreaseInOtherOperatingAssets,,,747000.000,,,,-69000.000,,,,1288000.000,,,,1777000.000,,
IncreaseDecreaseInOtherOperatingLiabilities,,,-17000.000,,,,-9000.000,,,,-248000.000,,,,610000.000,,
IncreaseDecreaseInSavingsDeposits,,,,,,,4138000.000,,,,-4344000.000,,,,17727000.000,,
IncreaseDecreaseInTimeDeposits,,,-27249000.000,,,,7117000.000,,,,40981000.000,,,,827000.000,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,,,772400.000,,,1171950.000,601376.000,0.000,-1268072.000,0.000,0.000,0.000,0.000,,,
IncrementalCommonSharesAttributableToContingentlyIssuableShares,,,,,,,86660.000,76352.000,93562.000,-157731.000,109281.000,123072.000,130125.000,-234273.000,171851.000,167770.000,184873.000
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,,,,,,7388628.000,0.000,0.000,-5566775.000,0.000,0.000,0.000,0.000,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,63.000,687.000,,540.000,450711.000,279808.000,-337494.000,317717.000,281854.000,275271.000
InformationTechnologyAndDataProcessing,960000.000,960000.000,1020000.000,1015000.000,1039000.000,989000.000,986000.000,1053000.000,1032000.000,1121000.000,1117000.000,1173000.000,1209000.000,1228000.000,1213000.000,1298000.000,1334000.000
InterestAndDividendIncomeOperating,19879000.000,19478000.000,18522000.000,18319000.000,17341000.000,16898000.000,16424000.000,16706000.000,17142000.000,18547000.000,18064000.000,22123000.000,22379000.000,23250000.000,23735000.000,25099000.000,25298000.000
InterestAndFeeIncomeLoansAndLeases,16694000.000,16121000.000,14922000.000,14581000.000,14084000.000,14089000.000,13426000.000,13740000.000,13969000.000,15482000.000,15111000.000,18506000.000,18456000.000,19157000.000,19463000.000,20553000.000,20940000.000
InterestAndFeeIncomeLoansCommercial,,,,40000.000,29000.000,,13000.000,4000.000,3000.000,,,,,,,,
InterestAndFeeIncomeLoansConsumer,,,,1000.000,,,0.000,0.000,0.000,,,,,,,,
InterestAndFeeIncomeLoansRealEstateConstruction,,,,2000.000,4000.000,,1000.000,0.000,0.000,,,,,,,,
InterestAndOtherIncome,,,,65000.000,,,,,,,,,,,,,
InterestExpense,3350000.000,2856000.000,2350000.000,1996000.000,1663000.000,1505000.000,1367000.000,1296000.000,1346000.000,1634000.000,1428000.000,1868000.000,1903000.000,1946000.000,2048000.000,2269000.000,2365000.000
InterestExpenseDeposits,2574000.000,2252000.000,1744000.000,1385000.000,1088000.000,918000.000,788000.000,722000.000,737000.000,869000.000,857000.000,1050000.000,1033000.000,1060000.000,1140000.000,1324000.000,1379000.000
InterestExpenseFederalHomeLoanBankAndFederalReserveBankAdvancesLongTerm,284000.000,275000.000,259000.000,269000.000,,,,,,,,,,,,,
InterestExpenseOtherLongTermDebt,492000.000,329000.000,347000.000,342000.000,343000.000,335000.000,326000.000,330000.000,338000.000,338000.000,385000.000,638000.000,665000.000,656000.000,645000.000,670000.000,671000.000
InterestIncomeDepositsWithFinancialInstitutions,,,,,,,,,,,,,,,37000.000,41000.000,33000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,13509000.000,13177000.000,12729000.000,13963000.000,-13203000.000,14184000.000,14078000.000,14373000.000,15763000.000,16271000.000,16492000.000,19655000.000,20387000.000,21254000.000,21583000.000,22814000.000,22933000.000
InterestIncomeExpenseNet,16529000.000,16622000.000,16172000.000,16323000.000,15678000.000,15393000.000,15057000.000,15410000.000,15796000.000,16913000.000,16636000.000,20255000.000,20476000.000,21304000.000,21687000.000,22830000.000,22933000.000
InterestIncomeSecuritiesTaxExempt,191000.000,190000.000,196000.000,189000.000,186000.000,179000.000,199000.000,181000.000,196000.000,169000.000,156000.000,280000.000,281000.000,278000.000,276000.000,316000.000,258000.000
InterestIncomeSecuritiesTaxable,2974000.000,3147000.000,3389000.000,3544000.000,3061000.000,2620000.000,2792000.000,2779000.000,2975000.000,2888000.000,2796000.000,3297000.000,3603000.000,3777000.000,3959000.000,4189000.000,4067000.000
InterestPaid,,,2407000.000,,,,1395000.000,,,,1442000.000,,,,1750000.000,,
LaborAndRelatedExpense,7352000.000,7857000.000,7061000.000,7226000.000,7513000.000,7554000.000,7827000.000,7508000.000,8052000.000,8717000.000,8341000.000,9645000.000,8685000.000,9946000.000,10069000.000,9725000.000,10640000.000
LiabilitiesAssumed1,,,,,,,,,,,,,,,144483000.000,,
NetCashProvidedByUsedInFinancingActivities,,,7164000.000,,,,-1232000.000,,,,67904000.000,,,,47323000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,7164000.000,,,,-1232000.000,,,,67904000.000,,,,47323000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-31852000.000,,,,-21904000.000,,,,-64035000.000,,,,-38883000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-31852000.000,,,,-21904000.000,,,,-64035000.000,,,,-38883000.000,,
NetCashProvidedByUsedInOperatingActivities,,,6247000.000,,,,13364000.000,,,,5050000.000,,,,1031000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,6247000.000,,,,13364000.000,,,,5050000.000,,,,1031000.000,,
NetIncomeLoss,1141000.000,1083000.000,1511000.000,921000.000,-32450000.000,4764000.000,4731000.000,11626000.000,2988000.000,1426000.000,3451000.000,1161000.000,5099000.000,4265000.000,3770000.000,6001000.000,5572000.000
NetIncomeLossAvailableToCommonStockholdersBasic,411000.000,353000.000,781000.000,192000.000,-33179000.000,4034000.000,4001000.000,10947000.000,2780000.000,1189000.000,3114000.000,1161000.000,5099000.000,4265000.000,3770000.000,6001000.000,5572000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,,192000.000,-33179000.000,,4001000.000,10947000.000,2780000.000,1189000.000,3114000.000,1161000.000,5099000.000,4265000.000,3770000.000,6001000.000,5572000.000
NoninterestExpense,14579000.000,14893000.000,13601000.000,13739000.000,16545000.000,14008000.000,14145000.000,14174000.000,14411000.000,17654000.000,15467000.000,22043000.000,16588000.000,18608000.000,20127000.000,18410000.000,18788000.000
NoninterestIncome,2401000.000,3300000.000,3000000.000,1009000.000,-6402000.000,4761000.000,4798000.000,4826000.000,4497000.000,3333000.000,4326000.000,4206000.000,4104000.000,4077000.000,4385000.000,4837000.000,4289000.000
NoninterestIncomeOther,538000.000,480000.000,,,,,,,,,,,,,,,
NoninterestIncomeOtherOperatingIncome,,,130000.000,168000.000,171000.000,198000.000,380000.000,167000.000,124000.000,176000.000,454000.000,250000.000,153000.000,258000.000,862000.000,364000.000,233000.000
OccupancyNet,1017000.000,983000.000,1004000.000,1024000.000,2155000.000,988000.000,1014000.000,1024000.000,1034000.000,1136000.000,1186000.000,1241000.000,1265000.000,1218000.000,1379000.000,1360000.000,1444000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,,,-10000.000,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,,,,,,,,-160000.000,,,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesTax,,,,,,,,,,,,,-99000.000,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,2058000.000,2852000.000,,-213000.000,-5030000.000,-793000.000,2595000.000,1765000.000,1880000.000,-1596000.000,-1587000.000,1533000.000,-1563000.000,517000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,2857000.000,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,10000.000,9000.000,,9000.000,10000.000,,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,,,,,,,-6000.000,6000.000,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,,,,,-2000.000,,-126000.000,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeTax,,,,,,,-82000.000,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax,,,,,,,,,458000.000,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,,,,,,,,42000.000,277000.000,,0.000,0.000,0.000,0.000,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesTax,,,,,,,,-28000.000,181000.000,,0.000,0.000,0.000,0.000,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,,,,,,,,,,,,,121000.000,120000.000,120000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,,,,,,,,,,,,,,,-75000.000,-75000.000,-74000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansBeforeTax,,,,,,,,,15000.000,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansNetOfTax,,,,,,,,,-9000.000,,-10000.000,-9000.000,-10000.000,144000.000,0.000,104000.000,103000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansTax,,,,,,,,,6000.000,,6000.000,6000.000,6000.000,-89000.000,0.000,64000.000,65000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,,,,,,,,,,,,467000.000,90000.000,354000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,,,,,,,,,,,,,,,289000.000,56000.000,219000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,-2867000.000,2068000.000,2863000.000,6347000.000,-78000.000,-4978000.000,-372000.000,-547000.000,1775000.000,1889000.000,-1426000.000,-28000.000,1187000.000,-1637000.000,180000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,,,,,,,-51000.000,-3248000.000,-242000.000,-396000.000,1130000.000,1203000.000,-908000.000,-98000.000,736000.000,-1014000.000,111000.000
OtherNoninterestExpense,3694000.000,2482000.000,2308000.000,2253000.000,3225000.000,2179000.000,2212000.000,2412000.000,2254000.000,3147000.000,2495000.000,2945000.000,3191000.000,3468000.000,2920000.000,2890000.000,3096000.000
PaymentsForOriginationAndPurchasesOfLoansHeldForSale,,,33640000.000,,,,22007000.000,,,,14130000.000,,,,30972000.000,,
PaymentsForProceedsFromLoansAndLeases,,,-19075000.000,,,,17058000.000,,,,27584000.000,,,,46848000.000,,
PaymentsForRepurchaseOfRedeemablePreferredStock,,,,,,,,,,,15000000.000,,,,0.000,,
PaymentsOfOrdinaryDividends,,,655000.000,,,,656000.000,,,,337000.000,,,,0.000,,
PaymentsOfStockIssuanceCosts,,,,,,,,,,,0.000,,,,101000.000,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,,,,,,,,,240000.000,,
PaymentsToAcquireAvailableForSaleSecurities,,,72006000.000,,,,70114000.000,,,,8714000.000,,,,9480000.000,,
PaymentsToAcquireHeldToMaturitySecurities,,,,,,,,,,,36517000.000,,,,18195000.000,,
PaymentsToAcquireLifeInsurancePolicies,,,,,,,,,,,,,,,8299000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,,1126000.000,,,,965000.000,,,,466000.000,,,,705000.000,,
PreferredStockDividendsAndOtherAdjustments,730000.000,730000.000,730000.000,729000.000,729000.000,730000.000,730000.000,679000.000,208000.000,237000.000,337000.000,0.000,0.000,0.000,0.000,0.000,0.000
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,,,,,,,-38000.000,,,,,,,,,,
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,,,,,,,,,,,,,,,8507000.000,,
ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,,,,,,,,,,,,,,,4880000.000,,
ProceedsFromMaturitiesPrepaymentsAndCallsOfOtherInvestments,,,,,,,,,,,,,,,1245000.000,,
ProceedsFromRepaymentsOfOtherDebt,,,0.000,,,,,,,,9000000.000,,,,-12120000.000,,
ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,,,19660000.000,,,,,,,,,,,,,,
ProceedsFromSaleOfAvailableForSaleSecurities,,,,,,,22208000.000,,,,0.000,,,,25891000.000,,
