,2011-03-31,2011-06-30,2011-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,258400000.000,313500000.000,305800000.000
AccountsReceivableNetCurrent,526900000.000,289400000.000,231500000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,2130500000.000,2150100000.000,2172600000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-11800000.000,-13600000.000,-19600000.000
AdditionalCollateralAggregateFairValue,,4000000.000,17000000.000
AdditionalPaidInCapital,69000000.000,67800000.000,67500000.000
AllowanceForDoubtfulAccountsReceivableCurrent,40900000.000,41700000.000,27100000.000
AssetRetirementObligationsNoncurrent,192900000.000,195200000.000,197300000.000
Assets,4388700000.000,4208100000.000,4410200000.000
AssetsCurrent,849100000.000,626500000.000,788000000.000
AssetsFairValueDisclosure,,107000000.000,120600000.000
CapitalizationLongtermDebtAndEquity,1627500000.000,1622200000.000,1600200000.000
CashAndCashEquivalentsAtCarryingValue,36000000.000,42900000.000,41600000.000
CommercialPaper,153700000.000,66000000.000,312600000.000
CommonStockValue,113900000.000,113900000.000,113900000.000
CostMethodInvestments,,2400000.000,2400000.000
CustomerAdvancesAndDepositsCurrent,76400000.000,83700000.000,109300000.000
DebtInstrumentFaceAmount,,500000000.000,500000000.000
DeferredTaxLiabilitiesNoncurrent,430600000.000,433900000.000,437100000.000
DeferredTaxLiabilitiesUndistributedForeignEarnings,,57000000.000,54000000.000
DepositsAssetsNoncurrent,,3800000.000,600000.000
DerivativeInstrumentsAndHedges,35000000.000,36600000.000,49600000.000
DerivativeNetLiabilityPositionAggregateFairValue,,5000000.000,17000000.000
EnergyRelatedInventoryGasStoredUnderground,44600000.000,59200000.000,240200000.000
ExcessOfReplacementOrCurrentCostsOverStatedLIFOValue,-233300000.000,-88600000.000,
GuaranteeObligationsMaximumExposure,,,0.000
HedgingLiabilitiesCurrent,72700000.000,57300000.000,80300000.000
HeldToMaturitySecurities,,6500000.000,6500000.000
HeldToMaturitySecuritiesDebtMaturitiesAfterFiveThroughTenYearsNetCarryingAmount,,900000.000,
HeldToMaturitySecuritiesDebtMaturitiesAfterOneThroughFiveYearsNetCarryingAmount,,5600000.000,6500000.000
HeldToMaturitySecuritiesDebtMaturitiesNetCarryingAmount,,8500000.000,8600000.000
HeldToMaturitySecuritiesDebtMaturitiesWithinOneYearNetCarryingAmount,,2000000.000,2100000.000
InterestRateDerivativeLiabilitiesAtFairValue,,5000000.000,13700000.000
LiabilitiesAndStockholdersEquity,4388700000.000,4208100000.000,4410200000.000
LiabilitiesCurrent,932600000.000,720600000.000,924300000.000
LiabilitiesFairValueDisclosure,,66400000.000,87400000.000
LongTermDebtCurrent,0.000,0.000,0.000
LongTermDebtFairValue,,566000000.000,621000000.000
LongTermDebtNoncurrent,,498500000.000,498500000.000
LongTermInvestments,135800000.000,133900000.000,134600000.000
MarginDepositAssets,46800000.000,33800000.000,27500000.000
MarketableSecurities,,74900000.000,74700000.000
MarketableSecuritiesNoncurrent,,13400000.000,13200000.000
NotionalAmountOfInterestRateDerivatives,,90000000.000,90000000.000
OtherAssetsCurrent,98700000.000,111900000.000,144800000.000
OtherAssetsNoncurrent,373100000.000,387800000.000,381900000.000
OtherInvestments,,9400000.000,9200000.000
OtherLiabilitiesCurrent,138100000.000,111500000.000,116300000.000
OtherLiabilitiesNoncurrent,118700000.000,137800000.000,140200000.000
OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,230900000.000,231500000.000,232600000.000
PropertyPlantAndEquipmentGross,5161200000.000,5210000000.000,5278300000.000
PropertyPlantAndEquipmentNet,3030700000.000,3059900000.000,3105700000.000
RegulatoryAssets,,283800000.000,295800000.000
RegulatoryLiabilities,,940100000.000,955900000.000
RestrictedCashAndInvestmentsCurrent,,2400000.000,2400000.000
RetainedEarningsAccumulatedDeficit,957900000.000,955600000.000,939900000.000
ShortTermInvestments,61100000.000,52700000.000,52800000.000
StockholdersEquity,1129000000.000,1123700000.000,1101700000.000
TradingSecuritiesCurrent,,8800000.000,8700000.000
TradingSecuritiesFairValueDisclosure,,59000000.000,59000000.000
UnbilledReceivablesCurrent,,29300000.000,34700000.000
