,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29
AccountsPayableAndAccruedLiabilitiesCurrent,7777273.000,8566544.000,10135769.000,9810619.000,9470381.000,10262950.000,10065359.000,10526417.000,9473583.000,9246072.000,9631454.000,13757188.000,10012663.000,10731031.000,9340696.000,9587909.000,9260455.000,7645553.000,7276342.000
AccountsPayableAndAccruedLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,,1242282.000,662590.000
AccountsReceivableNetCurrent,8011570.000,7743601.000,10201475.000,8701502.000,8953362.000,8073398.000,9324732.000,8130773.000,7313887.000,5473452.000,5265058.000,5161649.000,4527853.000,2248301.000,3217136.000,3167245.000,3941302.000,2112055.000,2302925.000
AccruedAdvertisingCurrent,,,,,3284552.000,2471174.000,2982925.000,3487023.000,3968584.000,3218259.000,3419879.000,3166873.000,2607047.000,2368808.000,1959089.000,1827755.000,1989590.000,1697493.000,1938542.000
AccruedIncomeTaxesCurrent,22500.000,47232.000,23979.000,28997.000,13624.000,9440.000,0.000,0.000,0.000,0.000,,,,,,,,,
AccruedLiabilitiesCurrent,,,,,,3136358.000,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,2069814.000,846431.000,913258.000,991521.000,1069283.000,1150181.000,1231568.000,1312982.000,1311311.000,1125968.000,1183273.000,751649.000,775394.000,767597.000,787541.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,-45475.000,-114470.000,50901.000,31270.000,28160.000,35247.000,84651.000,121848.000,119477.000,182378.000,92469.000,116796.000,0.000,0.000,0.000,,,,
AdditionalPaidInCapitalCommonStock,2329049.000,2329049.000,2329049.000,2329049.000,2329049.000,2329049.000,2329049.000,2329049.000,2329049.000,2329049.000,2331749.000,2339849.000,2347949.000,3814484.000,3849225.000,3873146.000,3897020.000,3881882.000,3952370.000
AllowanceForDoubtfulAccountsReceivableCurrent,1777106.000,997833.000,1004425.000,1311489.000,1251715.000,1133561.000,1100615.000,930569.000,616110.000,1081278.000,828067.000,2104551.000,2143157.000,2967668.000,2513029.000,993137.000,335840.000,912688.000,847987.000
Assets,34623866.000,34905527.000,36098100.000,35550950.000,35132132.000,35271109.000,33409831.000,33275058.000,31263757.000,26345749.000,25402526.000,25422118.000,22255113.000,21732592.000,21981218.000,21312163.000,21281465.000,19150559.000,19241302.000
AssetsCurrent,30240645.000,30670484.000,31705452.000,31709217.000,32937655.000,33439053.000,31258667.000,30959916.000,28991084.000,22164741.000,21394460.000,20398672.000,15699175.000,11639499.000,12271539.000,10104162.000,10198156.000,8880216.000,8662430.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,0.000,,,,,
AvailableForSaleSecurities,,,,,,,,,,,369900.000,408455.000,0.000,0.000,,,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,146552.000,146552.000,,,
AvailableForSaleSecuritiesFairValueDisclosure,,,,,1423412.000,2283772.000,,,2170269.000,1112440.000,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,,-20256.000,,,,0.000,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,,76119.000,,,,289021.000,,,,,,,,,
CapitalLeaseObligationsCurrent,6180.000,5577.000,5301.000,4450.000,3131.000,4426.000,3904.000,3382.000,6990.000,7116.000,7244.000,7374.000,7507.000,7642.000,7780.000,7921.000,8302.000,9531.000,3443.000
CapitalLeaseObligationsNoncurrent,3135.000,1973.000,797.000,0.000,,12833.000,12178.000,11506.000,32122.000,30195.000,28236.000,26242.000,24215.000,22152.000,20078.000,17920.000,17071.000,16199.000,2827.000
CashAndCashEquivalentsAtCarryingValue,7679011.000,7699615.000,4894470.000,6255917.000,10611495.000,9828681.000,6294108.000,5756460.000,4771839.000,3199020.000,2731126.000,1536996.000,1041061.000,241621.000,266717.000,308083.000,316898.000,509884.000,321676.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,,,,,,,,,,,,,,,
CommonStockSharesAuthorized,15000000.000,15000000.000,15000000.000,15000000.000,,,,,,,,,,,,,,,
CommonStockSharesIssued,6086740.000,6086740.000,6086740.000,6086740.000,,,,,,,,,,,,,,,
CommonStockSharesOutstanding,6086740.000,6086740.000,6086740.000,,,,,,,,,,,,,,,,
CommonStockValue,60867.000,60867.000,60867.000,60867.000,,,,,,,,,,,,,,,
DeferredFinanceCostsCurrentNet,,,,,,,,,,,,,,1341458.000,1008594.000,675730.000,342866.000,0.000,355993.000
DeferredTaxAssetsCharitableContributionCarryforwards,,,,,130883.000,,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNet,,,,,1338772.000,1002811.000,1778321.000,1674944.000,2135168.000,4589763.000,5365342.000,7750914.000,7402530.000,9871480.000,9832518.000,10640357.000,10571015.000,11454921.000,11328592.000
DeferredTaxAssetsNetCurrent,1491948.000,1738949.000,1463856.000,1501119.000,1402328.000,1242484.000,1824721.000,1740157.000,2168169.000,2668747.000,3529778.000,4831903.000,2878218.000,2883285.000,2842519.000,1096588.000,1159051.000,2254322.000,2171664.000
DeferredTaxAssetsNetNoncurrent,,,,,,,,,,1921016.000,1835564.000,2919011.000,4524312.000,6988195.000,6989999.000,9543769.000,9411964.000,9200599.000,9156928.000
DeferredTaxAssetsTaxDeferredExpense,,,,,,,,,,,,,,,54083.000,54083.000,,,
DeferredTaxLiabilitiesDeferredExpense,,,,,96289.000,98210.000,-49511.000,,,,,,,,,,,,
DeferredTaxLiabilitiesNoncurrent,146677.000,182339.000,71298.000,57270.000,63556.000,239673.000,46400.000,65213.000,33001.000,0.000,1835564.000,-2919011.000,-4524312.000,,-6989999.000,-9543769.000,-9411964.000,,
DividendsPayableAmount,,,493811.000,987622.000,,,,,,,,,,,,,,,
DividendsPayableAmountPerShare,,,,,,0.070,,,,,,,,,,,,,
DividendsPayableCurrent,493811.000,493811.000,493811.000,493811.000,493811.000,493811.000,0.000,0.000,490468.000,0.000,,,,,,,,,
DividendsPayableCurrentAndNoncurrent,,,,,1481433.000,,0.000,493811.000,984279.000,984279.000,,,,0.000,,,,0.000,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,150125.000,150241.000,155356.000,160472.000,165587.000,170703.000,175813.000,180922.000,186032.000,145453.000,145550.000,145647.000,145744.000,145841.000,145939.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,463.000,20463.000,20463.000,20463.000,20463.000,20439.000,20439.000,,,388.000,,,,388.000,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,,,,,,,20439.000,20439.000,,388.000,388.000,388.000,,388.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,421.000,20421.000,20421.000,20421.000,20421.000,421.000,421.000,421.000,421.000,376.000,376.000,376.000,376.000,376.000,376.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,421.000,20421.000,20421.000,20421.000,20421.000,20421.000,20421.000,20421.000,20421.000,388.000,388.000,388.000,388.000,376.000,376.000
