,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,36063.000,62802.000,53286.000,31190.000
Assets,4664395.000,4543479.000,4319367.000,4147275.000
CashAndCashEquivalentsAtCarryingValue,2079580.000,1949052.000,1725364.000,1428274.000
CashUninsuredAmount,1595391.000,1609723.000,1368081.000,1063708.000
EquityMethodInvestmentDifferenceBetweenCarryingAmountAndUnderlyingEquity,0.000,,,
GeneralPartnersContributedCapital,2000.000,2000.000,2000.000,2000.000
InterestPayableCurrent,33976.000,33976.000,33976.000,33976.000
InvestmentOwnedPercentOfNetAssets,0.200,0.200,0.200,0.200
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,2582473.000,2592509.000,2592509.000,2719001.000
Liabilities,189583.000,216322.000,206806.000,184710.000
LiabilitiesAndStockholdersEquity,4664395.000,4543479.000,4319367.000,4147275.000
LimitedPartnersContributedCapital,60001500.000,60001500.000,60001500.000,60001500.000
OfferingCostsPartnershipInterests,6156933.000,6156933.000,6156933.000,6156933.000
PartnersCapital,4474812.000,4327157.000,4112561.000,3962565.000
PartnersCapitalAccountDistributionPerUnitOfLimitedPartnerInterest,62.000,,,
RetainedEarningsAccumulatedDeficit,-18186936.000,-18334591.000,-18549187.000,-18699183.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,4474812.000,4327157.000,4112561.000,3962565.000
