,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccretionOfDiscount,,,,,,,,,,,2780.000,,,,2780.000,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,8591.000,,,,6475.000,,
AmortizationOfDebtDiscountPremium,,,,2809.000,2809.000,,1390.000,1390.000,1390.000,1390.000,2780.000,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,170000.000,170000.000,170000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-3334.000,,,,-793.000,,,,-16391.000,,,,,,
CashPeriodIncreaseDecrease,,,,,,,,,,,,,,,-17120.000,,
ComprehensiveIncomeNetOfTax,-30771.000,-18432.000,31614.000,-46008.000,-43945.000,-45353.000,-30671.000,-50825.000,-46743.000,1789010.000,-611776.000,-89640.000,972377.000,-601934.000,-3963.000,-123186.000,-47648.000
CostsAndExpenses,17094.000,6538.000,1572.000,21209.000,12141.000,,,,,,,,,,,,
DebtConversionOriginalDebtAmount1,,,339257.000,,,,,,,,,,,,,,
EarningsPerShareBasic,,,,,-0.020,,,,,,,,-0.030,,-0.040,-0.030,-0.020
EarningsPerShareBasicAndDiluted,-0.040,-0.020,-0.010,-0.020,,,-0.010,-0.020,-0.020,-0.040,-0.030,-0.030,-0.030,-0.030,-0.040,-0.030,-0.020
EarningsPerShareDiluted,,,,,-0.020,,,,,,,,-0.030,,-0.040,-0.030,-0.020
GeneralAndAdministrativeExpense,1724.000,313.000,,,590.000,,90.000,,,,,35.000,510.000,,6501.000,9411.000,9881.000
IncreaseDecreaseInAccountsPayable,,,5421.000,,,,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,25377.000,,,,5619.000,,,,22384.000,,
IncreaseDecreaseInInterestPayableNet,,,,,,,,,,,3478.000,,,,3478.000,,
InterestExpenseOther,,,,,,,,,,,,,,,,35461.000,27923.000
InterestExpenseRelatedParty,,,,,,,,,,,3478.000,3517.000,3555.000,3555.000,3478.000,3517.000,3555.000
InterestIncomeExpenseNonoperatingNet,-11337.000,-11894.000,-12183.000,-20899.000,-34144.000,-28871.000,-28710.000,-30176.000,-31359.000,-22398.000,-29353.000,-32792.000,-33863.000,-25831.000,-34002.000,,
InterestPaid,,,6763.000,,,,6688.000,,,,6688.000,,,,6688.000,,
LineOfCreditFacilityInterestRateDuringPeriod,,,,,,,0.077,,,,0.077,,,,,,
LineOfCreditFacilityPeriodicPaymentInterest,,,,,,,6688.000,,,,6688.000,6837.000,6837.000,6763.000,6688.000,6781.000,6911.000
NetCashProvidedByUsedInFinancingActivities,,,1005000.000,,,,10000.000,,,,22665.000,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,1005000.000,,,,10000.000,,,,22665.000,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,-1000000.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-1000000.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-8334.000,,,,-10793.000,,,,-39056.000,,,,-17120.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-8334.000,,,,-10793.000,,,,-39056.000,,,,-17120.000,,
NetIncomeLoss,-28431.000,-18432.000,-13755.000,-42108.000,-46285.000,-39244.000,-37560.000,-52385.000,-47913.000,-31889.000,-59524.000,-74451.000,-61979.000,-62799.000,-76768.000,-66161.000,-50780.000
OperatingExpenses,,,,,,,8850.000,22209.000,16554.000,-629.000,26693.000,38142.000,24561.000,33413.000,39289.000,27183.000,19302.000
OperatingIncomeLoss,-17094.000,-6538.000,-1572.000,-21209.000,-12141.000,-10373.000,-8850.000,-22209.000,-16554.000,629.000,-26693.000,-38142.000,-24561.000,-33413.000,-39289.000,-27183.000,-19302.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-2340.000,,45369.000,-3900.000,2340.000,-6109.000,6889.000,1560.000,1170.000,1820899.000,-552252.000,-15189.000,1034356.000,-539135.000,72806.000,-57025.000,3132.000
OtherCostAndExpenseOperating,60.000,560.000,264.000,60.000,,,,884.000,1364.000,,,,,,,,
OtherGeneralExpense,,,,2400.000,,,4600.000,2400.000,,,3000.000,5240.000,-2970.000,4346.000,8857.000,4340.000,306.000
PaidInKindInterest,,,,,,,,,,,,,,,24532.000,,
PaymentsToAcquireInvestments,,,1000000.000,,,,,,,,,,,,,,
ProceedsFromNotesPayable,,,1000000.000,,,,,,,,22665.000,,,,,,
ProceedsFromRelatedPartyDebt,,,5000.000,,,,10000.000,,,,,,,,,,
ProfessionalFees,15310.000,5665.000,1308.000,15940.000,8742.000,11396.000,2770.000,17535.000,13800.000,7303.000,12322.000,26396.000,20550.000,14256.000,23931.000,13432.000,9115.000
ShareBasedCompensation,,,,,,,,,,,8591.000,6471.000,6471.000,6471.000,6475.000,,
SharebasedCompensationArrangementBySharebasedPaymentAwardPurchasePriceOfCommonStockPercent,,,,,,,1.000,,,,,,,,,,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,,,,,,,,,,,,,,,0.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,742108.000,742108.000,1500071.000,1872964.000,2060260.000,,,,,,,,2191689.000,,2189889.000,2191689.000,2191689.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,2618500.000,2618500.000,2618500.000,-5982536.000,2183023.000,2191689.000,2191689.000,-4376512.000,2191689.000,2191689.000,2191689.000
WeightedAverageNumberOfSharesOutstandingBasic,,,,,1872964.000,,,,,,,,2191689.000,,2189889.000,2191689.000,2191689.000
