,2012-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,68609.000
Depreciation,5879.000
EquityMethodInvestmentDividendsOrDistributions,12900.000
GeneralAndAdministrativeExpense,73959.000
IncomeLossFromContinuingOperations,168440.000
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,-14127.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,154313.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnit,6.950
IncomeLossFromEquityMethodInvestments,-14127.000
IncreaseDecreaseInCustomerDeposits,16407.000
IncreaseDecreaseInOtherAccountsPayable,21913.000
IncreaseDecreaseInOtherAccruedLiabilities,315.000
IncreaseDecreaseInOtherOperatingAssets,38701.000
InterestAndDividendIncomeOperating,12.000
InterestPaid,0.000
NetCashProvidedByUsedInFinancingActivities,-181818.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-181818.000
NetCashProvidedByUsedInInvestingActivities,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000
NetCashProvidedByUsedInOperatingActivities,250428.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,250428.000
NetIncomeLoss,168440.000
NetIncomeLossAllocatedToGeneralPartners,1684.000
NetIncomeLossAllocatedToLimitedPartners,166756.000
OperatingCostsAndExpenses,281285.000
OperatingExpenses,155060.000
OperatingIncomeLoss,168440.000
OtherCostAndExpenseOperating,22716.000
OtherGeneralAndAdministrativeExpense,23671.000
OtherRealEstateRevenue,44343.000
PartnersCapitalAccountDistributions,-181818.000
PaymentsOfCapitalDistribution,181818.000
PaymentsToAcquireProductiveAssets,0.000
ProfitLoss,168440.000
RetailRevenue,391243.000
Revenues,435598.000
SalesRevenueNet,435598.000
WeightedAverageLimitedPartnershipUnitsOutstanding,24000.000
