,2012-06-30,2013-06-30,2014-06-30,2015-06-30,2016-06-30
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,,,,,788907.000
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings,,,,,-60000.000
AdjustmentsToAdditionalPaidInCapitalOther,,,55250.000,8308.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,,,22986.000,150610.000,485993.000
AdvertisingExpense,25116.000,498.000,22137.000,61157.000,57654.000
AmortizationOfDebtDiscountPremium,,542.000,20477.000,488681.000,1216732.000
AmortizationOfIntangibleAssets,,,,,162046.000
CashAcquiredFromAcquisition,,,,,22773.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,-30990.000,30612.000
CashPeriodIncreaseDecrease,-512294.000,-50468.000,37405.000,,
ConcentrationRiskPercentage1,0.550,,,,
CostOfServices,158284.000,202780.000,238449.000,,
DebtConversionConvertedInstrumentAmount1,,,18975.000,58936.000,
DebtInstrumentPeriodicPayment,3342.000,,,,
Depreciation,25888.000,,,,21721.000
DepreciationAndAmortization,25888.000,23495.000,42747.000,6073.000,183767.000
DepreciationDepletionAndAmortization,,23496.000,42747.000,,
DerivativeGainLossOnDerivativeNet,,,-1869301.000,892614.000,-3258891.000
DividendsPreferredStock,,,,,60000.000
EarningsPerShareBasic,,,,,-0.070
EarningsPerShareBasicAndDiluted,-0.010,-0.000,-0.020,0.000,
EarningsPerShareDiluted,,,,,-0.070
EffectiveIncomeTaxRateContinuingOperations,,,0.390,0.390,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.390,0.390,,,0.390
GainLossOnSaleOfPropertyPlantEquipment,,2500.000,9778.000,,-329.000
GainsLossesOnExtinguishmentOfDebt,,8807.000,-6367.000,118492.000,-559867.000
GrossProfit,748680.000,803382.000,727790.000,,
IncomeLossFromContinuingOperations,-594590.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-573073.000,-332226.000,-2414147.000,-401134.000,-7485308.000
IncomeTaxExpenseBenefit,1662.000,1616.000,,3076.000,6803.000
