,2011-08-31,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31
AdvertisingExpense,,,,,,47863.000,45297.000
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,,,,,11400.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,57485.000,,0.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-508836.000,,,,-499505.000,
CostOfGoodsSold,562585.000,,,,,,
CostOfRevenue,,511141.000,1310611.000,681909.000,390473.000,499664.000,1503270.000
DepreciationAndAmortization,,,,,,35181.000,
DepreciationDepletionAndAmortization,,35623.000,,,,,
EarningsPerShareBasic,0.030,0.020,0.440,0.060,-0.290,0.020,0.390
EarningsPerShareDiluted,0.030,0.020,0.430,0.060,-0.290,0.020,0.370
GeneralAndAdministrativeExpense,211493.000,219241.000,218860.000,233072.000,256339.000,236406.000,287235.000
GrossProfit,608473.000,696938.000,1932338.000,872284.000,162295.000,835653.000,2342131.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,56215.000,1050475.000,149556.000,-577933.000,121769.000,1413773.000
IncomeTaxExpenseBenefit,0.000,10000.000,90000.000,18687.000,60338.000,74600.000,540000.000
IncomeTaxesPaid,,16500.000,,,,,
IncomeTaxesPaidNet,,,,,,26000.000,
IncreaseDecreaseInAccountsPayable,,155056.000,,,,,
IncreaseDecreaseInAccountsPayableTrade,,,,,,162320.000,
IncreaseDecreaseInAccountsReceivable,,-605113.000,,,,-630578.000,
IncreaseDecreaseInAccruedLiabilities,,-141867.000,,,,-69040.000,
IncreaseDecreaseInDeferredCharges,,,,,,29600.000,
IncreaseDecreaseInInventories,,-168312.000,,,,-294684.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,83800.000,,,,133383.000,
InterestExpense,84.000,819.000,1383.000,22.000,162.000,125.000,1594.000
InterestIncomeOperating,249.000,172.000,418.000,423.000,475.000,402.000,366.000
InterestPaidNet,,819.000,,,,125.000,
NetCashProvidedByUsedInFinancingActivities,,95030.000,,,,100048.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,95030.000,,,,100048.000,
NetCashProvidedByUsedInInvestingActivities,,-19268.000,,,,-24304.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-19268.000,,,,-24304.000,
NetCashProvidedByUsedInOperatingActivities,,-584598.000,,,,-575249.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-584598.000,,,,-575249.000,
NetIncomeLoss,56712.000,46215.000,960475.000,130869.000,-638271.000,47169.000,873773.000
NonoperatingIncomeExpense,,12577.000,,,,,
OperatingExpenses,567822.000,652653.000,892421.000,763188.000,808501.000,714161.000,927130.000
OperatingIncomeLoss,40651.000,44285.000,1039917.000,109096.000,-646206.000,121492.000,1415001.000
OtherNonoperatingIncome,15896.000,,11523.000,40059.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,,19268.000,,,,24304.000,
ProceedsFromLinesOfCredit,,100000.000,,,,100000.000,
ProceedsFromStockOptionsExercised,,,,,,1250.000,
ProfitLoss,56712.000,,,,,,
PropertyPlantAndEquipmentAdditions,,,,34500.000,,,
ProvisionForDoubtfulAccounts,,10000.000,,,,,
RepaymentsOfLongTermDebt,,,,,,1202.000,
RepaymentsOfLongTermDebtAndCapitalSecurities,,4970.000,,,,,
ResearchAndDevelopmentExpense,64342.000,68041.000,121356.000,128775.000,162379.000,112178.000,108801.000
Revenues,1171058.000,1208079.000,3242949.000,1554193.000,552768.000,1335317.000,3845401.000
SalesRevenueNet,1171058.000,1208079.000,3242949.000,1554193.000,552768.000,1335317.000,3845401.000
SellingGeneralAndAdministrativeExpense,291987.000,365371.000,552205.000,401341.000,389783.000,365577.000,531094.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,,,,,,5000.000,
ShippingHandlingAndTransportationCosts,,,,,,23000.000,86000.000
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,12000.000,
WeightedAverageNumberOfDilutedSharesOutstanding,2246735.000,,2259149.000,2264256.000,,2322507.000,2361522.000
WeightedAverageNumberOfSharesOutstandingBasic,2148438.000,2148438.000,2165105.000,2206771.000,-4336459.000,2227605.000,2238438.000
