,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2017-03-31,2017-06-30
AccrualForEnvironmentalLossContingenciesChargesToExpenseForNewLosses,,,,,,,,,,,,,,,,,,,,,400000.000,
AccrualForEnvironmentalLossContingenciesPayments,,,,,,,,,,,,,,,200000.000,,,,1100000.000,,,
AccrualForEnvironmentalLossContingenciesPayments1,,,,,,,,,,,,,,,,,,,,,100000.000,
AccrualForEnvironmentalLossContingenciesProvisionForNewLosses,,,,,,,,,,,,,,,100000.000,,,,1000000.000,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,1000000.000,,,,400000.000,,400000.000,,,,500000.000,,600000.000,
CapitalLeaseObligationsIncurred,,,,,,,,,,,,,,,,,,,900000.000,,900000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-2300000.000,,,,700000.000,,,,-2300000.000,,,,4900000.000,,2800000.000,,,,-600000.000,,3000000.000,
CommonStockDividendsPerShareDeclared,0.690,0.345,0.345,,0.690,0.345,0.345,,0.690,0.345,0.345,,0.345,0.345,0.350,0.350,0.350,0.350,0.355,0.355,0.360,0.360
DeferredIncomeTaxExpenseBenefit,4500000.000,,,,5300000.000,,,,5400000.000,,,,7000000.000,,8800000.000,,,,5700000.000,,7900000.000,
Dividends,,,,,,,,,,,,,4800000.000,,4900000.000,,,,,,,
DividendsCommonStock,,,,,,,,,,,,,,,,,,,5000000.000,,5100000.000,
DividendsPreferredStock,,100000.000,,,,100000.000,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,-0.080,-0.150,,0.830,-0.030,0.030,0.600,0.790,-0.010,0.040,0.750,0.910,0.080,0.980,0.120,0.120,0.670,0.780,0.180,0.880,0.230
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,1800000.000,,17900000.000,3700000.000,20100000.000,5100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,,,,,20100000.000,1700000.000,22500000.000,2800000.000,,,,,,
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,4100000.000,5000000.000,,13900000.000,4300000.000,4900000.000,13200000.000,15400000.000,4500000.000,5400000.000,9000000.000,,,,,,,,,,
IncomeTaxExpenseBenefit,5400000.000,-300000.000,-1400000.000,6300000.000,5300000.000,,,,6400000.000,-100000.000,100000.000,6252000.000,7500000.000,600000.000,8900000.000,1100000.000,100000.000,5343000.000,7000000.000,1200000.000,7700000.000,2000000.000
IncomeTaxesPaid,-6900000.000,,,,600000.000,,,,,,,,,,,,,,,,,
IncomeTaxesPaidNet,,,,,,,,,800000.000,,,,300000.000,,1400000.000,,,,1000000.000,,,
IncreaseDecreaseInAccountsPayable,-4000000.000,,,,-7700000.000,,,,-5100000.000,,,,-6300000.000,,-9400000.000,,,,-6300000.000,,-4300000.000,
IncreaseDecreaseInAccountsReceivable,8800000.000,,,,3700000.000,,,,14800000.000,,,,17300000.000,,25200000.000,,,,8200000.000,,4700000.000,
IncreaseDecreaseInFossilFuelInventories,-9900000.000,,,,-8000000.000,,,,,,,,,,,,,,,,,
IncreaseDecreaseInIncomeTaxesReceivable,-7600000.000,,,,600000.000,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,,,,,1700000.000,,,,-700000.000,,,,-3100000.000,,-1000000.000,,,,-2200000.000,,1200000.000,
IncreaseDecreaseInOtherOperatingCapitalNet,3300000.000,,,,1500000.000,,,,-3400000.000,,,,-1400000.000,,-2100000.000,,,,-2700000.000,,-5800000.000,
IncreaseDecreaseInOtherReceivables,,,,,,,,,-7700000.000,,,,-9500000.000,,-11000000.000,,,,,,,
IncreaseDecreaseInReceivables,,,,,,,,,,,,,,,,,,,-4300000.000,,-6200000.000,
IncreaseDecreaseInRegulatoryLiabilities,,,,,,,,,,,,,3400000.000,,8700000.000,,,,3200000.000,,2400000.000,
IncreaseDecreaseInUnbilledReceivables,-12800000.000,,,,-19200000.000,,,,-20400000.000,,,,-7000000.000,,-6300000.000,,,,3700000.000,,-8200000.000,
InterestIncomeExpenseNonoperatingNet,,,,,,,,,-4600000.000,-4600000.000,-4800000.000,-4800000.000,-5200000.000,-5300000.000,-5800000.000,-6000000.000,-5500000.000,-4600000.000,-5500000.000,-5700000.000,-6000000.000,-5300000.000
InterestPaidNet,3100000.000,,,,3100000.000,,,,2900000.000,,,,3000000.000,,3100000.000,,,,2900000.000,,4000000.000,
