,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccruedLiabilitiesFairValueDisclosure,,,,,,,,5881000.000,6439000.000,7199000.000,7647000.000,900000.000,882000.000,886000.000,882000.000,860000.000,848000.000,622000.000,478000.000,504000.000,481000.000,479000.000,380000.000,442000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,23600000.000,,,,24623000.000,,,,24874000.000,,,,25946000.000,,,,25160000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-18743000.000,-18822000.000,-20962000.000,-20861000.000,-20716000.000,-19838000.000,-21823000.000,-20314000.000,-25908000.000,-25624000.000,-24213000.000,-18614000.000,-15052000.000,-15397000.000,-20233000.000,-17973000.000,-17369000.000,-17251000.000,-16829000.000,-17702000.000,-16916000.000,-17261000.000,-21465000.000,-20960000.000
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxAvailableforsaleDebtSecurities,,,,,17769000.000,17381000.000,16876000.000,15215000.000,14524000.000,13783000.000,12703000.000,8314000.000,7633000.000,7056000.000,6143000.000,3532000.000,1460000.000,-60000.000,,2332000.000,471000.000,427000.000,3961000.000,3797000.000
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxHeldtomaturityDebtSecurities,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000
AdditionalPaidInCapital,21474000.000,21487000.000,21500000.000,21513000.000,21531000.000,21552000.000,21573000.000,21592000.000,21616000.000,21639000.000,21661000.000,21684000.000,21717000.000,21756000.000,21795000.000,21844000.000,21892000.000,21939000.000,21986000.000,22034000.000,22082000.000,22130000.000,22178000.000,31411000.000
Assets,1463522000.000,1434104000.000,1390865000.000,1385541000.000,1348439000.000,1359397000.000,1320783000.000,1322767000.000,1329206000.000,1342088000.000,1333503000.000,1355484000.000,1327575000.000,1331916000.000,1332296000.000,1341485000.000,1343071000.000,1320315000.000,1323458000.000,1325295000.000,1307422000.000,1338189000.000,1318190000.000,1319434000.000
AvailableForSaleSecurities,,,,,,,,239440000.000,304681000.000,297010000.000,336589000.000,361465000.000,205258000.000,222835000.000,221117000.000,227795000.000,205226000.000,185519000.000,170232000.000,155243000.000,147227000.000,148037000.000,140000000.000,136937000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,,,,1936000.000,2670000.000,1648000.000,269000.000,333000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,,,,,6060000.000,5236000.000,4940000.000,9830000.000,9600000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,249050000.000,255608000.000,245106000.000,260055000.000,333736000.000,326394000.000,368319000.000,383748000.000,218021000.000,235165000.000,231745000.000,234683000.000,210059000.000,187626000.000,,159367000.000,149793000.000,151329000.000,149561000.000,146204000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,,,,,,,,4074000.000,3946000.000,3702000.000,7767000.000,7496000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,,,,,,,,1986000.000,1290000.000,1238000.000,2063000.000,2104000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,37527000.000,17613000.000,57203000.000,87782000.000,215643000.000,183155000.000,182255000.000,126637000.000,26307000.000,42706000.000,39394000.000,10048000.000,57506000.000,29461000.000,66623000.000,17423000.000,13153000.000,50412000.000,98642000.000,99796000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,15948000.000,11983000.000,11892000.000,17472000.000,18122000.000,26410000.000,80051000.000,98286000.000,74910000.000,75263000.000,66981000.000,45383000.000,45897000.000,35406000.000,19787000.000,24036000.000,10940000.000,10797000.000,23188000.000,23336000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,,45911000.000,46897000.000,43613000.000,59452000.000,73227000.000,69285000.000,76128000.000,67845000.000,34461000.000,29390000.000,29145000.000,25026000.000,20615000.000,14765000.000,16147000.000,6276000.000,6201000.000,19939000.000,19576000.000,18687000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,,47098000.000,48363000.000,44935000.000,60636000.000,72868000.000,69095000.000,74254000.000,67107000.000,35267000.000,30015000.000,29808000.000,25825000.000,21236000.000,15355000.000,16676000.000,6459000.000,6390000.000,20102000.000,19027000.000,18174000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,,0.000,0.000,,,20049000.000,20041000.000,30034000.000,30407000.000,47400000.000,44436000.000,44629000.000,53265000.000,53470000.000,37604000.000,37577000.000,25210000.000,19921000.000,10671000.000,10667000.000,10662000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,0.000,0.000,,,20041000.000,20105000.000,29656000.000,30188000.000,47322000.000,44475000.000,44766000.000,53558000.000,53689000.000,37899000.000,37593000.000,25463000.000,20134000.000,10681000.000,10524000.000,10541000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,,,,,69438000.000,84260000.000,88731000.000,81183000.000,96882000.000,93612000.000,83731000.000,79387000.000,60508000.000,59207000.000,58654000.000,59942000.000,59936000.000,65428000.000,52070000.000,49183000.000,49377000.000,43514000.000,46387000.000,45864000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,,,,,44158000.000,59784000.000,64881000.000,59081000.000,72332000.000,68809000.000,60940000.000,62880000.000,47105000.000,46769000.000,47082000.000,51156000.000,54293000.000,61749000.000,48547000.000,43628000.000,44965000.000,39236000.000,38660000.000,38517000.000
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDate,,,,,,,,,,,164850000.000,183675000.000,,,141180000.000,,,,102816000.000,,,,68211000.000,
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis,,,,,,,,,,,189893000.000,201139000.000,,,151952000.000,,,,105794000.000,,,,76630000.000,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,,,0.000,0.000,,,,,,23500000.000,,19536000.000,19524000.000,17012000.000,0.000,,0.000,10008000.000,5998000.000,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,0.000,0.000,,,,,,23500000.000,,19540000.000,19524000.000,17013000.000,0.000,,0.000,10030000.000,6018000.000,,,
AvailableForSaleSecuritiesDebtSecurities,239348000.000,277819000.000,245023000.000,226147000.000,227244000.000,235331000.000,223273000.000,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesFairValueDisclosure,,,,,,,,239440000.000,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,27586000.000,26780000.000,25951000.000,24245000.000,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesPledgedAsCollateral,,,,,39400000.000,71100000.000,157000.000,56400000.000,64900000.000,76700000.000,175000000.000,64900000.000,57400000.000,74200000.000,,56400000.000,55300000.000,59700000.000,140000000.000,52200000.000,46900000.000,54700000.000,121800000.000,48000000.000
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses2,,,,,27335000.000,26681000.000,25356000.000,23160000.000,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2,,,,,251000.000,99000.000,595000.000,1085000.000,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,5780000.000,6503000.000,4118000.000,3630000.000,,,,,,,,,,,,,,,,
BankOwnedLifeInsurance,30914000.000,31174000.000,31435000.000,30641000.000,30893000.000,31149000.000,31407000.000,31656000.000,31906000.000,32160000.000,32413000.000,32656000.000,32901000.000,33150000.000,33504000.000,33771000.000,39559000.000,39853000.000,40150000.000,40469000.000,40377000.000,40672000.000,40968000.000,41277000.000
Capital,,,,,,,,,,,,,,,161377000.000,,,,172119000.000,,,,164081000.000,
CapitalRequiredForCapitalAdequacy,,,,,,,,,,,,,,,83851000.000,,,,79276000.000,,,,78577000.000,
